id,village_name,period,date,district,population,current_status,displacement_method,coordinates_lat,coordinates_lng,additional_notes
26,Nabi Yusha,1948-1949,1948-05-16,Safad,70,destroyed,military_assault,33.2500,35.6167,Military assault and expulsion
27,Beisamun,1948-1949,1948-05-25,Safad,510,destroyed,whispering_campaign,33.0500,35.5000,Whispering campaign
28,Mallaha,1948-1949,1948-05-25,Safad,890,destroyed,whispering_campaign,33.1500,35.5833,Whispering campaign
29,Darbashiya,1948-1949,1948-05-15,Safad,310,destroyed,unknown,33.2167,35.6500,Date uncertain
30,Ulmaniya,1948-1949,1948-04-20,Safad,820,destroyed,military_assault,33.0167,35.5167,Military assault and expulsion
31,Arab Zubeih,1948-1949,1948-04-20,Safad,275,destroyed,fear_of_attack,33.0000,35.5000,Fear of attack
32,Deishum,1948-1949,1948-10-30,Safad,590,destroyed,military_assault,33.2333,35.5667,Military assault and expulsion
33,Alma,1948-1949,1948-10-30,Safad,950,destroyed,military_assault,33.2500,35.5333,Military assault and expulsion
34,Saliha,1948-1949,1948-10-30,Safad,1070,destroyed,military_assault,33.2667,35.5500,Military assault and expulsion
35,Fara,1948-1949,1948-10-30,Safad,670,destroyed,military_assault,33.2000,35.5167,Military assault and expulsion
36,Husseiniya,1948-1949,1948-04-21,Safad,170,destroyed,fear_of_attack,33.0667,35.6167,Capitulation
37,Tuleil,1948-1949,1948-04-15,Safad,60,destroyed,unknown,33.0333,35.5333,Date uncertain
38,Kafr Bir'im,1948-1949,1948-11-15,Acre,710,destroyed,forced_expulsion,33.1333,35.4167,Late expulsion
39,Ras Al Ahmar,1948-1949,1948-10-30,Safad,645,destroyed,military_assault,33.2167,35.5333,Military assault
40,Dallata,1948-1949,1948-05-15,Safad,360,destroyed,unknown,33.0833,35.5833,Unknown method and date
41,Marus,1948-1949,1948-05-26,Safad,80,destroyed,fear_of_attack,33.1500,35.5333,Capitulation
42,Kirad Al Ghannama,1948-1949,1948-04-22,Tiberias,360,destroyed,fear_of_attack,32.8833,35.5667,Capitulation
43,Kirad Al Baqqara,1948-1949,1948-04-22,Tiberias,350,destroyed,fear_of_attack,32.8667,35.5500,Capitulation
44,Teitaba,1948-1949,1948-05-15,Safad,530,destroyed,unknown,33.1667,35.5333,Date uncertain
45,Safsaf,1948-1949,1948-10-29,Safad,910,destroyed,massacre,33.2667,35.5167,Military assault and massacre
46,Qaddita,1948-1949,1948-05-11,Safad,240,destroyed,fear_of_attack,33.1333,35.5500,Capitulation
47,Ammuqa,1948-1949,1948-05-24,Safad,140,destroyed,military_assault,33.1833,35.5333,Military assault
48,Qabba'a,1948-1949,1948-05-26,Safad,210,destroyed,military_assault,33.2000,35.5667,Military assault
49,Weiziya,1948-1949,1948-05-15,Safad,170,destroyed,unknown,33.0667,35.5333,Date uncertain
50,Mughr Al Kheit,1948-1949,1948-05-02,Safad,490,destroyed,military_assault,33.0500,35.5167,Military assault
51,Fir'im,1948-1949,1948-05-26,Safad,740,destroyed,military_assault,33.2167,35.5833,Military assault
52,Ja'una,1948-1949,1948-05-09,Safad,1150,destroyed,fear_of_attack,33.1000,35.5667,Capitulation
53,Ein Al Zeitun,1948-1949,1948-05-02,Safad,820,destroyed,military_assault,32.9833,35.4833,Military assault
54,Biriya,1948-1949,1948-05-02,Safad,240,destroyed,military_assault,32.9667,35.4667,Military assault
55,Arab Safad,1948-1949,1948-05-11,Safad,9500,destroyed,military_assault,32.9667,35.4833,Military assault on city
56,Meirun,1948-1949,1948-05-10,Safad,290,destroyed,fear_of_attack,33.0167,35.4667,Capitulation
57,Sammu'i,1948-1949,1948-05-12,Safad,310,destroyed,fear_of_attack,33.0333,35.5000,Capitulation
58,Dhahiriya Tahta,1948-1949,1948-05-10,Safad,350,destroyed,fear_of_attack,33.0500,35.4833,Capitulation
59,Mansurat Al Kheit,1948-1949,1948-01-18,Safad,260,destroyed,military_assault,33.0667,35.5167,Military assault
60,Sa'sa,1948-1949,1948-10-30,Safad,1130,destroyed,military_assault,33.2500,35.5667,Military assault and expulsion
61,Ghabbatiya,1948-1949,1948-10-30,Acre,690,destroyed,military_assault,33.0667,35.4500,Date uncertain
62,Sabalan,1948-1949,1948-10-30,Acre,70,destroyed,military_assault,33.0500,35.4667,Date uncertain
63,Deir Al Qasi,1948-1949,1948-10-30,Acre,2100,destroyed,military_assault,33.0833,35.3833,Military assault
64,Suhmata,1948-1949,1948-10-30,Acre,1130,destroyed,military_assault,33.0500,35.3667,Military assault
65,Mansura,1948-1949,1948-11-15,Acre,90,destroyed,forced_expulsion,33.1000,35.4333,Late expulsion
66,Tarbikha,1948-1949,1948-11-15,Acre,900,destroyed,forced_expulsion,33.0833,35.3500,Late expulsion
67,Suruh,1948-1949,1948-11-15,Acre,420,destroyed,forced_expulsion,33.0667,35.3833,Late expulsion
68,Nabi Rubin,1948-1949,1948-11-15,Acre,310,destroyed,forced_expulsion,33.1167,35.4167,Late expulsion
69,Iqrit,1948-1949,1948-11-15,Acre,490,destroyed,forced_expulsion,33.0333,35.4000,Late expulsion
70,Farradiya,1948-1949,1948-02-15,Safad,670,destroyed,forced_expulsion,33.0167,35.4333,Late expulsion
71,Kafr I'nan,1948-1949,1948-02-15,Safad,1370,destroyed,forced_expulsion,33.0500,35.4500,Late expulsion
72,Shuna,1948-1949,1948-05-15,Safad,170,destroyed,unknown,33.0833,35.6000,Unknown date
73,Yaquq,1948-1949,1948-05-15,Safad,210,destroyed,unknown,32.9833,35.5333,Date uncertain
74,Qudeiriya,1948-1949,1948-05-04,Tiberias,330,destroyed,military_assault,32.8000,35.5167,Military assault and expulsion
75,Arab AL Suyyad,1948-1949,1948-05-04,Tiberias,290,destroyed,military_assault,32.7833,35.5000,Military assault and expulsion
76,Zanghariya,1948-1949,1948-05-04,Safad,840,destroyed,military_assault,32.9500,35.5167,Military assault and expulsion
77,Arab Al Shamalina,1948-1949,1948-05-04,Tiberias,650,destroyed,military_assault,32.8500,35.5667,Military assault and expulsion
78,Bassa,1948-1949,1948-05-14,Acre,2950,destroyed,military_assault,33.0667,35.2000,Military assault and expulsion
79,Zib,1948-1949,1948-05-14,Acre,1910,destroyed,military_assault,33.0833,35.1000,Military assault
80,Tell,1948-1949,1948-05-21,Acre,400,destroyed,military_assault,33.0333,35.3167,Military assault
81,Kabri,1948-1949,1948-05-21,Acre,1520,destroyed,military_assault,33.0167,35.1833,Fear and military assault
82,Nahr,1948-1949,1948-05-21,Acre,610,destroyed,military_assault,33.0167,35.3333,Military assault
83,Umm Al Faraj,1948-1949,1948-05-21,Acre,800,destroyed,military_assault,33.0500,35.3500,Military assault
84,Ghabasiya,1948-1949,1948-05-15,Acre,690,destroyed,forced_expulsion,33.0167,35.2833,Expulsion
85,Amqa,1948-1949,1948-07-10,Acre,1240,destroyed,military_assault,32.9500,35.2167,Military assault
86,Kuweikat,1948-1949,1948-07-10,Acre,1050,destroyed,military_assault,32.9667,35.2333,Military assault
87,Sumeiriya,1948-1949,1948-05-14,Acre,760,destroyed,military_assault,32.9333,35.1333,Military assault
88,Manshiya,1948-1949,1948-05-14,Acre,810,destroyed,military_assault,32.9167,35.0833,Military assault near Acre
89,Birwa,1948-1949,1948-07-11,Acre,1460,destroyed,military_assault,32.9500,35.3000,Military assault
90,Damun,1948-1949,1948-07-15,Acre,1310,destroyed,military_assault,32.8833,35.2667,Military assault
91,Ruweis,1948-1949,1948-07-15,Acre,330,destroyed,military_assault,32.8667,35.2833,Military assault
92,Majdal,1948-1949,1948-04-22,Tiberias,320,destroyed,military_assault,32.7833,35.5333,Military assault and capitulation
93,Ghuweir Abu Shusha,1948-1949,1948-04-21,Tiberias,1240,destroyed,military_assault,32.7667,35.5167,Military assault and capitulation
94,Hittin,1948-1949,1948-07-16,Tiberias,1190,destroyed,military_assault,32.8000,35.4333,Fear and military assault
95,Nimrin,1948-1949,1948-07-16,Tiberias,320,destroyed,military_assault,32.7833,35.4500,Fear and military assault
96,Lubya,1948-1949,1948-07-16,Tiberias,2350,destroyed,military_assault,32.8167,35.4167,Fear and military assault
97,Khirbet Nasir Al Din,1948-1949,1948-04-12,Tiberias,90,destroyed,military_assault,32.7667,35.4333,Military assault and capitulation
98,Arab Tiberias,1948-1949,1948-04-18,Tiberias,5310,destroyed,military_assault,32.7922,35.5311,Military assault on city
99,Manara,1948-1949,1948-03-15,Safad,490,destroyed,military_assault,33.2167,35.6667,Military assault
100,Shajara,1948-1949,1948-05-06,Tiberias,770,destroyed,military_assault,32.7333,35.4833,Military assault
101,Kafr Sabt,1948-1949,1948-04-22,Tiberias,480,destroyed,fear_of_attack,32.7500,35.4667,Capitulation
102,Samra,1948-1949,1948-04-21,Tiberias,290,destroyed,fear_of_attack,32.7333,35.5667,Capitulation
103,Samakh,1948-1949,1948-04-28,Tiberias,3460,destroyed,military_assault,32.7050,35.5758,Military assault
104,Ubeidiya,1948-1949,1948-03-05,Tiberias,870,destroyed,fear_of_attack,32.7167,35.5333,Fear of attack
105,Ma'dhar,1948-1949,1948-04-06,Tiberias,480,destroyed,fear_of_attack,32.7833,35.4833,Abandonment
106,Hadatha,1948-1949,1948-06-15,Tiberias,520,destroyed,fear_of_attack,32.8500,35.4667,Abandonment
107,Ulam,1948-1949,1948-06-14,Tiberias,720,destroyed,fear_of_attack,32.8333,35.4833,Abandonment
108,Sirin,1948-1949,1948-06-04,Tiberias,810,destroyed,fear_of_attack,32.6667,35.4167,Abandonment
109,Tira,1948-1949,1948-04-15,Haifa,5270,destroyed,whispering_campaign,32.7833,35.0167,Whispering campaign
110,Indur,1948-1949,1948-05-24,Nazareth,620,destroyed,military_assault,32.6167,35.3333,Capitulation and military assault
111,Danna,1948-1949,1948-05-28,Nazareth,190,destroyed,forced_expulsion,32.6833,35.3833,Expulsion
112,Bira,1948-1949,1948-05-16,Nazareth,260,destroyed,fear_of_attack,32.6500,35.3000,Capitulation
113,Yubla,1948-1949,1948-05-16,Nazareth,210,destroyed,fear_of_attack,32.6333,35.2833,Capitulation
114,Jabbul,1948-1949,1948-05-18,Nazareth,250,destroyed,fear_of_attack,32.6667,35.3167,Capitulation and fear
115,Kaukab Al Hawa,1948-1949,1948-05-16,Nazareth,300,destroyed,military_assault,32.7000,35.4000,Military assault
116,Arab Al Subeih,1948-1949,1948-04-19,Tiberias,220,destroyed,fear_of_attack,32.7500,35.5333,Capitulation
117,Murassas,1948-1949,1948-05-16,Nazareth,460,destroyed,fear_of_attack,32.6833,35.3167,Capitulation
118,Kafra,1948-1949,1948-05-16,Nazareth,430,destroyed,fear_of_attack,32.6667,35.3500,Capitulation
119,Hamidiya,1948-1949,1948-05-12,Beisan,220,destroyed,fear_of_attack,32.5000,35.4833,Capitulation
120,Quimiya,1948-1949,1948-03-26,Nazareth,440,destroyed,fear_of_attack,32.6500,35.2667,Fear of attack
121,Zir'in,1948-1949,1948-05-28,Nazareth,1420,destroyed,military_assault,32.5667,35.3333,Military assault
122,Mazar,1948-1949,1948-05-30,Beisan,270,destroyed,military_assault,32.4833,35.4667,Military assault
123,Nuris,1948-1949,1948-05-29,Beisan,570,destroyed,military_assault,32.5167,35.4333,Military assault and fear
124,Khirbet Al Jaufa,1948-1949,1948-05-12,Beisan,140,destroyed,fear_of_attack,32.4667,35.5000,Capitulation
125,Tall Al Shauk,1948-1949,1948-05-12,Beisan,120,destroyed,fear_of_attack,32.4500,35.5167,Capitulation
126,Beisan,1948-1949,1948-05-15,Beisan,5180,destroyed,military_assault,32.5000,35.5000,Military assault and expulsion on city
127,Ashrafiya,1948-1949,1948-05-12,Beisan,230,destroyed,fear_of_attack,32.5167,35.5333,Capitulation
128,Farwana,1948-1949,1948-05-11,Beisan,330,destroyed,military_assault,32.4833,35.5500,Military assault
129,Samiriya,1948-1949,1948-05-27,Beisan,250,destroyed,military_assault,32.4667,35.4833,Military assault
130,Arida,1948-1949,1948-05-20,Beisan,150,destroyed,fear_of_attack,32.4333,35.5333,Capitulation
131,Arab Al Khuneizir,1948-1949,1948-05-20,Beisan,320,destroyed,fear_of_attack,32.4167,35.5500,Capitulation
132,Arab Al Safa,1948-1949,1948-05-20,Beisan,360,destroyed,fear_of_attack,32.4500,35.5667,Capitulation
133,Arab Al Zarra'a,1948-1949,1948-05-20,Beisan,250,destroyed,fear_of_attack,32.4333,35.5833,Capitulation
134,Arab Al Ghazawiya,1948-1949,1948-05-20,Beisan,500,destroyed,fear_of_attack,32.4667,35.6000,Capitulation
135,Arab Al Bawati,1948-1949,1948-05-20,Beisan,1240,destroyed,fear_of_attack,32.5333,35.5667,Capitulation
136,Arab Al Bashatiwa,1948-1949,1948-05-16,Beisan,180,destroyed,fear_of_attack,32.5500,35.5500,Capitulation
137,Mujeidil,1948-1949,1948-07-15,Nazareth,1900,destroyed,military_assault,32.6667,35.2333,Military assault
138,Ma'lul,1948-1949,1948-07-15,Nazareth,770,destroyed,military_assault,32.7167,35.2667,Military assault
139,Saffuriya,1948-1949,1948-07-16,Nazareth,4330,destroyed,military_assault,32.7500,35.2833,Military assault and expulsion
140,Beit Lahm,1948-1949,1948-04-15,Haifa,350,destroyed,military_assault,32.7500,35.1167,Military assault
141,Waldheim,1948-1949,1948-04-15,Haifa,150,destroyed,military_assault,32.7333,35.1333,Military assault
142,Khirbet Ras Ali,1948-1949,1948-04-15,Haifa,90,destroyed,unknown,32.7167,35.1500,Unknown
143,Yajur,1948-1949,1948-04-25,Haifa,610,destroyed,military_assault,32.6833,35.0667,Military assault and capitulation
144,Balad Al Sheikh,1948-1949,1948-04-25,Haifa,4120,destroyed,military_assault,32.8000,35.0833,Military assault and capitulation
145,Arab Al Ghawarina,1948-1949,1948-04-15,Haifa,1240,destroyed,military_assault,32.7667,35.0333,Whispering and military assault
146,Wadi'Ara,1948-1949,1948-02-27,Haifa,230,destroyed,fear_of_attack,32.6500,35.1833,Fear of attack
147,Lajjun,1948-1949,1948-05-30,Jenin,1103,destroyed,military_assault,32.5667,35.1833,Military assault
148,Mansi,1948-1949,1948-04-12,Haifa,810,destroyed,military_assault,32.7833,35.1000,Military assault
149,Naghnaghiya,1948-1949,1948-04-12,Haifa,1470,destroyed,military_assault,32.7667,35.1167,Military assault
150,Ghubayya Al Fauqa,1948-1949,1948-04-08,Haifa,990,destroyed,military_assault,32.6333,35.0167,Military assault
151,Ghubayya Al Tahta,1948-1949,1948-04-08,Haifa,1030,destroyed,military_assault,32.6167,35.0333,Military assault
152,Abu Shusha,1948-1949,1948-04-09,Haifa,620,destroyed,military_assault,32.5833,35.0500,Military assault
153,Abu Zureiq,1948-1949,1948-04-12,Haifa,550,destroyed,military_assault,32.5667,35.0667,Military assault and expulsion
154,Qira Wa Qamun,1948-1949,1948-03-15,Haifa,260,destroyed,whispering_campaign,32.5500,35.0833,Whispering campaign
155,Kafrin,1948-1949,1948-04-12,Haifa,430,destroyed,military_assault,32.6000,35.1000,Military assault
156,Buteimat,1948-1949,1948-05-15,Haifa,110,destroyed,fear_of_attack,32.7333,35.2000,Fear of attack
157,Umm Al Shauf,1948-1949,1948-05-12,Haifa,480,destroyed,military_assault,32.6333,35.1333,Military assault
158,Khubbeiza,1948-1949,1948-05-12,Haifa,290,destroyed,military_assault,32.6167,35.1500,Military assault
159,Sabbarin,1948-1949,1948-05-12,Haifa,1700,destroyed,military_assault,32.6000,35.1667,Military assault
160,Sindayana,1948-1949,1948-05-12,Haifa,210,destroyed,military_assault,32.5833,35.1833,Military assault
161,Bureika,1948-1949,1948-05-05,Haifa,290,destroyed,fear_of_attack,32.5667,35.2000,Capitulation
162,Damoyat Al Ruha,1948-1949,1948-03-15,Haifa,340,destroyed,military_assault,32.6500,35.2167,Whispering and military assault
163,Rihaniya,1948-1949,1948-05-15,Haifa,390,destroyed,unknown,32.7000,35.1667,Unknown
164,Umm Al Zinat,1948-1949,1948-05-15,Haifa,1470,destroyed,fear_of_attack,32.7167,35.1833,Fear of attack
165,Khirbat Qumbaza,1948-1949,1948-05-15,Haifa,200,destroyed,unknown,32.6833,35.2000,Date uncertain
166,Ein Ghazal,1948-1949,1948-07-24,Haifa,2170,destroyed,military_assault,32.6333,34.9500,Military assault
167,Ijzim,1948-1949,1948-07-24,Haifa,2970,destroyed,military_assault,32.5667,34.9333,Military assault
168,Jab'a,1948-1949,1948-07-24,Haifa,2150,destroyed,military_assault,32.5500,34.9500,Military assault
169,Mazar,1948-1949,1948-07-15,Haifa,270,destroyed,military_assault,32.6667,35.0500,Military assault
170,Ein Haud,1948-1949,1948-07-15,Haifa,650,destroyed,military_assault,32.6833,35.0333,Military assault
171,Qannir,1948-1949,1948-04-25,Haifa,1200,destroyed,fear_of_attack,32.5333,35.0167,Capitulation and fear
172,Arab Haifa,1948-1949,1948-04-21,Haifa,71000,destroyed,military_assault,32.8192,34.9992,Military assault and abandonment on city
173,Tira,1948-1949,1948-07-16,Haifa,5270,destroyed,military_assault,32.5167,34.9500,Military assault
174,Sarafand,1948-1949,1948-07-16,Haifa,290,destroyed,military_assault,32.5000,34.9667,Military assault and capitulation
175,Kaft Lam,1948-1949,1948-07-16,Haifa,340,destroyed,military_assault,32.5833,34.9167,Military assault and capitulation
176,Tantura,1948-1949,1948-05-21,Haifa,1490,destroyed,massacre,32.5167,34.9167,Expulsion after massacre
177,Qisarya,1948-1949,1948-02-15,Haifa,960,destroyed,forced_expulsion,32.5050,34.9150,Expulsion
178,Khirbet Al Sarkas,1948-1949,1948-04-15,Haifa,130,destroyed,forced_expulsion,32.4667,34.9333,Expulsion
179,Dumeira,1948-1949,1948-04-01,Haifa,340,destroyed,forced_expulsion,32.4500,34.9500,Expulsion
180,Arab Al Fuqara,1948-1949,1948-04-10,Haifa,1230,destroyed,forced_expulsion,32.4333,34.9667,Expulsion
181,Arab Al Nufeiat,1948-1949,1948-04-10,Haifa,820,destroyed,forced_expulsion,32.4167,34.9833,Expulsion
182,Wadi Al Hawarith,1948-1949,1948-03-15,Tulkarm,1780,destroyed,military_assault,32.3833,35.0000,Military assault and fear
183,Raml Zeita,1948-1949,1948-04-15,Tulkarm,190,destroyed,unknown,32.3667,35.0167,Unknown
184,Khirbet Manshiya,1948-1949,1948-04-15,Tulkarm,260,destroyed,fear_of_attack,32.3500,35.0333,Fear of attack
185,Khirbet Zalafa,1948-1949,1948-04-15,Tulkarm,210,destroyed,fear_of_attack,32.3333,35.0500,Fear of attack
186,Wadi Qabbani,1948-1949,1948-04-15,Tulkarm,120,destroyed,unknown,32.3167,35.0667,Unknown
187,Qaqun,1948-1949,1948-06-05,Tulkarm,1970,destroyed,military_assault,32.3000,35.0833,Military assault
188,Umm Khalid,1948-1949,1948-04-15,Tulkarm,970,destroyed,unknown,32.2833,34.9000,Unknown
189,Khirbet Beit Lid,1948-1949,1948-04-05,Tulkarm,190,destroyed,fear_of_attack,32.2667,35.0167,Fear of attack
190,Birket Ramadan,1948-1949,1948-04-15,Tulkarm,290,destroyed,unknown,32.2500,35.0333,Unknown
191,Miska,1948-1949,1948-04-15,Tulkarm,880,destroyed,forced_expulsion,32.2333,34.9500,Expulsion
192,Tabsar,1948-1949,1948-04-03,Tulkarm,760,destroyed,forced_expulsion,32.2167,35.0500,Fear and expulsion
193,Kafr Saba,1948-1949,1948-05-15,Tulkarm,1270,destroyed,military_assault,32.1833,34.9167,Military assault
194,Biyar Adas,1948-1949,1948-04-12,Tulkarm,300,destroyed,military_assault,32.1667,34.9333,Military assault
195,Haram,1948-1949,1948-02-03,Jaffa,520,destroyed,fear_of_attack,32.1500,34.8167,Fear of attack
196,Jalil,1948-1949,1948-03-15,Jaffa,1030,destroyed,fear_of_attack,32.1333,34.8333,Fear of attack
197,Arab Abu Kischk,1948-1949,1948-03-30,Jaffa,1900,destroyed,fear_of_attack,32.1167,34.8500,Fear and capitulation
198,Arab Al Sawalima,1948-1949,1948-03-30,Jaffa,800,destroyed,fear_of_attack,32.1000,34.8667,Fear and capitulation
199,Mirr,1948-1949,1948-03-01,Jaffa,170,destroyed,fear_of_attack,32.0833,34.8833,Fear of attack
200,Cheikh Muwannis,1948-1949,1948-03-30,Jaffa,1930,destroyed,military_assault,32.1083,34.8042,Military assault and fear
201,Ras Al Ein,1948-1949,1948-07-13,Ramle,620,destroyed,military_assault,32.0833,34.9333,Military assault
202,Majdal Yaba,1948-1949,1948-07-13,Ramle,1520,destroyed,military_assault,32.0667,34.9500,Military assault
203,Fajja,1948-1949,1948-05-15,Jaffa,1200,destroyed,whispering_campaign,32.0500,34.9167,Whispering campaign
204,Jammasin,1948-1949,1948-03-17,Jaffa,1510,destroyed,fear_of_attack,32.0333,34.8500,Fear of attack
205,Mas'udiya,1948-1949,1947-12-25,Jaffa,850,destroyed,fear_of_attack,32.0167,34.8667,Fear of attack
206,Sarona,1948-1949,1948-04-15,Jaffa,270,destroyed,unknown,32.0750,34.7917,Unknown
207,Jaffa,1948-1949,1948-05-01,Jaffa,70000,destroyed,military_assault,32.0542,34.7617,Military assault on city
208,Salama,1948-1949,1948-04-25,Jaffa,6670,destroyed,military_assault,32.0583,34.8083,Military assault
209,Kheiriya,1948-1949,1948-04-25,Jaffa,1420,destroyed,military_assault,32.0417,34.8250,Military assault
210,Muzeiri'a,1948-1949,1948-04-15,Jaffa,1160,destroyed,unknown,32.0250,34.8417,Unknown
211,Qula,1948-1949,1948-07-10,Ramle,1010,destroyed,military_assault,32.0083,34.9583,Military assault
212,Rantiya,1948-1949,1948-04-28,Ramle,590,destroyed,military_assault,31.9917,34.9750,Military assault
213,Yahudiya,1948-1949,1948-05-04,Jaffa,5650,destroyed,military_assault,32.1000,34.8917,Military assault
214,Saqiya,1948-1949,1948-04-25,Jaffa,1100,destroyed,military_assault,32.0833,34.9083,Military assault
215,Yazur,1948-1949,1948-05-01,Jaffa,4030,destroyed,military_assault,32.0333,34.8333,Capitulation and military assault
216,Tira,1948-1949,1948-07-10,Ramle,5270,destroyed,military_assault,31.9750,34.9417,Military assault
217,Wilhelma,1948-1949,1948-07-10,Ramle,890,destroyed,military_assault,31.9583,34.9583,Military assault
218,Kafr Ana,1948-1949,1948-04-25,Jaffa,2800,destroyed,military_assault,32.0500,34.9250,Military assault
219,Beit Dajan,1948-1949,1948-04-25,Jaffa,3840,destroyed,fear_of_attack,32.0667,34.9417,Capitulation
220,Safiriya,1948-1949,1948-04-15,Ramle,3070,destroyed,unknown,31.9417,34.9750,Unknown
221,Deir Tarif,1948-1949,1948-07-10,Ramle,1750,destroyed,military_assault,31.9250,34.9917,Military assault
222,Beit Nabala,1948-1949,1948-05-13,Ramle,2310,destroyed,fear_of_attack,31.9083,35.0083,Abandonment
223,Jindas,1948-1949,1948-07-10,Ramle,1420,destroyed,unknown,31.8917,35.0250,Unknown
224,Haditha,1948-1949,1948-07-12,Ramle,760,destroyed,military_assault,31.8750,35.0417,Military assault
225,Sarafand Al Amar,1948-1949,1948-04-15,Ramle,1950,destroyed,unknown,31.8583,35.0583,Unknown
226,Lydda,1948-1949,1948-07-11,Ramle,18250,destroyed,forced_expulsion,31.9522,34.8886,Expulsion and military assault on city
227,Ramle,1948-1949,1948-07-12,Ramle,15160,destroyed,forced_expulsion,31.9294,34.8667,Expulsion and military assault on city
228,Deir Abu Salama,1948-1949,1948-07-13,Ramle,60,destroyed,military_assault,31.9083,34.9000,Military assault
229,Khirbet AL Dhuheiriya,1948-1949,1948-07-10,Ramle,100,destroyed,military_assault,31.8917,34.9167,Military assault
230,Jimzu,1948-1949,1948-07-10,Ramle,1510,destroyed,military_assault,31.8750,34.9333,Military assault
231,Khirbet Zakariya,1948-1949,1948-07-12,Ramle,200,destroyed,military_assault,31.8583,34.9500,Military assault and capitulation
232,Daniyal,1948-1949,1948-07-10,Ramle,410,destroyed,military_assault,31.8417,34.9667,Military assault
233,Abu Al Fadl,1948-1949,1948-05-09,Ramle,510,destroyed,fear_of_attack,31.8250,34.9833,Capitulation
234,Sarafand AL Kharab,1948-1949,1948-04-20,Ramle,290,destroyed,fear_of_attack,31.8083,35.0000,Fear of attack
235,Shilta,1948-1949,1948-07-15,Ramle,100,destroyed,military_assault,31.7917,35.0167,Military assault
236,Burj,1948-1949,1948-07-15,Ramle,480,destroyed,military_assault,31.7750,35.0333,Military assault
237,Bir Ma'in,1948-1949,1948-07-15,Ramle,510,destroyed,military_assault,31.7583,35.0500,Military assault
238,Beit Shanna,1948-1949,1948-07-15,Ramle,210,destroyed,military_assault,31.7417,35.0667,Military assault
239,Salbit,1948-1949,1948-07-15,Ramle,510,destroyed,military_assault,31.7250,35.0833,Military assault
240,Qubab,1948-1949,1948-05-15,Ramle,1980,destroyed,military_assault,31.7083,35.1000,Military assault
241,Barfiliya,1948-1949,1948-07-14,Ramle,730,destroyed,military_assault,31.6917,35.1167,Military assault
