detail_id,event_id,event_name,category,order,time,heading_label,value,content,source,source_link
DET-033,curr_005,Mass Graves Discovery at Nasser Hospital,war_crime,2,,Desecration of dead,,,,
DET-034,curr_005,Mass Graves Discovery at Nasser Hospital,war_crime,3,,Forced disappearances,,,,
DET-035,curr_005,Mass Graves Discovery at Nasser Hospital,war_crime,4,,War crimes,,,,
DET-036,curr_005,Mass Graves Discovery at Nasser Hospital,source,1,,,,Gaza Civil Defense,Gaza Civil Defense,
DET-037,curr_005,Mass Graves Discovery at Nasser Hospital,source,2,,,,UN OCHA,UN OCHA,
DET-038,curr_005,Mass Graves Discovery at Nasser Hospital,source,3,,,,Human Rights Watch,Human Rights Watch,
DET-039,curr_005,Mass Graves Discovery at Nasser Hospital,source,4,,,,Euro-Med Human Rights Monitor,Euro-Med Human Rights Monitor,
DET-040,curr_006,Al-Shifa Hospital Siege,war_crime,1,,Attack on medical facility,,,,
DET-041,curr_006,Al-Shifa Hospital Siege,war_crime,2,,Denial of medical care,,,,
DET-042,curr_006,Al-Shifa Hospital Siege,war_crime,3,,Targeting protected site,,,,
DET-043,curr_006,Al-Shifa Hospital Siege,war_crime,4,,Civilian deaths,,,,
DET-044,curr_006,Al-Shifa Hospital Siege,source,1,,,,WHO,WHO,
DET-045,curr_006,Al-Shifa Hospital Siege,source,2,,,,UN OCHA,UN OCHA,
DET-046,curr_006,Al-Shifa Hospital Siege,source,3,,,,Human Rights Watch,Human Rights Watch,
DET-047,curr_006,Al-Shifa Hospital Siege,source,4,,,,Doctors Without Borders,Doctors Without Borders,
DET-048,curr_007,Rafah Tent Camp Massacre,war_crime,1,,Targeting displaced persons,,,,
DET-049,curr_007,Rafah Tent Camp Massacre,war_crime,2,,Disproportionate force,,,,
DET-050,curr_007,Rafah Tent Camp Massacre,war_crime,3,,Civilian deaths,,,,
DET-051,curr_007,Rafah Tent Camp Massacre,war_crime,4,,Use of incendiary weapons,,,,
DET-052,curr_007,Rafah Tent Camp Massacre,source,1,,,,UN OCHA,UN OCHA,
DET-053,curr_007,Rafah Tent Camp Massacre,source,2,,,,Gaza Health Ministry,Gaza Health Ministry,
DET-054,curr_007,Rafah Tent Camp Massacre,source,3,,,,Human Rights Watch,Human Rights Watch,
DET-055,curr_007,Rafah Tent Camp Massacre,source,4,,,,Video evidence,Video evidence,
DET-056,curr_008,World Central Kitchen Workers Killing,war_crime,1,,Targeting aid workers,,,,
DET-057,curr_008,World Central Kitchen Workers Killing,war_crime,2,,Targeting clearly marked vehicles,,,,
DET-058,curr_008,World Central Kitchen Workers Killing,war_crime,3,,War crimes,,,,
DET-059,curr_008,World Central Kitchen Workers Killing,war_crime,4,,Obstruction of humanitarian aid,,,,
DET-060,curr_008,World Central Kitchen Workers Killing,source,1,,,,World Central Kitchen Statement,World Central Kitchen Statement,
DET-061,curr_008,World Central Kitchen Workers Killing,source,2,,,,UN Security Council,UN Security Council,
DET-062,curr_008,World Central Kitchen Workers Killing,source,3,,,,Human Rights Watch,Human Rights Watch,
DET-063,curr_008,World Central Kitchen Workers Killing,source,4,,,,Multiple governments,Multiple governments,
DET-064,curr_009,Gaza City Systematic Destruction,war_crime,1,,Collective punishment,,,,
DET-065,curr_009,Gaza City Systematic Destruction,war_crime,2,,Destruction of civilian infrastructure,,,,
DET-066,curr_009,Gaza City Systematic Destruction,war_crime,3,,Forced displacement,,,,
DET-067,curr_009,Gaza City Systematic Destruction,war_crime,4,,War crimes,,,,
DET-068,curr_009,Gaza City Systematic Destruction,source,1,,,,UN OCHA,UN OCHA,
DET-069,curr_009,Gaza City Systematic Destruction,source,2,,,,Satellite imagery analysis,Satellite imagery analysis,
DET-070,curr_009,Gaza City Systematic Destruction,source,3,,,,Human Rights Watch,Human Rights Watch,
DET-071,curr_009,Gaza City Systematic Destruction,source,4,,,,UN Satellite Centre,UN Satellite Centre,
DET-072,curr_010,Starvation Genocide - Northern Gaza Blockade,war_crime,1,,Starvation as weapon of war,,,,
DET-073,curr_010,Starvation Genocide - Northern Gaza Blockade,war_crime,2,,Genocide,,,,
DET-074,curr_010,Starvation Genocide - Northern Gaza Blockade,war_crime,3,,Collective punishment,,,,
DET-075,curr_010,Starvation Genocide - Northern Gaza Blockade,war_crime,4,,Crimes against humanity,,,,
DET-076,curr_010,Starvation Genocide - Northern Gaza Blockade,war_crime,5,,Denial of humanitarian aid,,,,
DET-077,curr_010,Starvation Genocide - Northern Gaza Blockade,source,1,,,,UN Special Rapporteurs,UN Special Rapporteurs,
DET-078,curr_010,Starvation Genocide - Northern Gaza Blockade,source,2,,,,World Food Programme,World Food Programme,
DET-079,curr_010,Starvation Genocide - Northern Gaza Blockade,source,3,,,,Human Rights Watch,Human Rights Watch,
DET-080,curr_010,Starvation Genocide - Northern Gaza Blockade,source,4,,,,Genocide Watch,Genocide Watch,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
