detail_id,_anchor,event_id,heading_label_de,content_de
DET-1368,DET-043,curr_006,Zivile Todesopfer,
DET-1369,DET-044,curr_006,,WER
DET-1370,DET-045,curr_006,,UN OCHA
DET-1371,DET-046,curr_006,,Human Rights Watch
DET-1372,DET-047,curr_006,,Ärzte ohne Grenzen
DET-1373,DET-048,curr_007,Zielsetzung für Vertriebene,
DET-1374,DET-049,curr_007,Unverhältnismäßige Gewalt,
DET-1375,DET-050,curr_007,Zivile Todesopfer,
DET-1376,DET-051,curr_007,Einsatz von Brandwaffen,
DET-1377,DET-052,curr_007,,UN OCHA
DET-1378,DET-053,curr_007,,Gesundheitsministerium des Gazastreifens
DET-1379,DET-054,curr_007,,Human Rights Watch
DET-1380,DET-055,curr_007,,Videobeweis
DET-1381,DET-056,curr_008,Hilfsorganisationen ins Visier nehmen,
DET-1382,DET-057,curr_008,Zielerfassung deutlich gekennzeichneter Fahrzeuge,
DET-1383,DET-058,curr_008,Kriegsverbrechen,
DET-1384,DET-059,curr_008,Behinderung humanitärer Hilfe,
DET-1385,DET-060,curr_008,,Erklärung der Weltzentralen Küche
DET-1386,DET-061,curr_008,,UN-Sicherheitsrat
DET-1387,DET-062,curr_008,,Human Rights Watch
DET-1388,DET-063,curr_008,,Mehrere Regierungen
DET-1389,DET-064,curr_009,Kollektivbestrafung,
DET-1390,DET-065,curr_009,Zerstörung ziviler Infrastruktur,
DET-1391,DET-066,curr_009,erzwungene Verschiebung,
DET-1392,DET-067,curr_009,Kriegsverbrechen,
DET-1393,DET-068,curr_009,,UN OCHA
DET-1394,DET-069,curr_009,,Satellitenbildanalyse
DET-1395,DET-070,curr_009,,Human Rights Watch
DET-1396,DET-071,curr_009,,UN-Satellitenzentrum
DET-1397,DET-072,curr_010,Hunger als Kriegswaffe,
DET-1398,DET-073,curr_010,Völkermord,
DET-1399,DET-074,curr_010,Kollektivbestrafung,
DET-1400,DET-075,curr_010,Verbrechen gegen die Menschlichkeit,
DET-1401,DET-076,curr_010,Verweigerung humanitärer Hilfe,
DET-1402,DET-077,curr_010,,UN-Sonderberichterstatter
DET-1403,DET-078,curr_010,,Welternährungsprogramm
DET-1404,DET-079,curr_010,,Human Rights Watch
DET-1405,DET-080,curr_010,,Genozid-Watch
DET-1406,,,,
DET-1407,,,,
DET-1408,,,,
DET-1409,,,,
DET-1410,,,,
DET-1411,,,,
DET-1412,,,,
DET-1413,,,,
DET-1414,,,,
DET-1415,,,,
DET-1416,,,,
DET-1417,,,,
DET-1418,,,,
DET-1419,,,,
DET-1420,,,,
DET-1421,,,,
DET-1422,,,,
DET-1423,,,,
DET-1424,,,,
DET-1425,,,,
DET-1426,,,,
DET-1427,,,,
DET-1428,,,,
DET-1429,,,,
DET-1430,,,,
DET-1431,,,,
DET-1432,,,,
DET-1433,,,,
DET-1434,,,,
DET-1435,,,,
DET-1436,,,,
DET-1437,,,,
DET-1438,,,,
DET-1439,,,,
DET-1440,,,,
DET-1441,,,,
DET-1442,,,,
DET-1443,,,,
DET-1444,,,,
DET-1445,,,,
DET-1446,,,,
DET-1447,,,,
DET-1448,,,,
DET-1449,,,,
DET-1450,,,,
DET-1451,,,,
DET-1452,,,,
DET-1453,,,,
DET-1454,,,,
DET-1455,,,,
DET-1456,,,,
DET-1457,,,,
DET-1458,,,,
DET-1459,,,,
DET-1460,,,,
DET-1461,,,,
DET-1462,,,,
DET-1463,,,,
DET-1464,,,,
DET-1465,,,,
DET-1466,,,,
DET-1467,,,,
DET-1468,,,,
DET-1469,,,,
DET-1470,,,,
DET-1471,,,,
DET-1472,,,,
DET-1473,,,,
DET-1474,,,,
DET-1475,,,,
DET-1476,,,,
DET-1477,,,,
DET-1478,,,,
DET-1479,,,,
DET-1480,,,,
DET-1481,,,,
DET-1482,,,,
DET-1483,,,,
DET-1484,,,,
DET-1485,,,,
DET-1486,,,,
DET-1487,,,,
DET-1488,,,,
DET-1489,,,,
DET-1490,,,,
DET-1491,,,,
DET-1492,,,,
DET-1493,,,,
DET-1494,,,,
DET-1495,,,,
DET-1496,,,,
DET-1497,,,,
DET-1498,,,,
DET-1499,,,,
DET-1500,,,,
DET-1501,,,,
DET-1502,,,,
DET-1503,,,,
DET-1504,,,,
DET-1505,,,,
DET-1506,,,,
DET-1507,,,,
DET-1508,,,,
DET-1509,,,,
DET-1510,,,,
DET-1511,,,,
DET-1512,,,,
DET-1513,,,,
DET-1514,,,,
DET-1515,,,,
DET-1516,,,,
DET-1517,,,,
DET-1518,,,,
DET-1519,,,,
DET-1520,,,,
DET-1521,,,,
DET-1522,,,,
DET-1523,,,,
DET-1524,,,,
DET-1525,,,,
DET-1526,,,,
DET-1527,,,,
