id,_anchor,name_de,specialization_de,post_war_status_de,introduction_de,notes_de
FAC-010,Al-Sardi School,Al-Sardi-Schule,Allgemeine Bildung,"Am 6. Juni 2024 gegen 2 Uhr morgens schlugen zwei GBU-39-Raketen in Klassenzimmern im obersten Stockwerk ein. 33–35 Menschen starben (9 Kinder, 3 Frauen, 21 Männer), über 70 wurden verletzt. Unter den Opfern war ein 8-jähriger Junge.",Die UNRWA-Schule im Flüchtlingslager Nuseirat beherbergte zum Zeitpunkt des Streiks etwa 6.000 Binnenvertriebene.,
FAC-011,Al-Jawni School,Al-Jawni-Schule,Allgemeine Bildung,"Am 6. Juli 2024 wurde ein Bombenangriff durchgeführt (16 Tote, 2.000 Menschen suchten Schutz); am 11. September 2024 folgte ein weiterer Angriff (18 Tote, darunter 6 UNRWA-Mitarbeiter, über 44 Verletzte). Der UNRWA-Chef erklärte, dass zwei Drittel aller UNRWA-Schulen im Gazastreifen getroffen worden seien.","Eine von der UNRWA betriebene Schule im Flüchtlingslager Nuseirat, die in der Woche vor dem Angriff als Polio-Impfzentrum genutzt wurde.",
FAC-012,Al-Awda School,Al-Awda-Schule,Allgemeine Bildung,"Anschlag am 9. Juli 2024; eine GBU-39-Bombe traf das Tor. Mehr als 31 Tote (hauptsächlich Frauen und Kinder), mehr als 53 Verletzte. Vierter Schulangriff innerhalb von vier Tagen.",Die UNRWA-Schule im Dorf Abasan al-Kabira östlich von Khan Younis wurde in eine Flüchtlingsunterkunft für Rafah-Evakuierte umgewandelt.,
FAC-013,Khadija Girls' School,Khadija Mädchenschule,Allgemeinbildung (Mädchen),"Angriff am 26./27. Juli 2024; mindestens drei Luftangriffe mit US-amerikanischer Munition. 30–53 Tote, darunter 15 Kinder und 8 Frauen, über 100 Verletzte. HRW fand keine Hinweise auf ein militärisches Ziel.","Staatliche Mädchenschule westlich der Stadt Deir al-Balah, die rund 4.000 Vertriebene beherbergt und über ein angeschlossenes Feldlazarett verfügt.",
FAC-014,Rufaida Girls' High School,Rufaida Mädchengymnasium,Allgemeinbildung (Mädchen),"Anschlag vom 10. Oktober 2024; über 28 Tote, darunter 2 Kinder, über 54 Verletzte. Dritter Schulangriff in Deir al-Balah innerhalb einer Woche. Koordinaten von Wikipedia Geohack.","Staatliche Mädchenschule in Deir al-Balah, die als Notunterkunft und UNICEF-Behandlungszentrum für Mangelernährung genutzt wird.",
FAC-015,Holy Family School,Holy Family Schule,Allgemeine Bildung,Anschlag am 7. Juli 2024; 4 Tote. Teil des größeren Komplexes des Lateinischen Patriarchats in Gaza-Stadt.,"Eine katholische Privatschule im Besitz des Lateinischen Patriarchats in Gaza-Stadt, die Hunderte von Flüchtlingen aus dem Krieg beherbergt.",
FAC-016,Shadia Abu Ghazala School,Shadia Abu Ghazala Schule,Allgemeine Bildung,"Es ist dokumentiert, dass Beit Lahia während des Gaza-Krieges angegriffen wurde. Die Stadt war im Oktober/November 2024 heftigen Bombardierungen ausgesetzt.",Eine staatliche Schule in Beit Lahia im nördlichen Gazastreifen wurde nachweislich während des Krieges getroffen.,
FAC-017,Fahmi al-Jarjawi School,Fahmi al-Jarjawi Schule,Allgemeine Bildung,"Anschlag vom 25. Mai 2025; über 36 Tote, darunter 18 Kinder und 6 Frauen, über 55 Verletzte. Der Anschlag wurde international scharf verurteilt.",Eine staatliche Schule im Stadtteil Daraj von Gaza-Stadt wird als Notunterkunft für Binnenvertriebene genutzt.,
FAC-018,Al-Farabi School,Al-Farabi-Schule,Allgemeine Bildung,"Am frühen Morgen des 7. September 2025 schlug ein Bombenangriff ein; 8 Tote, darunter mehrere Kinder; laut Zeugenaussagen wurden zwei Raketen eingesetzt.",Eine staatliche Schule im Südwesten von Gaza-Stadt in der Nähe des al-Yarmouk-Stadions wurde als Zufluchtsort genutzt.,
FAC-019,Ibn Rushd School,Ibn Rushd Schule,Allgemeine Bildung,Am 6. Oktober 2024 wurde eine benachbarte Moschee getroffen; mehr als 26 Tote und mehr als 93 Verletzte. Zum Zeitpunkt des Anschlags wurden vertriebene Familien dort untergebracht.,Die staatliche Schule neben der Shuhada al-Aqsa-Moschee in Deir al-Balah wurde zeitgleich mit der Moschee angegriffen.,
FAC-020,Fatima Bint Asad School,Fatima Bint Asad Schule,Allgemeine Bildung,"Am 9. Oktober 2024 gegen 18:45 Uhr erfolgte ein Artillerieangriff mit zivilen Opfern. Koordinaten: Airwars ISPT091024v (31.538711, 34.495107).","Schule in Jabalia al-Balad, nördlicher Gazastreifen. Koordinaten stammen aus dem Airwars-Einsatzbericht ISPT091024v.",
FAC-021,British International School (BIS Gaza),Britische Internationale Schule (BIS Gaza),International (A-Level / GED),Geschlossen am 7. Oktober 2023 aufgrund des Krieges. Gegründet 2016. Koordinaten von Wikipedia. Webseite: bis.edu.ps,"Private internationale Schule im Stadtteil Tel Al Hawa von Gaza-Stadt, gegründet 2016, die britische A-Levels und amerikanische GED-Abschlüsse anbietet.",
FAC-022,Khuza'a Martyrs Secondary School,Khuza'a Martyrs Secondary School,Allgemeine Bildung,Koordinaten von gis.unicef ​​und Google Maps,"Die staatliche Schule in Kuza'a im Gouvernement Khan Younis liegt 500 Meter (0,3 Meilen) von der Grünen Linie entfernt. Es gibt separate Schulen für Jungen und Mädchen auf demselben Gelände.",
FAC-023,Abasan Basic School,Abasan Grundschule,Allgemeine Bildung,Koordinaten von gis.unicef ​​und Google Maps,"Staatliche Schule in Abasan al-Kabira, Khan Younis",
FAC-024,Abasan Al Jadeeda Basic School,Abasan Al Jadeeda Grundschule,Allgemeine Bildung,Koordinaten von gis.unicef ​​und Google Maps,"Staatliche Schule in Abasan al-Jadeeda al-Saghira, Khan Younis",
FAC-025,Abbas Mahmoud Al Akkad Basic and Secondary Girls School,Abbas Mahmoud Al Akkad Grund- und Sekundarschule für Mädchen,Allgemeine Bildung,Koordinaten von gis.unicef ​​und Google Maps,"Staatliche Schule in Al-Nasser, Rafah. Primar- und Sekundarbildung für Mädchen.",
FAC-026,Al-Nazla School,Al-Nazla-Schule,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
