id,_anchor,name_ar,specialization_ar,post_war_status_ar,introduction_ar,introduction_ar,notes_ar
FAC-011,Al-Jawni School,مدرسة الجاوني,التعليم العام,تعرض قطاع غزة لهجوم في 6 يوليو/تموز 2024 (16 قتيلاً، و2000 شخص كانوا يحتمون)؛ ثم تعرض لهجوم آخر في 11 سبتمبر/أيلول 2024 (18 قتيلاً بينهم 6 من موظفي الأونروا، وأكثر من 44 جريحاً). وصرح رئيس الأونروا بأن ثلثي مدارس الأونروا في غزة قد تعرضت للقصف.,"UNRWA-run school in Nuseirat refugee camp, used as a polio vaccination centre the week before it was struck.",مدرسة تديرها الأونروا في مخيم النصيرات للاجئين، كانت تستخدم كمركز للتطعيم ضد شلل الأطفال في الأسبوع الذي سبق تعرضها للهجوم.,
FAC-012,Al-Awda School,مدرسة العودة,التعليم العام,وقع الهجوم في 9 يوليو 2024؛ حيث أصابت قنبلة من طراز GBU-39 البوابة. أسفر الهجوم عن مقتل أكثر من 31 شخصًا (معظمهم من النساء والأطفال)، وإصابة أكثر من 53 آخرين. هذا هو الهجوم الرابع على مدرسة خلال أربعة أيام.,"UNRWA school in Abasan al-Kabira village east of Khan Younis, converted to displacement shelter for Rafah evacuees.",تحويل مدرسة تابعة للأونروا في قرية عبسان الكبيرة شرق خان يونس إلى ملجأ للنازحين من رفح.,
FAC-013,Khadija Girls' School,مدرسة خديجة للبنات,التعليم العام (للبنات),استهدفت الغارات الجوية في الفترة من 26 إلى 27 يوليو/تموز 2024، باستخدام ذخائر أمريكية على الأقل. أسفرت عن مقتل ما بين 30 و53 شخصاً، بينهم 15 طفلاً و8 نساء، وإصابة أكثر من 100 شخص. ولم تجد منظمة هيومن رايتس ووتش أي دليل على وجود هدف عسكري.,"Government girls' secondary school west of Deir al-Balah city, sheltering ~4,000 displaced with an attached field hospital.",مدرسة ثانوية حكومية للبنات غرب مدينة دير البلح، تؤوي حوالي 4000 نازح مع مستشفى ميداني ملحق بها.,
FAC-014,Rufaida Girls' High School,مدرسة روفيدا الثانوية للبنات,التعليم العام (للبنات),وقع الهجوم في 10 أكتوبر 2024؛ أسفر عن مقتل أكثر من 28 شخصًا بينهم طفلان، وإصابة أكثر من 54 آخرين. وهو الهجوم الثالث على مدرسة في دير البلح خلال أسبوع واحد. الإحداثيات مأخوذة من موقع ويكيبيديا (الجغرافيا).,"Government girls' secondary school in Deir al-Balah, used as a shelter and a UNICEF malnutrition treatment point.",مدرسة ثانوية حكومية للبنات في دير البلح، تستخدم كمأوى ونقطة لعلاج سوء التغذية تابعة لليونيسف.,
FAC-015,Holy Family School,مدرسة العائلة المقدسة,التعليم العام,وقع الهجوم في 7 يوليو 2024؛ وأسفر عن مقتل 4 أشخاص. وهو جزء من مجمع البطريركية اللاتينية الأوسع في مدينة غزة.,"Latin Patriarchate-owned Catholic private school in Gaza City, housing hundreds of refugees from the war.",مدرسة كاثوليكية خاصة تابعة للبطريركية اللاتينية في مدينة غزة، تؤوي مئات اللاجئين الفارين من الحرب.,
FAC-016,Shadia Abu Ghazala School,مدرسة شادية أبو غزالة,التعليم العام,تم توثيق تعرضها للهجوم خلال حرب غزة. تعرضت بيت لاهيا لقصف مكثف في أكتوبر/نوفمبر 2024.,"Government school in Beit Lahia, northern Gaza, documented as struck during the war.",مدرسة حكومية في بيت لاهيا، شمال غزة، تم توثيق تعرضها للقصف خلال الحرب.,
FAC-017,Fahmi al-Jarjawi School,مدرسة فهمي الجرجاوي,التعليم العام,وقع الهجوم في 25 مايو 2025، وأسفر عن مقتل أكثر من 36 شخصاً بينهم 18 طفلاً و6 نساء، وإصابة أكثر من 55 آخرين. وقد لاقى الهجوم إدانة دولية واسعة.,"Government school in the Daraj neighbourhood of Gaza City, used as a displacement shelter.",مدرسة حكومية في حي درج بمدينة غزة، تستخدم كمأوى للنازحين.,
FAC-018,Al-Farabi School,مدرسة الفارابي,التعليم العام,وقع الهجوم في 7 سبتمبر 2025 في الصباح الباكر؛ وبلغ عدد القتلى 8 أشخاص بينهم عدة أطفال، واستُخدم صاروخان بحسب شهود عيان.,"Government school in southwestern Gaza City near the al-Yarmouk Stadium, used as a shelter.",مدرسة حكومية في جنوب غرب مدينة غزة بالقرب من استاد اليرموك، تستخدم كمأوى.,
FAC-019,Ibn Rushd School,مدرسة ابن رشد,التعليم العام,وقع الهجوم في 6 أكتوبر 2024 بجوار مسجد مجاور؛ أسفر عن مقتل أكثر من 26 شخصًا وإصابة أكثر من 93 آخرين. وكانوا يؤوون عائلات نازحة وقت الهجوم.,"Government school adjacent to Shuhada al-Aqsa mosque in Deir al-Balah, struck simultaneously with the mosque.",مدرسة حكومية مجاورة لمسجد شهداء الأقصى في دير البلح، تعرضت للهجوم في نفس وقت تعرض المسجد للهجوم.,
FAC-020,Fatima Bint Asad School,مدرسة فاطمة بنت أسد,التعليم العام,وقع القصف في 9 أكتوبر 2024 حوالي الساعة 6:45 مساءً؛ وأسفر القصف المدفعي عن سقوط ضحايا مدنيين. الإحداثيات: Airwars ISPT091024v (31.538711، 34.495107).,"School in Jabalia al-Balad, northern Gaza. Coords sourced from Airwars incident report ISPT091024v.",مدرسة في جباليا البلد، شمال غزة. تم الحصول على الإحداثيات من تقرير حادثة الحرب الجوية ISPT091024v.,
FAC-021,British International School (BIS Gaza),المدرسة البريطانية الدولية (BIS غزة),دولي (المستوى المتقدم / شهادة معادلة الثانوية العامة),أُغلقت في 7 أكتوبر 2023 بسبب الحرب. تأسست عام 2016. الإحداثيات من ويكيبيديا. الموقع الإلكتروني: bis.edu.ps,"Private international school in the Tel Al Hawa neighbourhood of Gaza City, founded in 2016 offering British A-levels and American GED qualifications.",مدرسة دولية خاصة في حي تل الهوى بمدينة غزة، تأسست عام 2016 وتقدم شهادات المستوى المتقدم البريطانية وشهادات معادلة الشهادة الأمريكية.,
FAC-022,Khuza'a Martyrs Secondary School,مدرسة شهداء خزاعة الثانوية,التعليم العام,الإحداثيات من موقع gis.unicef ​​وخرائط جوجل,"Government school in Kuza'a town in Khan Younis govornate, 500 meters (.3 miles) from the Green Line. Seperate boys and girls school on the same campus.",مدرسة حكومية في بلدة كوزا بمحافظة خان يونس، على بعد 500 متر (0.3 ميل) من الخط الأخضر. مدرسة منفصلة للبنين والبنات في نفس الحرم الجامعي.,
FAC-023,Abasan Basic School,مدرسة أباسان الأساسية,التعليم العام,الإحداثيات من موقع gis.unicef ​​وخرائط جوجل,"Government school in Abasan al-Kabira, Khan Younis",المدرسة الحكومية في عبسان الكبيرة، خانيونس,
FAC-024,Abasan Al Jadeeda Basic School,مدرسة عبسان الجديدة الأساسية,التعليم العام,الإحداثيات من موقع gis.unicef ​​وخرائط جوجل,"Government school in Abasan al-Jadeeda al-Saghira, Khan Younis",مدرسة حكومية في عبسان الجديدة الصغيرة، خانيونس,
FAC-025,Abbas Mahmoud Al Akkad Basic and Secondary Girls School,مدرسة عباس محمود العقاد الابتدائية والثانوية للبنات,التعليم العام,الإحداثيات من موقع gis.unicef ​​وخرائط جوجل,"Government school in Al-Nasser, Rafah. Primary and secondary education for girls",مدرسة حكومية في الناصر، رفح. تعليم ابتدائي وثانوي للبنات,
FAC-026,Al-Nazla School,مدرسة النزلة,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
