id,_anchor,name_de,specialization_de,post_war_status_de,introduction_de,notes_de
FAC-032,Red Cross Field Hospital - Rafah,Feldlazarett des Roten Kreuzes – Rafah,Notfall,Operativ,,"Betrieben vom IKRK, Rafah"
FAC-033,Emirates Crescent Hospital,Emirates Crescent Krankenhaus,Allgemein / Notfall,Geschlossen,,Betrieben von den VAE
FAC-034,Al Quds Field Hospital,Al-Quds-Feldlazarett,Allgemein / Notfall,Unbekannt,,Betrieben von PCRS
FAC-035,Kuwait Specialty Hospital,Kuwait Spezialkrankenhaus,Allgemein / Notfall,Geschlossen,,Betrieben von Kuwait
FAC-036,UAE Field Hospital,Feldlazarett der VAE,Allgemein / Notfall,Geschlossen,,Betrieben von den VAE
FAC-037,International Medical Corps Field Hospital,Feldlazarett des International Medical Corps,Allgemein / Notfall,,,"Einrichtung mit 160 Betten, betrieben von IMC"
FAC-038,UNRWA Health Centre,UNRWA-Gesundheitszentrum,Primärversorgung,,,"Betrieben von UNRWA. Vor dem Krieg gab es 22 UNRWA-Gesundheitszentren im Gazastreifen. Seit dem 7. Oktober 2023 änderte sich die Anzahl der in Betrieb befindlichen Zentren monatlich. Zusätzlich wurden temporäre Gesundheitszentren eingerichtet, um der gestiegenen Nachfrage gerecht zu werden. Während des Krieges entstanden fünf weitere Einrichtungen (insgesamt 27), von denen jedoch nicht alle in Betrieb waren."
FAC-039,Primary Care Clinic,Hausarztpraxis,Primärversorgung,,,
FAC-040,MSF Premise 01,MSF-Präsenz 01,Notfall / Trauma,,,Betrieben von MSF
FAC-041,MSF Clinic,MSF-Klinik,Notfall / Trauma,,,Betrieben von MSF
FAC-042,MSF Urgent Care Unit - Khan Younis,MSF-Notfallambulanz – Khan Younis,Notfall,,,Betrieben von MSF
FAC-043,Noura Al-Kaabi Specialist Dialysis Centre,Noura Al-Kaabi Spezialisiertes Dialysezentrum,Dialyse / Nephrologie,,,
FAC-044,Al-Zaytoun Medical Clinic,Medizinische Klinik Al-Zaytoun,Primärversorgung,Geschlossen,,
FAC-045,Qararah Health Care Center,Qararah Gesundheitszentrum,Primärversorgung,,,
FAC-046,Solidarity Polyclinic,Solidaritäts-Poliklinik,Primärversorgung,Geschlossen,,
FAC-047,Algerian Specialized Hospital,Algerisches Spezialkrankenhaus,Primärversorgung,Geschlossen,,
FAC-048,Muscat Al-Qarara Health Centre,Al-Qarara-Gesundheitszentrum in Maskat,Primärversorgung,Geschlossen,,
FAC-049,Al-Mawasi Clinic,Al-Mawasi-Klinik,Primärversorgung,,,
FAC-050,Kuwait Field Hospital,Feldlazarett Kuwait,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
