incident_id,facility_id,facility_name,starting_date,ending_date,attack_type,result,description,full_discription,source_url_1,source_url_2,archived_resources,has_image,image_url,archived_image,video_url,archived_video,civilians_killed,civilians_injured,hw_killed,hw_injured,added_by,reviewed_by,,submission_id,added_by,reviewed_by
INC-010,FAC-009,Al Ahli Arab Hospital,2025-04-13,,Strike / Forced Evacuation,"On 13 April, Al-Ahli Hospital was hit by two strikes that destroyed the emergency building of the hospital. The reception department, laboratory and pharmacy were all destroyed, while the church that hosted many patients sustained damage. The lab is the only lab providing certain testing in Gaza. Hospital out of service temporarily."," Prior to the strikes, the Israeli military reportedly issued an evacuation order, forcing medical staff and patients to evacuate. While no immediate casualties were reported, a child reportedly died due to the disruption of medical care during the evacuation process. According to the MoH General Director, Dr. Munir Al Bursh, the reception department, laboratory and pharmacy were all destroyed, while the church that hosted many patients sustained damage. MoH stated that the hospital has been rendered out of service temporarily and all services were directed to three other hospitals, including a field hospital in Gaza city.",,https://www.ochaopt.org/content/humanitarian-situation-update-280-gaza-strip2,"https://www.theguardian.com/world/2025/apr/13/gaza-city-hospital-hit-ahli-baptist-civil-defence-agency-israel-intensifies-military-operations,https://www.cbc.ca/news/world/gaza-al-ahli-hospital-patients-evacuated-israeli-strike-1.7510471-katz,https://news.un.org/en/story/2025/04/1162191,https://www.churchtimes.co.uk/articles/2025/17-april/news/world/church-leaders-condemn-latest-strikes-on-al-ahli-hospital-in-gaza,https://www.nytimes.com/2025/04/15/world/middleeast/gaza-hospital-israel-military.html,https://www.reuters.com/world/middle-east/israeli-missiles-strike-gaza-hospital-patients-evacuated-2025-04-13/,https://anglicanalliance.org/palm-sunday-air-strikes-against-al-ahli-hospital-in-gaza-city/,https://uspg.org.uk/news/palm-sunday-gaza-statement/,https://www.newarab.com/news/israeli-strike-destroys-northern-gazas-last-remaining-hospital,https://mondoweiss.net/2025/04/israel-just-bombed-the-last-operational-hospital-in-northern-gaza-again/,https://www.wsws.org/en/articles/2025/04/14/ftkr-a14.html,https://www.timesofisrael.com/liveblog_entry/un-chief-deeply-alarmed-by-idf-strike-on-gaza-hospital-on-sunday/,https://www.cbc.ca/news/world/gaza-al-ahli-hospital-patients-evacuated-israeli-strike-1.7510471",,Yes,"""https://www.aljazeera.com/news/2025/4/13/israeli-forces-bomb-al-ahli-hospital-in-gaza-forcing-patients-to-flee""""https://news.sky.com/story/israeli-air-strike-hits-gaza-hospital-13347901""""https://anglicanoverseasaid.org.au/2025/04/14/palm-sunday-bombing-of-al-ahli-arab-hospital-in-gaza/""",,"""https://www.youtube.com/watch?v=cySrQNecEQg""""https://media.un.org/unifeed/en/asset/d336/d3360571""""https://www.youtube.com/watch?v=K4z1ejgMT1c""",,1,,,,,GS,View Incident,,,
INC-011,FAC-009,Al Ahli Arab Hospital,2025-05-06,,Airstrike,Airstrike hit the yard of Al Ahli Arab Hospital killing four journalists and and injuring three,,,https://www.ochaopt.org/content/humanitarian-situation-update-296-gaza-strip,https://www.middleeasteye.net/news/israeli-strikes-ahli-baptist-hospital-gaza-city-kills-journalists,,Yes,,,https://www.youtube.com/watch?v=BEwbCRtSem8,,4,3,,,,GS,View Incident,,,
INC-012,FAC-009,Al Ahli Arab Hospital,2025-09-08,,Missile Strike,"A missile struck the courtyard of the Al-Ahli Arab Hospital in Gaza City with a single missile on 8 September, killing one person and wounding several others.",,,https://cnewa.org/gaza-christian-hospital-hit-by-missile/,,,No,,,,,1,,,,,GS,View Incident,,,
INC-013,FAC-009,Al Ahli Arab Hospital,2025-08-17,,Drone Strike,seven Palestinian males were reportedly killed and others injured in the yard of Al Ahli Hospital,,,https://www.ochaopt.org/content/humanitarian-situation-update-315-gaza-strip,https://episcopalnewsservice.org/2025/08/18/al-ahli-hospital-in-gaza-city-suffers-damage-from-fire-set-by-outlaws-attack-by-idf-drone/,,No,,,,,7,5,,,,GS,View Incident,,,
INC-014,FAC-036,UAE Field Hospital,2024-04-03,,Airstrike (Vicinity)," On 2 March, Israeli airstrikes on tents housing IDPs and people gathered in front of Al Emirati field hospital were hit. 11 people were killed, and some 50 others were injured. ",Among the fatalities was a nurse and a member of the field hospital’s ambulance crew.,,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-131,https://www.un.org/sg/en/content/highlight/2024-03-04.html,,No,,,,,9,50,2,,,GS,View Incident,,,
INC-015,FAC-036,UAE Field Hospital,2024-06-14,,Access Limited,Remains only partially functional amid severe access challenges,,,https://www.ochaopt.org/content/humanitarian-situation-update-179-gaza-strip,,,No,,,,,,,,,,GS,View Incident,,,
INC-016,FAC-023,Al Helou International Hospital,2023-01-11,,shelling,the hospital was direcly struck by shelling,"On the 1st November at 20:00, the Al Hilo Hospital, also in Gaza city, was reportedly struck by shelling; the hospital had absorbed and replaced Shifa hospital’s maternity ward, which is being used now to treat the wounded.",,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-26,,,No,,,,,,,,,,Ali,View Incident,,,
INC-017,FAC-023,Al Helou International Hospital,2025-10-28,,strike,sustained damage due to nearby strikes,,,https://www.ochaopt.org/content/humanitarian-situation-update-327-gaza-strip,,,,,,,,,,,,,Ali,View Incident,,,
INC-018,FAC-015,Al Karama Specialized Hospital,2023-10-17,,Forced Evacuation,hospital had to be evacuated and are no longer operational,Reported by WHO as one of 4 hospitals in Northern Gaza that had had to be evacuated.,,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-12,,,,,,,,,,,,,ysn,View Incident,,,
INC-019,FAC-005,Al-Amal Hospital,2023-12-04,,bombardment-vicinity,Intense bombing 500 meters from hospital,"A video shows intense shelling that occurred hours ago in Khan Younis, south of the Gaza Strip, just 500 meters from the PRCS headquarters and Al-Amal Hospital.",,https://x.com/PalestineRCS/status/1731771874009297338,,,Yes,,, https://x.com/PalestineRCS/status/1731771874009297338,,,,,,,Tally,View Incident,,,
INC-020,FAC-005,Al-Amal Hospital,2023-12-08,,bombardment,"Hospital hit and damaged [OCHA flash update #63], windows shattered and doors broken due to bombing in the area [Muslim Network TV]","Al-Amal hospital and the ajacent PRCS headquarters were hit during bombardments in the area. A house near the hospital was targeted, leading to the shattering of glass and breaking of doors at Al-Amal. At the time there were 14,000 displaced people inside and the incident led to widespread panic.",,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-63,"https://www.muslimnetwork.tv/several-killed-in-israeli-airstrike-in-gaza-strips-khan-younis/ , https://x.com/PalestineRCS/status/1733070757310144906",,Yes,,,https://x.com/PalestineRCS/status/1733123689401458759?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1733123689401458759%7Ctwgr%5Ed2accc1786a79afdbcc8efc92d0e8948f1ef57be%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2Fliveblog%2F2023%2F12%2F8%2Fisrael-hamas-war-live-palestinians-demand-end-to-israels-gaza-onslaught,,,,,,,Tally,View Incident,,,
INC-021,FAC-005,Al-Amal Hospital,2023-11-14,,Unspecified,"Power outage affected the hospital, followed by a failure of its sole generator.","On 14 November, a power outage affected Al-Amal Hospital in Khan Younis, in the south, following a failure of its sole generator, according to PRCS. This put 90 patients at risk, including 25 in critical condition. Additionally, 9,000 IDPs are seeking refuge at the hospital and PRCS premises.",,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-39 ,,,No,,,,,,,,,,Tally,View Incident,,,
INC-022,FAC-005,Al-Amal Hospital,2023-11-12,2023-11-15,siege,For three consecutive days the main generator shut down due to lack of fuel.,"For three consecutive days, the main generator at Al-Amal hospital in Khan Younis shut down due to lack of fuel. The hospital has been running one small generator which is supplying electricity to the labour room and the lights in the reception area. Over 8,000 IDPs are sheltering in this highly overcroweded facility. On 15 Novermber the only operating generator stopped working, severing communications in the hospital and putting 90 patients lives at riks, including 25 patients in intensive care.",,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-40,https://www.palestinercs.org/public/files/image/2023/News/latestresponse23012023/PRCS%20%20OR%20%20158.pdf,,No,,,,,,,,,,Tally,View Incident,,,
INC-023,FAC-005,Al-Amal Hospital,2023-12-20,,unidentified-vicinity,12 injured (including PRCS staff) during targeting in area of Al-Amal hospital and PRCS headquarters,12 Injuries among the PRCS teams and displaced individuals due to the Israeli occupation warplanes targeting the vicinity of Al-Amal Hospital and the PRCS headquarters in Khan Younis which currently shelters around 14000 people. [PRCS on X],,https://x.com/PalestineRCS/status/1737422394602471892,,,Yes,,,https://x.com/PalestineRCS/status/1737422394602471892,,,12,,,,Tally,View Incident,,,
INC-024,FAC-005,Al-Amal Hospital,2023-12-21,2023-12-22,unidentified-vicinity,"Vicinity struck, shrapnel scattered in hospital scaring patients","On 21 and 22 December, the vicinities of Al-Amal and European hospitals, both located in Khan Younis in the south of Gaza and operational medical facilities were struck. While no casualties were reported, PRCS announced that shrapnel scattered into the building of Al-Amal Hospital, causing fear and panic among patients and IDPs.",,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-76,https://x.com/PalestineRCS/status/1737787660834386214,,No,,,,,,,,,,Tally,View Incident,,,
INC-025,FAC-005,Al-Amal Hospital,2023-12-24,,drone strike,"13 year old boy, Amir Rami Ouda, killed by drone shot while he and his family were sheltering in Al-Amal/PRCS headquarters","Amir and his family thought they would find safety within the PRCS facility, but tragically, they were mistaken. Today, the 13-year-old child lost his life at the PRCS Al-Amal Hospital in Khan Younis after being shot by an Israeli drone [PRCS on X]. Amir and his family were told to stay inside the PRCS facility because it was a safe zone, and Amir was playing with his cousins when he was killed",,https://www.palestinercs.org/public/files/image/2023/News/latestresponse23012023/en%20242%202023.pdf,"https://x.com/QudsNen/status/1738849466965221428 , https://aje.io/53epb7?update=2577183 , https://x.com/PalestineRCS/status/1738908991281918312 ",,Yes,,,https://x.com/PalestineRCS/status/1738908991281918312,,1,,,,,Tally,View Incident,,,
INC-026,FAC-005,Al-Amal Hospital,2023-12-27,2023-12-28,strikes-vicinity,Hospital vicinity struck for second day in a row and for fifth time this week [OCHA flash update #79]. Ten people killed and 21 injured as a result of latest strike and 31 reportedly killed 25 injured the previous day [WAFA].,"On 28 December, the vicinity of Al-Amal hospital was struck for the second day in a row and for the fifth time this week, according to the Palestine Red Crescent Society (PRCS). Ten people were reportedly killed as a result of this latest strike and 31 were reported killed the previous day. In both incidents, dozens were reportedly wounded. It is estimated that 14,000 IDPs are sheltering in the hospital and its surroundings.",,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-79,"https://english.wafa.ps/Pages/Details/140358 , www.aljazeera.com%2Fnews%2Fliveblog%2F2023%2F12%2F28%2Fisrael-hamas-war-live-israel-kills-palestinians-in-central-gaza-attacks , https://x.com/PalestineRCS/status/1740372039507099684/photo/1 , https://x.com/PalestineRCS/status/1740276619775021118?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1740276619775021118%7Ctwgr%5Eb7173b761bd84219a948f3ebd8e3c415a4fd9e3a%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2Fliveblog%2F2023%2F12%2F28%2Fisrael-hamas-war-live-israel-kills-palestinians-in-central-gaza-attacks , https://aje.io/trvz4m?update=2583195 , https://aje.io/trvz4m?update=2582688 , https://x.com/PalestineRCS/status/1739977947417821346?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1739977947417821346%7Ctwgr%5E860b5b6fb1f5d1bcaf8c822d2d4e085e0ac7dd89%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2Fliveblog%2F2023%2F12%2F27%2Fisrael-hamas-war-live-israel-vows-to-intensify-gaza-fighting ",,Yes,,,"https://x.com/PalestineRCS/status/1740405521834738161?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1740405521834738161%7Ctwgr%5E521e56e19a845e3808808042844bf90a34100329%7Ctwcon%5Es1_&ref_url=https%3A%2F%2F , https://x.com/PalestineRCS/status/1740294232504439285?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1740294232504439285%7Ctwgr%5Eb7173b761bd84219a948f3ebd8e3c415a4fd9e3a%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2Fliveblog%2F2023%2F12%2F28%2Fisrael-hamas-war-live-israel-kills-palestinians-in-central-gaza-attacks , https://x.com/PalestineRCS/status/1740067937644355999?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1740067937644355999%7Ctwgr%5E860b5b6fb1f5d1bcaf8c822d2d4e085e0ac7dd89%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2Fliveblog%2F2023%2F12%2F27%2Fisrael-hamas-war-live-israel-vows-to-intensify-gaza-fighting ",,41,46,,,,Tally,View Incident,,,
INC-027,FAC-005,Al-Amal Hospital,2024-02-01,,invasion,"Israeli military stormed courtyard for the third time, opened fire hitting five vehicles, including three ambulances","Heavy fighting in the vicinity of Nasser and the Al-Amal hospitals in Khan Younis has continued, jeopardizing the safety of medical staff, the wounded and the sick, as well as thousands of internally displaced persons (IDPs) seeking refuge at the hospitals. On 1 February, the Palestine Red Crescent Society (PRCS) reported that the Israeli military stormed the courtyards of the hospital for the third time and opened fire, hitting five vehicles, including three ambulances.",,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-108 ,"https://aje.io/5g3kdw?update=2668497 , https://aje.io/5g3kdw?update=2669254 ",,No,,,,,,,,,,Tally,View Incident,,,
INC-028,FAC-005,Al-Amal Hospital,2024-01-23,,shelling-vicinity,"One person killed at entrence to Al-Amal as a result of shelling in the area, and an evacuation order was issued by Israel for an area that includes Al Amal","On 23 January, the vicinity of Al-Amal Hospital, in Khan Younis, was reportedly shelled, amid intense fighting around the hospital; one Palestinian was reportedly killed at the entrance of Al Amal Hospital.",,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-101,"https://x.com/PalestineRCS/status/1749749183643283740?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1749749183643283740%7Ctwgr%5E9072b36b3601ebade08ebe058902c1203b1cf717%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2Fliveblog%2F2024%2F1%2F23%2Fisraels-war-on-gaza-ground-shaking-in-hospital-amid-israeli-attacks , https://aje.io/6ly68o?update=2640692 , https://www.youtube.com/watch?v=ou8_UMrX4yk ",,No,,,,,1,,,,,Tally,View Incident,,,
INC-029,FAC-005,Al-Amal Hospital,2024-01-24,,strike,PRCS headquarters at Al-Amal struck killing 3 and injuring  at least 2,"On 24 January, the entrance of the PRCS headquarters was reportedly struck, killing at least three Palestinians and injuring 2 others. The PRCS stated that they have been forced to ask IDPs taking shelter in the compound to donate blood, as staff are unable to access blood banks.",,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-101 ,"https://x.com/PalestineRCS/status/1750223196589064604?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1750223196589064604%7Ctwgr%5E67caef9006690d62f8df1733f131f6d16502ae8e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2Fliveblog%2F2024%2F1%2F24%2Fisraels-war-on-gaza-live-14-killed-as-israel-hits-two-homes-in-jabalia , https://x.com/PalestineRCS/status/1750192020776186166?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1750192020776186166%7Ctwgr%5E67caef9006690d62f8df1733f131f6d16502ae8e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2Fliveblog%2F2024%2F1%2F24%2Fisraels-war-on-gaza-live-14-killed-as-israel-hits-two-homes-in-jabalia , https://x.com/PalestineRCS/status/1750142580384223677?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1750142580384223677%7Ctwgr%5E67caef9006690d62f8df1733f131f6d16502ae8e%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2Fliveblog%2F2024%2F1%2F24%2Fisraels-war-on-gaza-live-14-killed-as-israel-hits-two-homes-in-jabalia , https://aje.io/bj3a9f?update=2644385 , https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-102 ",,No,,,,,3,2,,,,Tally,View Incident,,,
INC-030,FAC-005,Al-Amal Hospital,2024-01-27,,bombardment-vicinty,"Heavy bombardment in area, threatening safety of patients and hospital staff","The occupation continues to bombard the vicinity of the hospital and open fire, jeopardizing the safety of medical staff, the wounded, patients, and approximately 7000 displaced individuals who sought refuge there to escape Israeli bombardment.",,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-104,https://reliefweb.int/report/occupied-palestinian-territory/palestine-red-crescent-society-calls-international-community-provide-protection-its-headquarters-and-medical-and-ems-teams-khan-yunis-enar?_gl=1*gdoink*_ga*NTAxNTI1MzAwLjE3NzM3Njg1NDA.*_ga_E60ZNX2F68*czE3NzUwNjU5MzckbzckZzEkdDE3NzUwNjkyNDUkajYwJGwwJGgw,,No,,,,,,,,,,Tally,View Incident,,,
INC-031,FAC-005,Al-Amal Hospital,2024-01-30,,"shrapnel, evacuation, raid","Shrapnel fell on hospital reprotedly killing one and injuring 9, PRCS reported hospital was later raided and people were forced to evacuate at gunpoint, IDF denies this. Additionally the surgical ward went out of service on 29 Jan due to lack of oxygen supplies. Fighting in the area has hindered the ability of ambulence and personal from accessing injured people.","On 30 Jan shrapnel fell on Al-Amal and PRCS headquarters, killing one and injuring nine; the IDF ordered people to evacuate the hospital building at gunpoint (OCHA Flash Update #106). Later, Israeli forces stormed the hospital, destroying one of the buildings walls and firing live ammunication and smoke bombs. There were an estimated 7,000 IDPs taking shelter in the facility at the time and WAFA reports that the invasion led to a fire breaking out among the tents of some displaced people. ",,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-106,"https://x.com/PalestineRCS/status/1752355885832110114?s=20 , https://english.wafa.ps/Pages/Details/141209#:~:text=Al%2DAmal%20hospital%20in%20Gaza%2C%20demand%20evacuation%20at,2024%20(WAFA)%20Israeli%20occupation%20forces%20this%20evening , https://www.cnn.com/2024/01/30/middleeast/idf-khan-younis-hospital-intl , https://english.wafa.ps/Pages/Details/141208 , https://aje.io/av8a82?update=2662702 , https://www.un.org/unispal/document/thematic-report-attacks-on-hospitals-31dec24/ ",,No,,,https://x.com/PalestineRCS/status/1752319005359034796?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1752319005359034796%7Ctwgr%5E5496d3f3e6aaf78b2bd721d4762f94709a803ee5%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.newarab.com%2Fnews%2Fgaza-israel-returns-dozens-exhumed-bodies,,1,9,,,,Tally,View Incident,,,
