incident_id,_anchor,facility_id,attack_type_ar,result_ar,description_ar,full_discription_ar
INC-010,Al Ahli Arab Hospital,FAC-009,إضراب / إخلاء قسري,في 13 أبريل، تعرض مستشفى الأهلي لهجومين دمّرا مبنى الطوارئ. كما دُمّرت أقسام الاستقبال والمختبر والصيدلية، بينما لحقت أضرار بالكنيسة التي كانت تستقبل العديد من المرضى. يُذكر أن المختبر هو المختبر الوحيد الذي يُجري بعض الفحوصات في غزة. المستشفى خارج الخدمة مؤقتًا.,قبل الغارات، أفادت التقارير أن الجيش الإسرائيلي أصدر أمرًا بالإخلاء، مما أجبر الطاقم الطبي والمرضى على المغادرة. ورغم عدم ورود أنباء عن وقوع إصابات فورية، إلا أن طفلًا توفي نتيجة انقطاع الرعاية الطبية أثناء عملية الإخلاء. ووفقًا للمدير العام لوزارة الصحة، الدكتور منير البشير، فقد دُمّر قسم الاستقبال والمختبر والصيدلية، بينما لحقت أضرار بالكنيسة التي كانت تستضيف العديد من المرضى. وأوضحت وزارة الصحة أن المستشفى توقف عن العمل مؤقتًا، وتم تحويل جميع الخدمات إلى ثلاثة مستشفيات أخرى، من بينها مستشفى ميداني في مدينة غزة.,
INC-011,Al Ahli Arab Hospital,FAC-009,غارة جوية,استهدفت غارة جوية ساحة مستشفى الأهلي العربي، مما أسفر عن مقتل أربعة صحفيين وإصابة ثلاثة آخرين.,,
INC-012,Al Ahli Arab Hospital,FAC-009,ضربة صاروخية,أصاب صاروخ واحد فناء مستشفى الأهلي العربي في مدينة غزة في 8 سبتمبر، مما أسفر عن مقتل شخص وإصابة آخرين.,,
INC-013,Al Ahli Arab Hospital,FAC-009,غارة جوية بطائرة مسيرة,أفادت التقارير بمقتل سبعة فلسطينيين وإصابة آخرين في ساحة مستشفى الأهلي,,
INC-014,Al Emirati Field Hospital,ID Not Found,غارة جوية (في الجوار),في الثاني من مارس، استهدفت غارات جوية إسرائيلية خياماً تؤوي نازحين داخلياً وأشخاصاً متجمعين أمام مستشفى الإمارات الميداني، ما أسفر عن مقتل 11 شخصاً وإصابة نحو 50 آخرين.,كان من بين الضحايا ممرضة وعضو في طاقم الإسعاف التابع للمستشفى الميداني.,
INC-015,Al Emirati Field Hospital,ID Not Found,إمكانية الوصول المحدودة,لا يزال يعمل بشكل جزئي فقط وسط تحديات الوصول الشديدة,,
INC-016,Al Helou International Hospital,FAC-023,قصف,تعرض المستشفى لقصف مباشر,في الأول من نوفمبر/تشرين الثاني الساعة 20:00، ورد أن مستشفى الحلو، الواقع أيضاً في مدينة غزة، تعرض للقصف؛ وكان المستشفى قد استوعب واستبدل جناح الولادة في مستشفى الشفاء، والذي يستخدم الآن لعلاج الجرحى.,
INC-017,Al Helou International Hospital,FAC-023,يضرب,أضرار مستمرة نتيجة الضربات القريبة,,
INC-018,Al Karama Specialized Hospital,FAC-015,إخلاء قسري,تم إخلاء المستشفى ولم تعد تعمل,أفادت منظمة الصحة العالمية بأن هذا المستشفى هو واحد من أربعة مستشفيات في شمال غزة تم إخلاؤها.,
INC-019,Al-Amal Hospital,FAC-005,منطقة القصف,قصف مكثف على بعد 500 متر من المستشفى,يُظهر مقطع فيديو قصفاً عنيفاً وقع قبل ساعات في خان يونس، جنوب قطاع غزة، على بعد 500 متر فقط من مقر جمعية الهلال الأحمر الفلسطيني ومستشفى الأمل.,
INC-020,Al-Amal Hospital,FAC-005,قصف,تعرض مستشفى للقصف وتضرر [تحديث عاجل من مكتب تنسيق الشؤون الإنسانية رقم 63]، وتحطمت النوافذ والأبواب بسبب القصف في المنطقة [قناة مسلم نتورك التلفزيونية].,تعرض مستشفى الأمل ومقر جمعية الهلال الأحمر الباكستاني المجاور له للقصف خلال عمليات قصف في المنطقة. استُهدف منزل بالقرب من المستشفى، مما أدى إلى تحطيم الزجاج وكسر الأبواب في مستشفى الأمل. كان هناك حينها 14 ألف نازح داخل المنزل، وأدى الحادث إلى حالة من الذعر الشديد.,
INC-021,Al-Amal Hospital,FAC-005,غير محدد,أثر انقطاع التيار الكهربائي على المستشفى، تبعه عطل في مولد الكهرباء الوحيد فيه.,في 14 نوفمبر/تشرين الثاني، انقطع التيار الكهربائي عن مستشفى الأمل في خان يونس، جنوب البلاد، إثر عطل في مولده الوحيد، وفقًا للهلال الأحمر الفلسطيني. وقد عرّض هذا العطل 90 مريضًا للخطر، من بينهم 25 في حالة حرجة. إضافةً إلى ذلك، يلجأ 9000 نازح داخليًا إلى المستشفى ومرافق الهلال الأحمر الفلسطيني.,
INC-022,Al-Amal Hospital,FAC-005,الحصار,توقف المولد الرئيسي عن العمل لثلاثة أيام متتالية بسبب نقص الوقود.,لثلاثة أيام متتالية، توقف المولد الرئيسي في مستشفى الأمل بخان يونس عن العمل بسبب نقص الوقود. ويعمل المستشفى حاليًا بمولد صغير لتزويد غرفة الولادة والإضاءة في منطقة الاستقبال بالكهرباء. ويؤوي هذا المرفق المكتظ أكثر من 8000 نازح داخليًا. وفي 15 نوفمبر/تشرين الثاني، توقف المولد الوحيد العامل عن العمل، مما أدى إلى انقطاع الاتصالات في المستشفى وتعريض حياة 90 مريضًا للخطر، من بينهم 25 مريضًا في العناية المركزة.,
INC-023,Al-Amal Hospital,FAC-005,منطقة غير محددة,أُصيب 12 شخصاً (بمن فيهم موظفو جمعية الهلال الأحمر الباكستانية) خلال استهداف منطقة مستشفى الأمل ومقر جمعية الهلال الأحمر الباكستانية.,12 إصابة بين فرق جمعية الهلال الأحمر الفلسطيني والنازحين نتيجة استهداف طائرات الاحتلال الإسرائيلي لمحيط مستشفى الأمل ومقر جمعية الهلال الأحمر الفلسطيني في خان يونس، الذي يؤوي حالياً نحو 14000 شخص. [الهلال الأحمر الفلسطيني على X],
INC-024,Al-Amal Hospital,FAC-005,منطقة غير محددة,أصابت النيران المنطقة، وتناثرت الشظايا في المستشفى مما أثار ذعر المرضى,في يومي 21 و22 ديسمبر/كانون الأول، استُهدفت محيطات مستشفيي الأمل والأوروبي، الواقعين في خان يونس جنوب قطاع غزة، وهما مرفقان طبيان عاملان. وبينما لم ترد أنباء عن وقوع إصابات، أعلنت جمعية الهلال الأحمر الفلسطيني أن شظايا تناثرت داخل مبنى مستشفى الأمل، مما أثار الخوف والذعر بين المرضى والنازحين.,
INC-025,Al-Amal Hospital,FAC-005,غارة جوية بطائرة مسيرة,قُتل أمير رامي عودة، البالغ من العمر 13 عامًا، برصاصة طائرة مسيرة أثناء لجوئه مع عائلته إلى مقر جمعية الأمل/الهلال الأحمر الفلسطيني.,ظن أمير وعائلته أنهم سيجدون الأمان داخل منشأة جمعية الهلال الأحمر الفلسطيني، لكنهم كانوا مخطئين للأسف. اليوم، فقد الطفل البالغ من العمر 13 عامًا حياته في مستشفى الأمل التابع لجمعية الهلال الأحمر الفلسطيني في خان يونس بعد أن أطلق عليه النار من طائرة مسيرة إسرائيلية. وقد طُلب من أمير وعائلته البقاء داخل منشأة الجمعية لأنها منطقة آمنة، وكان أمير يلعب مع أبناء عمومته عندما قُتل.,
INC-026,Al-Amal Hospital,FAC-005,الإضرابات في المنطقة,تعرض محيط المستشفى لهجوم لليوم الثاني على التوالي وللمرة الخامسة هذا الأسبوع [تحديث عاجل من مكتب تنسيق الشؤون الإنسانية رقم 79]. أسفر الهجوم الأخير عن مقتل عشرة أشخاص وإصابة 21 آخرين، بينما أفادت التقارير بمقتل 31 شخصاً وإصابة 25 آخرين في اليوم السابق [وكالة الأنباء الفلسطينية الرسمية].,في 28 ديسمبر/كانون الأول، تعرضت محيط مستشفى الأمل لقصف لليوم الثاني على التوالي، وللمرة الخامسة هذا الأسبوع، وفقًا لجمعية الهلال الأحمر الفلسطيني. وأفادت التقارير بمقتل عشرة أشخاص جراء هذا القصف الأخير، بالإضافة إلى مقتل 31 شخصًا في اليوم السابق. وفي كلا الحادثين، أُصيب العشرات بجروح. ويُقدّر عدد النازحين الذين لجأوا إلى المستشفى ومحيطه بنحو 14 ألف شخص.,
INC-027,Al-Amal Hospital,FAC-005,غزو,اقتحم الجيش الإسرائيلي الفناء للمرة الثالثة، وأطلق النار فأصاب خمس مركبات، من بينها ثلاث سيارات إسعاف.,استمرت الاشتباكات العنيفة في محيط مستشفيي ناصر والأمل في خان يونس، مما يُعرّض سلامة الطاقم الطبي والجرحى والمرضى للخطر، فضلاً عن آلاف النازحين الذين لجأوا إلى المستشفيين. وفي الأول من فبراير/شباط، أفادت جمعية الهلال الأحمر الفلسطيني بأن الجيش الإسرائيلي اقتحم ساحات المستشفى للمرة الثالثة وأطلق النار، ما أسفر عن إصابة خمس مركبات، من بينها ثلاث سيارات إسعاف.,
INC-028,Al-Amal Hospital,FAC-005,منطقة القصف,قُتل شخص واحد عند مدخل منطقة الأمل نتيجة قصف المنطقة، وأصدرت إسرائيل أمراً بالإخلاء لمنطقة تشمل الأمل.,في 23 يناير، وردت أنباء عن تعرض محيط مستشفى الأمل في خان يونس للقصف، وسط قتال عنيف حول المستشفى؛ وأفادت التقارير بمقتل فلسطيني واحد عند مدخل مستشفى الأمل.,
INC-029,Al-Amal Hospital,FAC-005,يضرب,تعرض مقر جمعية الهلال الأحمر العماني في منطقة الأمل لهجوم أسفر عن مقتل 3 أشخاص وإصابة 2 على الأقل.,في 24 يناير/كانون الثاني، أفادت التقارير بتعرض مدخل مقر جمعية الهلال الأحمر الفلسطيني لهجوم، ما أسفر عن مقتل ثلاثة فلسطينيين على الأقل وإصابة اثنين آخرين. وذكرت الجمعية أنها اضطرت إلى مطالبة النازحين المقيمين في المجمع بالتبرع بالدم، نظراً لعدم تمكن موظفيها من الوصول إلى بنوك الدم.,
INC-030,Al-Amal Hospital,FAC-005,محيط القصف,قصف عنيف في المنطقة، يهدد سلامة المرضى وموظفي المستشفى,يواصل الاحتلال قصف محيط المستشفى وإطلاق النار، مما يعرض سلامة الطاقم الطبي والجرحى والمرضى ونحو 7000 نازح لجأوا إلى هناك هرباً من القصف الإسرائيلي للخطر.,
INC-031,Al-Amal Hospital,FAC-005,شظايا، إخلاء، غارة,أفادت التقارير بسقوط شظايا على مستشفى، ما أسفر عن مقتل شخص وإصابة تسعة آخرين. وذكرت جمعية الهلال الأحمر الفلسطيني أن المستشفى تعرض لاحقًا لهجوم مسلح، وأُجبر الناس على إخلائه تحت تهديد السلاح، وهو ما ينفيه الجيش الإسرائيلي. كما توقف قسم الجراحة عن العمل في 29 يناير/كانون الثاني بسبب نقص إمدادات الأكسجين. وقد أعاقت الاشتباكات في المنطقة وصول سيارات الإسعاف والفرق الطبية إلى المصابين.,في 30 يناير/كانون الثاني، سقطت شظايا على مقرّي جمعية الأمل والهلال الأحمر الفلسطيني، ما أسفر عن مقتل شخص وإصابة تسعة آخرين؛ وأمر الجيش الإسرائيلي الناس بإخلاء مبنى المستشفى تحت تهديد السلاح (تحديث مكتب تنسيق الشؤون الإنسانية رقم 106). وفي وقت لاحق، اقتحمت القوات الإسرائيلية المستشفى، ودمرت أحد جدران المبنى، وأطلقت ذخيرة حية وقنابل دخانية. وقُدّر عدد النازحين الذين كانوا يحتمون بالمبنى آنذاك بنحو 7000 شخص، وأفادت وكالة الأنباء الفلسطينية (وفا) بأن الاقتحام أدى إلى اندلاع حريق في خيام بعض النازحين.,
INC-032,Al-Amal Hospital,FAC-005,إطلاق نار، غزو,اقتحمت القوات الإسرائيلية فناء المستشفى. وقُتل اثنان من العاملين فيه بنيران إسرائيلية عند بوابته، وأفاد تقرير لقناة الجزيرة بإصابة ما لا يقل عن عشرة أشخاص. كما توفيت امرأة ورضيع في المستشفى نتيجة نقص الأكسجين. وذكرت الجزيرة أن 12 شخصًا قُتلوا وأُصيب ستة، إلا أن منشور جمعية الهلال الأحمر الفلسطيني على موقع X، الذي استندت إليه الجزيرة في هذه المعلومات، غير متاح، ولا تظهر هذه الأرقام في مصادر أخرى.,في 31 يناير/كانون الثاني، أفادت جمعية الهلال الأحمر الفلسطيني بمقتل أحد العاملين في مستشفى الأمل بنيران قرب بوابات المستشفى. وفي اليوم نفسه، توفيت امرأة مسنة وطفل رضيع في مستشفى الأمل نتيجة نقص الأكسجين الذي كانا يعتمدان عليه، ودُفنا في ساحة المستشفى، وفقًا للجمعية. وفي 31 يناير/كانون الثاني أيضًا، أفادت الجمعية باقتحام ساحة مستشفى الأمل وتمركز القوات الإسرائيلية أمام البوابة الخارجية لقسم الطوارئ. وفي 31 و30 يناير/كانون الثاني، وردت أنباء عن هجمات قرب مستشفى الأمل ومقر جمعية الهلال الأحمر الفلسطيني في خان يونس. [OCHA 107],
INC-033,Al-Amal Hospital,FAC-005,يضرب,مقتل 5 أشخاص وإصابة 3 آخرين، بينهم أحد رجال الإنقاذ، بالإضافة إلى أضرار جسيمة لحقت بالمنشأة.,تعرض مستشفى الأمل لقصف أسفر عن مقتل خمسة نازحين، بينهم رضيع يبلغ من العمر خمسة أيام، وإصابة ثلاثة آخرين. وكان من بين المصابين متطوع من فرق الإنقاذ. ألحق القصف أضرارًا جسيمة بمبنى المستشفى، ما دفع العديد من الأشخاص البالغ عددهم 14000 شخص والذين كانوا يحتمون به إلى المغادرة. أما النازحون المتبقون في المستشفى، فهم قلقون على سلامتهم ويفكرون جديًا في المغادرة.,
INC-034,Al-Amal Hospital,FAC-005,منطقة القصف,تعرض المبنى لأضرار نتيجة القصف المكثف في محيط المستشفى,في يومي 14 و 15 فبراير، أفادت جمعية الهلال الأحمر الباكستانية أن مبنى مستشفى الأمل قد تعرض لأضرار نتيجة القصف المكثف في محيط المستشفى.,
INC-035,Al-Amal Hospital,FAC-005,غير محدد الهوية,أصيب الطابق الثاني بنيران خزان، مما أدى إلى إلحاق أضرار بمحطتي تمريض.,استهدفت دبابات الاحتلال الطابق الثاني من مستشفى الأمل في خان يونس، مما أسفر عن أضرار جسيمة في غرفتي تمريض، دون وقوع إصابات بين الموظفين أو المرضى. يُذكر أن دبابات الاحتلال كانت متمركزة عند بوابات المستشفى لمدة أسبوعين، مما حال دون دخول أي مساعدات أو إمدادات لوجستية.,
INC-036,Al-Amal Hospital,FAC-005,قصف مدفعي,تضرر الطابق الثالث جراء نيران المدفعية، ودُمرت غرفة الصيانة المركزية.,في 18 فبراير، أفادت جمعية الهلال الأحمر الباكستانية أن الطابق الثالث من المستشفى تعرض لأضرار جراء القصف المدفعي وتدمير غرفة الصيانة المركزية.,
INC-037,Al-Amal Hospital,FAC-005,قصف مدفعي,تسببت عمليات القصف في أضرار للمباني، بما في ذلك محطة تحلية المياه التي تعطلت، مما ترك ثلاثة أيام فقط من المياه الصالحة للشرب.,في 19 فبراير، أفادت جمعية الهلال الأحمر الفلسطيني بأن محطة تحلية المياه في المنشأة توقفت عن العمل بعد قصفها من قبل القوات الإسرائيلية، وأن مياه الشرب المتوفرة تكفي لثلاثة أيام فقط. وتعاني المنشأة أصلاً من نقص في مخزون الوقود اللازم لتوليد الكهرباء للمرضى ذوي الحالات الحرجة، ونفاد شبه تام للإمدادات الغذائية، كما ورد أنها تعرضت لأضرار جراء القصف المدفعي الأخير.,
INC-038,Al-Amal Hospital,FAC-005,قصف,أسفر الهجوم الذي استهدف الطابقين الثالث والرابع من المستشفى عن إصابة 4 أشخاص واحتراق غرفتين.,يتعرض مستشفى الأمل حاليًا لهجمات متكررة، حيث استهدفت القوات الإسرائيلية الطابق الثالث منه بشكل مباشر، مما أدى إلى احتراق غرفتين. كما استُهدفت خطوط المياه في المستشفى. بالإضافة إلى ذلك، استُهدف منزل مقابل للمستشفى أثناء تواجد فريق من جمعية الهلال الأحمر الفلسطيني ووفد من وكالة الأونروا في فناء المستشفى (صفحة جمعية الهلال الأحمر الفلسطيني على فيسبوك). وفي منشور على موقع X، ذكرت جمعية الهلال الأحمر الفلسطيني أن ثلاثة من مرافقي المرضى أصيبوا خلال الهجوم، بينما يشير تقرير الاستجابة الإنسانية رقم 3/2024 إلى إصابة أربعة من الموظفين والمرضى، ونظرًا لعدم وضوح المعلومات، سُجلت هذه الإصابات على أنها أربع إصابات بين المدنيين. كما أفادت مصادر أخرى باستهداف الطابق الثالث أو الرابع من المستشفى.,
INC-039,Al-Amal Hospital,FAC-005,المنطقة المحيطة تعرضت للقصف,تعرضت منطقة الأمل والهلال الشعبي للقصف عدة مرات,في الثالث من يناير/كانون الثاني، تعرضت منطقة مستشفى الأمل وجمعية الهلال الأحمر الفلسطيني في خان يونس لقصف متكرر على مدار اليوم. ولم يتم تأكيد عدد الضحايا حتى الآن. وحاولت عائلات نازحة عديدة، كانت قد لجأت إلى المبنى ومقر جمعية الهلال الأحمر الفلسطيني، الإخلاء نتيجة للقصف الذي وقع في الثاني من يناير/كانون الثاني. كما لحقت أضرار جسيمة بمركز تدريب تابع لجمعية الهلال الأحمر الفلسطيني داخل مجمع المستشفى. وزار مكتب الأمم المتحدة لتنسيق الشؤون الإنسانية ومنظمة الصحة العالمية المستشفى، وشاهدا حجم الأضرار الهائلة ونزوح المدنيين. وتشير التقديرات إلى أن نحو 14 ألف شخص كانوا يحتمون في المستشفى وقت الهجوم.,
INC-040,Al-Amal Hospital,FAC-005,غزو ​​/ هجوم بري,أجبر الجيش الإسرائيلي موظفي المستشفى والمرضى الجرحى على إخلاء مستشفى الأمل وأغلق المداخل بحواجز ترابية، ولم يعد المستشفى يعمل.,"في خان يونس، وسط عمليات عسكرية مكثفة، أجبر الجيش الإسرائيلي طاقم مستشفى الأمل والمرضى الجرحى على إخلائه باستخدام قنابل دخانية، كما أغلق بوابة المستشفى وسد الطرق بحواجز ترابية، وفقًا لجمعية الهلال الأحمر الفلسطيني. وابتداءً من ليلة 24 مارس/آذار، علق الطاقم والمرضى في سيارات الإسعاف خارج المستشفى لمدة 20 ساعة بسبب الأضرار التي لحقت بالطرق المحيطة بالمستشفى والحواجز الترابية التي أقامها الجيش الإسرائيلي. وعندما حاول شخصان إزالة الأنقاض من الطريق، أطلق جنود الجيش الإسرائيلي النار عليهما (جمعية الهلال الأحمر الفلسطيني على X). وفي 25 مارس/آذار، قامت جمعية الهلال الأحمر الفلسطيني واللجنة الدولية للصليب الأحمر ومكتب تنسيق الشؤون الإنسانية بإجلاء ستة مرضى ومرافقيهم، و27 من الطاقم، وانتشلت جثتي شخصين قُتلا داخل المستشفى، أحدهما متطوع من جمعية الهلال الأحمر الفلسطيني كان عضوًا في غرفة عمليات الطوارئ. واعتبارًا من 26 مارس/آذار، توقف كل من المستشفى ومقر جمعية الهلال الأحمر الفلسطيني المجاور عن العمل. وفي اليوم نفسه، أصدر الاتحاد الدولي لجمعيات الصليب الأحمر والهلال الأحمر بياناً أكد فيه أن استمرار الأعمال العدائية في مستشفى الأمل وحوله لأكثر من 40 يوماً قد عرّض فرق جمعية الصليب الأحمر والهلال الأحمر والمرضى لخطر جسيم، وأن ""الإغلاق القسري لمستشفى الأمل، أحد المرافق الطبية القليلة المتبقية في الجنوب [وثاني مستشفى تابع لجمعية الصليب الأحمر والهلال الأحمر يُغلق]، له تداعيات خطيرة، مما يعرض حياة عدد لا يحصى من الناس للخطر"". [تحديث سريع من مكتب تنسيق الشؤون الإنسانية رقم 147]",
INC-041,Al-Amal Hospital,FAC-005,المنطقة المحيطة تعرضت للقصف,اليوم الثالث على التوالي من القصف في منطقة مستشفى الأمل، مما أسفر عن سقوط العديد من القتلى والجرحى، وتضرر الاتصالات.,في الرابع من يناير/كانون الثاني، تعرضت محيطات مستشفى الأمل وجمعية الهلال الأحمر الفلسطيني في خان يونس للقصف لليوم الثالث على التوالي. وأفادت الجمعية بمقتل سبعة نازحين كانوا يحتمون في المجمع، بينهم رضيع يبلغ من العمر خمسة أيام [خمس وفيات، من بينها وفاة الرضيع، وقعت في الثاني من يناير/كانون الثاني، ووفاتان أخريان في الثالث أو الرابع من يناير/كانون الثاني]، بينما أصيب 11 شخصًا آخر خلال أيام القصف الثلاثة [إصابة ثلاثة أشخاص في الثاني من يناير/كانون الثاني، وثماني إصابات أخرى في الثالث أو الرابع من يناير/كانون الثاني]. كما أفادت الجمعية باستهداف عشرات المباني السكنية والأشخاص المتجمعين عند مدخل مستشفى الأمل، مما أسفر عن عشرات القتلى والجرحى [تحديث مكتب تنسيق الشؤون الإنسانية رقم 84]. إضافة إلى ذلك، أدى القصف إلى تدمير محطة إرسال اتصالات الجمعية عبر التردد العالي جدًا (VHF)، وهي الوسيلة الوحيدة للاتصال في مقر الجمعية بخان يونس بعد تدمير جميع وسائل الاتصال في محافظة خان يونس. يُعد الضرر الذي لحق بنظام الاتصالات VHF عقبة رئيسية أمام استجابة طواقم الإسعاف للجرحى والمرضى والحالات الإنسانية [تقرير جمعية الهلال الأحمر الفلبينية 4 يناير 2024].,
INC-042,Al-Amal Hospital,FAC-005,غارة جوية بطائرة مسيرة,الطابق الثاني من مبنى إعادة التأهيل بالمستشفى تعرض لهجوم بطائرات مسيرة إسرائيلية,اليوم، تعرض الطابق الثاني من قسم إعادة التأهيل في مستشفى جمعية الهلال الأحمر الفلسطيني بالأمل لقصف مباشر من طائرات إسرائيلية مسيرة. تجدر الإشارة إلى أن المرضى كانوا متواجدين في القسم للمتابعة والعلاج، ولم يُصب أي من الموظفين أو المرضى بأذى. [الهلال الأحمر الفلسطيني على X],
INC-043,Al-Amal Hospital,FAC-005,غير محدد الهوية,نشرت صفحة جمعية الهلال الأحمر الفلسطيني على فيسبوك لقطات تُظهر الأضرار التي لحقت بمستشفى الأمل بعد انسحاب القوات الإسرائيلية.,"أدى التدمير المتعمد الذي نفذه جنود الاحتلال الإسرائيلي داخل مستشفى جمعية الهلال الأحمر الفلسطيني ""الأمل"" في خان يونس إلى دمار واسع النطاق، ما جعل المستشفى عاجزاً عن تقديم الخدمات للمرضى والجرحى. وبعد اقتحامهم، استخدم الجنود القوة والأسلحة النارية وقنابل الدخان لإجبار جميع من في الداخل على الإخلاء [صفحة جمعية الهلال الأحمر الفلسطيني على فيسبوك].",
INC-044,Al-Amal Hospital,FAC-005,العداء في الجوار، الوصول محدود,المستشفى خارج الخدمة بشكل أساسي بسبب العداء في المنطقة، ولا يستطيع المرضى الجدد الوصول إلى المستشفى بسبب القيود المفروضة على الدخول.,يُعاني المستشفى من عوائق تحول دون حصول المرضى الجدد على الرعاية اللازمة، مما يؤدي إلى المزيد من الوفيات التي كان من الممكن تجنبها. لا يزال المستشفى يستقبل مرضى بحاجة إلى الرعاية، ولكنه لا يستقبل مرضى جدد. ويبذل فريقان طبيان للطوارئ - أحدهما محلي والآخر دولي - قصارى جهدهما لخدمة المرضى المتبقين بالإمدادات الطبية المحدودة المتوفرة في المستشفى.,
INC-045,Al-Aqsa Martyrs Hospital,FAC-006,غير محدد الهوية,اشتعلت النيران في خيمة في فناء مستشفى الأقصى,بينما كان فريق منظمة الصحة العالمية متواجداً في المنشأة الطبية، تعرضت خيمة النازحين للقصف في ساحة المستشفى، مما أسفر عن مقتل أربعة مدنيين وإصابة 17 آخرين على الأقل، بينهم ثمانية صحفيين.,
INC-046,Al-Aqsa Martyrs Hospital,FAC-006,غارة جوية (مروحية),أفادت التقارير بمقتل خمسة فلسطينيين وإصابة خمسة عشر آخرين بجروح عندما استُهدفت خيام النازحين داخلياً بالقرب من العيادات الخارجية للمستشفى.,أفادت التقارير بمقتل خمسة فلسطينيين وإصابة 15 آخرين، بينهم أطفال، عندما استهدفت مروحية تابعة لجيش الدفاع الإسرائيلي خيام النازحين داخلياً بالقرب من العيادات الخارجية للمستشفى. وأسفرت الغارة عن تدمير وحرق العديد من الخيام الموجودة في المنطقة.,
INC-047,Al-Aqsa Martyrs Hospital,FAC-006,غارة جوية,تعرضت خيام النازحين لقصف من قبل طائرات حربية إسرائيلية، مما أسفر عن عدد من الإصابات والأضرار المادية.,وبحسب بيان صادر عن المكتب الإعلامي لحكومة غزة، قصفت الطائرات الحربية الإسرائيلية خياماً تأوي فلسطينيين نازحين داخل أسوار المستشفى، مما أسفر عن عدد من الإصابات والأضرار المادية.,
