id,_anchor,name_ar,specialization_ar,post_war_status_ar,introduction_ar,introduction_ar,notes_ar
FAC-020,Al Sahaba Medical Complex,مجمع الصحابة الطبي,عام,عملية جزئية,,,
FAC-021,Khidma Aamma Hospital,مستشفى خيدما أمّا,عام,,,,
FAC-022,Asdiqaa Hospital,مستشفى أصدقة,عام,,,,
FAC-023,Turkish Friendship Hospital,مستشفى الصداقة التركية,علم الأورام / متخصص,مغلق,,,
FAC-024,Al Helou International Hospital,مستشفى الحلو الدولي,عام,عملية جزئية,,,
FAC-025,Al-Khair Hospital,مستشفى الخير,عام,مغلق,,,
FAC-026,Yafa Hospital,مستشفى يافا,عام,عملية جزئية,,,
FAC-027,Palestine Medical Relief Center for the Rehabilitation of the Disabled,مركز فلسطين الطبي للإغاثة وإعادة تأهيل المعاقين,إعادة التأهيل,,,,
FAC-028,Al Yaman Al Saeed Hospital,مستشفى اليمان السعيد,عام,مغلق,,,كان قيد الإنشاء وقت الاستهداف
FAC-029,Patient Friends Association Hospital,جمعية أصدقاء المرضى بالمستشفى,عام,عملية جزئية,,,
FAC-030,Jordanian Field Hospital,المستشفى الميداني الأردني,عام / طوارئ,تشغيلي,,,تشغلها الأردن
FAC-031,Jordanian Field Hospital - Khan Yunis,المستشفى الميداني الأردني - خان يونس,عام / طوارئ,,,,خان يونس، تديره الأردن
FAC-032,Red Cross Field Hospital,مستشفى الصليب الأحمر الميداني,طارئ,,,,تشغلها اللجنة الدولية للصليب الأحمر
FAC-033,Red Cross Field Hospital - Rafah,مستشفى الصليب الأحمر الميداني - رفح,طارئ,تشغيلي,,,تديرها اللجنة الدولية للصليب الأحمر، رفح
FAC-034,Al Emirati Field Hospital,المستشفى الميداني الإماراتي,عام / طوارئ,مغلق,,,تشغلها دولة الإمارات العربية المتحدة
FAC-035,Al Quds Field Hospital,مستشفى القدس الميداني,عام / طوارئ,,,,تتولى شركة PCRS تشغيلها
FAC-036,Kuwait Field Hospital,مستشفى الكويت الميداني,عام / طوارئ,مغلق,,,تشغلها الكويت
FAC-037,UAE Field Hospital,مستشفى ميداني في الإمارات العربية المتحدة,عام / طوارئ,,,,تشغلها دولة الإمارات العربية المتحدة
FAC-038,International Medical Corps Field Hospital,مستشفى ميداني تابع للهيئة الطبية الدولية,عام / طوارئ,,,,مرفق يضم 160 سريراً تديره شركة IMC
FAC-039,UNRWA Health Centre,مركز الأونروا الصحي,الرعاية الصحية الأولية,,,,تُشغّلها وكالة الأونروا. قبل الحرب، كان هناك 22 مركزًا صحيًا تابعًا للأونروا في جميع أنحاء غزة. ومنذ 7 أكتوبر/تشرين الأول 2023، تغيّر عدد المراكز العاملة شهريًا. إضافةً إلى ذلك، أُنشئت مراكز صحية مؤقتة لتلبية الطلب المتزايد، مع إنشاء 5 مرافق إضافية خلال الحرب (ليصبح المجموع 27 مركزًا)، مع العلم أن بعضها لم يكن عاملًا.
FAC-040,Primary Care Clinic,عيادة الرعاية الصحية الأولية,الرعاية الصحية الأولية,,,,
FAC-041,MSF Premise 01,فرضية منظمة أطباء بلا حدود 01,الطوارئ / الإصابات,,,,تشغلها منظمة أطباء بلا حدود
FAC-042,MSF Clinic,عيادة أطباء بلا حدود,الطوارئ / الإصابات,,,,تشغلها منظمة أطباء بلا حدود
FAC-043,MSF Urgent Care Unit - Khan Younis,وحدة الرعاية العاجلة التابعة لمنظمة أطباء بلا حدود - خان يونس,طارئ,,,,تشغلها منظمة أطباء بلا حدود
FAC-044,Noura Al-Kaabi Specialist Dialysis Centre,مركز نورة الكعبي التخصصي لغسيل الكلى,غسيل الكلى / أمراض الكلى,,,,
FAC-045,Al-Zaytoun Medical Clinic,عيادة الزيتون الطبية,الرعاية الصحية الأولية,مغلق,,,
FAC-046,Al-Qarara Medical Clinic,عيادة القرار الطبية,الرعاية الصحية الأولية,,,,
FAC-047,Solidarity Polyclinic,عيادة التضامن متعددة التخصصات,الرعاية الصحية الأولية,مغلق,,,
FAC-048,Algerian Military Hospital,المستشفى العسكري الجزائري,الرعاية الصحية الأولية,مغلق,,,
FAC-049,Muscat Al-Qarara Health Centre,مركز مسقط القرارة الصحي,الرعاية الصحية الأولية,مغلق,,,
FAC-050,Al-Mawasi Clinic,عيادة المواسي,الرعاية الصحية الأولية,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
