id,_anchor,name_ar,specialization_ar,post_war_status_ar,introduction_ar,introduction_ar,notes_ar
FAC-010,Palestine College of Nursing and Midwifery,كلية فلسطين للتمريض والقبالة,التمريض / القبالة / المهن الصحية المساعدة,,"The Palestine College of Nursing and Midwifery in Khan Yunis is a public institution dedicated to training nursing and midwifery professionals for Gaza's healthcare system. Given the severe shortage of healthcare workers in the Strip, it played a critical role in building clinical capacity for Gazan hospitals and health centres.",كلية فلسطين للتمريض والقبالة في خان يونس هي مؤسسة حكومية تُعنى بتدريب كوادر التمريض والقبالة لخدمة قطاع الرعاية الصحية في غزة. ونظراً للنقص الحاد في الكوادر الطبية في القطاع، فقد اضطلعت الكلية بدور محوري في بناء القدرات السريرية للمستشفيات والمراكز الصحية في غزة.,مؤسسة تدريب كوادر الرعاية الصحية الأساسية. تقع في خان يونس.
FAC-011,Gaza Sky Geeks / Technology Institutes,معاهد غزة سكاي جيكس / معاهد التكنولوجيا,تطوير البرمجيات / التكنولوجيا / ريادة الأعمال,,"Gaza's technology training sector included several private institutes providing coding bootcamps, software development programmes, and entrepreneurship training. These institutions were pivotal in developing Gaza's growing tech and startup ecosystem, which had attracted international attention before the war.",شمل قطاع التدريب التقني في غزة العديد من المعاهد الخاصة التي تقدم دورات تدريبية مكثفة في البرمجة، وبرامج تطوير البرمجيات، والتدريب على ريادة الأعمال. وقد لعبت هذه المؤسسات دوراً محورياً في تطوير بيئة التكنولوجيا والشركات الناشئة المتنامية في غزة، والتي حظيت باهتمام دولي قبل الحرب.,يشمل ذلك مراكز التدريب التقني ومعاهد البرمجة.
FAC-012,Al-Aqsa University - Khan Younis,جامعة الأقصى - خان يونس,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
