incident_id,_anchor,facility_id,attack_type_ar,result_ar,description_ar,full_discription_ar
INC-012,Al-Azhar University – Gaza,FAC-003,هدم,مبنى كلية الحقوق المستهدف,,قامت قوات الأمن الإسرائيلية أيضاً بهدم جزء من حرم جامعة الأزهر في المغرقة. وقد خلصت لجنة الأمم المتحدة المستقلة إلى أن قوات الأمن الإسرائيلية استهدفت الحرم الجامعي ثلاث مرات على الأقل بين 26 أكتوبر و7 ديسمبر 2023. وفي 7 ديسمبر 2023، قامت قوات الأمن الإسرائيلية بهدم مبنى كلية الآداب والعلوم الإنسانية ومبنى قاعة الرياض من خلال عمليات هدم مُراقبة.
INC-013,Al-Azhar University – Gaza,FAC-003,غارة جوية,أضرار جسيمة لحقت بالحرم الجامعي الرئيسي.,استُهدف الحرم الجامعي الرئيسي في غزة وتعرض لأضرار جسيمة نتيجة لذلك، مما أثر بشكل خاص على كلية الدراسات المتوسطة وكليات العلوم الأخرى.,أكدت اللجنة المستقلة التابعة للأمم المتحدة استيلاء قوات الأمن الإسرائيلية على حرم جامعة الأزهر في المغرقة في نوفمبر 2023 واحتلالها للحرم الجامعي حتى 7 ديسمبر 2023.
INC-014,Al-Azhar University – Gaza,FAC-003,هجوم,إسرائيل تبدأ هجمات على جامعة الأزهر,في الحادي عشر من أكتوبر، أصدرت وزارة التعليم العالي والبحث العلمي بيانًا يفيد بتعرض جامعة الأزهر والجامعة الإسلامية في غزة للقصف والتدمير. وتشير معظم المصادر الأخرى إلى أن تدمير جامعة الأزهر لم يبدأ إلا في أواخر أكتوبر أو أوائل نوفمبر.,
INC-015,Al-Azhar University – Gaza,FAC-003,هدم,قامت القوات الإسرائيلية بهدم حرم جامعة الأزهر في المغارة بعد أن استخدمه الجنود لتخزين الذخائر وإقامة الشعائر الدينية.,"قامت قوات الأمن الإسرائيلية أيضًا بهدم جزء من حرم جامعة الأزهر في المغرقة.
وخلصت اللجنة إلى أن قوات الأمن الإسرائيلية استهدفت الحرم الجامعي ثلاث مرات على الأقل بين 26 أكتوبر و7 ديسمبر 2023. وفي 7 ديسمبر 2023، قامت قوات الأمن الإسرائيلية بهدم مبنى كلية الآداب والعلوم الإنسانية ومبنى قاعة الرياض من خلال عمليات هدم مُراقبة. وحددت اللجنة هوية المتورطين في عملية الهدم، وهم جنود ينتمون إلى الكتيبة 749 للهندسة القتالية.

وقد دفعت الصور ومقاطع الفيديو التي تُظهر جنودًا إسرائيليين يرقصون ويتحركون بحرية في الموقع، وتحليل صور الأقمار الصناعية التي تُظهر سيارات متوقفة في الموقع، اللجنة إلى استنتاج، بناءً على أسس معقولة، أنه لم يكن هناك تهديد كبير لقوات الأمن الإسرائيلية في المنطقة، وبالتالي لم تكن هناك ضرورة عسكرية لهدم مباني الجامعة.

وقد قام جنود إسرائيليون بتصوير حوادث هدم المنشآت التعليمية. تُظهر لقطات مصورة الجنود وهم يُدلون بتعليقات ونكات احتفالية أو مهينة
أثناء عمليات الهدم أو بعدها. في أحد الأمثلة، يقول جندي إسرائيلي بالعبرية: ""لكل من يسأل لماذا لا يوجد تعليم في غزة، أوه، سقط عليكم صاروخ، هذا سيء، للأسف. هكذا
لن تصبحوا مهندسين بعد الآن.""16 ويُقرأ تعليق على الفيديو المنشور: ""في
جامعة الإرهابيين.""

تحققت اللجنة من استيلاء قوات الأمن الإسرائيلية على حرم جامعة الأزهر في المغرقة في نوفمبر 2023، واحتلالها للحرم الجامعي حتى 7 ديسمبر 2023. وأشارت الأدلة التي جمعتها اللجنة وتحققت منها إلى أن قوات الأمن الإسرائيلية استخدمت الحرم الجامعي لتخزين الذخائر والمركبات والمعدات العسكرية الأخرى؛
وأن الخدمات الدينية كانت تُقدم للجنود في جزء من المبنى حولته قوات الأمن الإسرائيلية إلى كنيس يهودي مع لوحة تذكارية. وأن مزوزة ١٨ قد تم تثبيتها على مدخل المبنى.",
INC-016,Al-Azhar University – Gaza,FAC-003,ضربة مباشرة (في الجوار),تعرض مبنى بالقرب من الجامعة للقصف والتدمير، وجاء القصف بعد إصدار أمر إخلاء في نفس اليوم.,في 8 سبتمبر/أيلول، صدر أمرٌ بإخلاء مبنى تجاري من 12 طابقاً والمباني المحيطة به وخيام النازحين، بالقرب من جامعة الأزهر في حي الرمال، وسط مدينة غزة. وشمل الأمر مساحة كيلومتر مربع واحد في أحد الأحياء. وفي اليوم نفسه، تعرض المبنى للقصف والتدمير، مما ألحق أضراراً جسيمة بالمنطقة.,
INC-017,Al-Azhar University – Gaza,FAC-003,غير محدد,بدأ مقطع فيديو التقطه جنود من جيش الدفاع الإسرائيلي يُظهر تدمير جامعة الأزهر بالانتشار على مواقع التواصل الاجتماعي,نشر جندي من جيش الدفاع الإسرائيلي مقطع فيديو يتجول فيه في حرم جامعة الأزهر، يُظهر الدمار ويسخر من كون الجامعة قيد الإنشاء وأن الدراسة لن تبدأ أبدًا. ولم يتضح متى تم تصوير الفيديو أو ما هو الحادث الذي تسبب في هذا الدمار.,
INC-018,Al-Azhar University – Gaza,FAC-003,غارة جوية,غارة جوية على حرم جامعة الأزهر,أفادت منظمة حقوق الإنسان بأن المقر الرئيسي لجامعة الأزهر في مدينة غزة وفرعها في منطقة المغرقة قد دُمّرا بالكامل، نتيجة للغارات الجوية الإسرائيلية المتكررة في 11 أكتوبر و4 نوفمبر و21 نوفمبر من عام 2023.,
INC-019,Al-Azhar University – Gaza,FAC-003,غارة جوية,سلسلة من الغارات الجوية على جامعة الأزهر,,
INC-020,Al-Azhar University – Gaza,FAC-003,غارة جوية,شنت القوات الإسرائيلية غارات جوية استهدفت الجامعة,قصفت طائرات عسكرية إسرائيلية مباني جامعة الأزهر. ووقعت هذه الغارات بينما كان عدد كبير من المدنيين قد لجأوا إلى الجامعة.,
INC-021,Al-Azhar University – Gaza,FAC-003,غارة جوية,أضرار جسيمة في المنطقة المحيطة؛ تم الإبلاغ عن نزوح جماعي/أشخاص مفقودين,قصفت القوات الإسرائيلية مبنىً من ثلاثة طوابق بالقرب من جامعة الأزهر في مدينة غزة، ما أسفر عن فقدان أكثر من 60 شخصاً. لم يتم تأكيد تدمير الجامعة نفسها في هذا التقرير، لكن المنطقة المحيطة بها تضررت بشدة.,
INC-022,Al-Quds Open University – Gaza,FAC-008,مدمر,تعرضت مكتبة جامعة القدس المفتوحة للهجوم,في أوائل ديسمبر/كانون الأول 2023، استُهدفت العديد من المكتبات في غزة، بما في ذلك مكتبة جامعة القدس المفتوحة التي لحقت بها أضرار جسيمة. توجد بعض الصور التي تُظهر الأضرار التي لحقت بالمكتبة، ولكن ليس من الواضح ما إذا كانت هذه الصور تُظهر أضرارًا ناجمة عن حادثة 6 ديسمبر/كانون الأول أم عن هجوم آخر.,
INC-023,Al-Quds Open University – Gaza,FAC-008,غارة جوية,حرم جامعي دُمر جراء قصف إسرائيلي,في خضم الهجوم المتواصل والمجازر ضد الأطفال والنساء وكبار السن، فضلاً عن استهداف الملاجئ الآمنة والبنية التحتية العامة، تؤكد جامعة القدس المفتوحة، ممثلة بمجلس أمنائها ورئيسها وموظفيها وطلابها، وتدين بشدة القصف المتواصل وتدمير مبنى فرعها في غزة، وتحويله إلى ثكنة عسكرية كجزء من سياسة ممنهجة في سياق العدوان الخبيث المستمر والجرائم المروعة المرتكبة في قطاع غزة لأكثر من 40 يوماً، والتي تضاف إلى جرائمه ومجازره على مدى 75 عاماً من الاحتلال.,
INC-024,Al-Quds Open University – Gaza,FAC-008,غارة جوية,قصف وتدمير,مكتبة فرع غزة,حوّلت القوات الإسرائيلية مباني الجامعة إلى ثكنات عسكرية، قبل أن تقصف فرع غزة في 15 نوفمبر.
INC-025,Arab College for Applied Sciences,FAC-009,,دمار كامل,تم حرق وتدمير الفرع الموجود في شمال غزة.,
INC-026,Arab College for Applied Sciences,FAC-009,,تالف,تعرض فرع خان يونس لأضرار جزئية وقُتل مديره خلال غزو محافظة خان يونس. ويؤوي الفرع الآن آلاف النازحين.,
INC-027,Dar al-Kalima University: Gaza Training Centre,FAC-013,غارة جوية,مدمر,#VALUE!,
INC-028,Gaza Sky Geeks,FAC-014,غارة جوية (في الجوار),المرافق تضررت بشدة,تعرض المركز الرئيسي في حي الرمال لهدم واجهته الأمامية بالكامل. وبينما بقيت أجزاء من المبنى قائمة في البداية، تم تسوية المنطقة المحيطة به بالأرض.,
INC-029,Gaza University,FAC-000,غارة جوية,دُمرت الجامعة في ديسمبر/كانون الأول جراء غارة جوية إسرائيلية,,
INC-030,Gaza University,FAC-000,مدمر,تعرضت جامعة غزة للقصف وبدا أنها دُمرت بالكامل.,"وردت بعض التقارير عن قصف جامعة غزة في 4 ديسمبر/كانون الأول 2023، إلا أنه لا يبدو أن هناك أي مصادر إخبارية رئيسية تؤكد ذلك، ويشير أحد التقارير إلى أن تاريخ الهجوم كان في 1 ديسمبر/كانون الأول 2023. وجاء في التقرير: ""في ديسمبر/كانون الأول 2023، استهدفت غارات جوية إسرائيلية جامعة غزة وحرمها الجامعي الرئيسي في حي الزيتون بشكل مكثف. كما لحقت أضرار جزئية بأربعة مبانٍ جامعية أخرى. وتعرض فرع الجامعة في بيت لاهيا، شمال قطاع غزة، للقصف والتدمير، وكذلك فرعها في خان يونس"".",
INC-031,Hassan II University of Agriculture and Environmental Sciences,FAC-015,,مدمر,,
INC-032,Islamic University of Gaza,FAC-001,غارة جوية,غارة جوية إسرائيلية على منطقة الفلوجة في جباليا,قُتل رئيس الجامعة/باحث في الفيزياء والرياضيات التطبيقية وعائلته.,
INC-033,Islamic University of Gaza,FAC-001,غارة جوية,باحث فلسطيني في الفيزياء والرياضيات التطبيقية ورئيس جامعة غزة الإسلامية,,
INC-034,Islamic University of Gaza,FAC-001,غارة جوية,أدى القصف إلى تدمير عدد من مباني الجامعة، بما في ذلك المكتبة.,"وجاء في بيان صادر عن الجامعة: ""تضررت مباني كلية تقنية المعلومات، وعمادة خدمة المجتمع والتعليم المستمر، وكلية العلوم بالجامعة بشكل بالغ"". وخلال الاقتحام البري الذي بدأ في نهاية أكتوبر، فجرت القوات الإسرائيلية ما تبقى من مباني الجامعة الإسلامية.",
INC-035,Islamic University of Gaza,FAC-001,غارة جوية,تعرضت الجامعة الإسلامية في غزة لهجوم,بدأ الجيش الإسرائيلي هجومه على قطاع التعليم في غزة بتسوية مكتبة الجامعة الإسلامية في غزة بالأرض.,
INC-036,Islamic University of Gaza,FAC-001,هدم,كلية الطب المدمرة,قامت القوات الإسرائيلية بتفجير كلية الطب بالجامعة الإسلامية,
INC-037,Islamic University of Gaza,FAC-001,غارة جوية,مزيد من الإضرابات في حرم الجامعة الإسلامية بغزة,قصفت إسرائيل بكثافة حرم جامعة غزة الإسلامية، مما أدى إلى تدمير مسجدها ومعظم مبانيها الرئيسية (جامعة شيكاغو). وأعلنت الجامعة، عبر صفحتها الرسمية على فيسبوك، أن مبنى كلية تكنولوجيا المعلومات، ومبنى كلية الشؤون الاجتماعية والتعليم المستمر، ومبنى كلية العلوم، قد لحقت بها أضرار جسيمة، بالإضافة إلى معداتها ومختبراتها وأثاثها. كما تحطمت جميع نوافذ مباني الجامعة وواجهاتها (دراسات فلسطين).,
INC-038,Islamic University of Gaza,FAC-001,غارة جوية (في الجوار),سقوط ضحايا مدنيين مميتين في المباني السكنية المحيطة,استُهدف منزلان شرق الجامعة الإسلامية بغزة في غرب خان يونس، ما أسفر عن سقوط عدد من القتلى المدنيين، بينهم نساء وأطفال. ولم يصدر أي تأكيد مباشر بشأن استهداف الجامعة نفسها.,
INC-039,Islamic University of Gaza,FAC-001,غارة جوية,استهدفت غارة جوية الجامعة الإسلامية في غزة، مما أسفر عن مقتل ثلاثة أشخاص كانوا يحتمون داخل الحرم الجامعي.,قُتل ثلاثة فلسطينيين وأصيب آخرون بجروح بعد أن قصفت طائرات مقاتلة إسرائيلية خيمة تؤوي عائلات نازحة داخل الجامعة الإسلامية في حي الرمال الجنوبي، غرب مدينة غزة.,
INC-040,Islamic University of Gaza,FAC-001,غارة جوية,تعرضت الجامعة لهجوم جديد بينما كان الجيش الإسرائيلي يستهدف المباني الشاهقة في مدينة غزة,"تعرض مبنى آخر في الجامعة الإسلامية بغزة للقصف الصاروخي، ما أدى إلى تدميره، وفقًا لصور ومقاطع فيديو من موقع الحادث. ونشر وزير الدفاع الإسرائيلي يسرائيل كاتس مقطع فيديو للغارات التي استهدفت المبنى المكون من ستة طوابق في يوم X، قائلاً: ""الجامعة الإسلامية في غزة تتحول إلى رماد. القضاء على مصادر التحريض والإرهاب"".",
INC-041,Islamic University of Gaza,FAC-001,ضربة مباشرة,تعرض مبنى أو أكثر داخل الجامعة الإسلامية لهجوم متتابع,في 14 سبتمبر/أيلول، حوالي الساعة 2:30 ظهراً، أفادت التقارير بمقتل سبعة فلسطينيين على الأقل، وفقدان آخرين تحت الأنقاض، إثر استهداف مبنى أو أكثر داخل الجامعة الإسلامية في حي الرمال، وسط مدينة غزة، بعد أن أصدر الجيش الإسرائيلي تحذيرات لسكان المنطقة بالإخلاء. وكان أحد المباني على الأقل يؤوي نازحين، عادوا لجمع أمتعتهم بعد الضربة الثانية التي استهدفت المبنى مجدداً بصواريخ شديدة الانفجار.,
INC-042,Israa University,FAC-002,هدم,بعد احتلال جامعة إسراء لمدة 70 يومًا، قامت القوات الإسرائيلية بهدم جميع مباني الحرم الجامعي المتبقية حوالي 15 يناير، ونشرت لقطات للدمار الذي حدث في 17 يناير.,١٧ يناير/كانون الثاني - ظهرت لقطات فيديو تُظهر القوات الإسرائيلية وهي تُفجّر ٣١٥ لغمًا لتدمير ما تبقى من مباني حرم الزهراء التابع لجامعة الإسراء، آخر حرم جامعي قائم في غزة. وكان الجنود الإسرائيليون قد احتلوا الحرم الجامعي سابقًا واستخدموه كقاعدة عسكرية لمدة ٧٠ يومًا. وكانت جامعة الإسراء تضم أول متحف وطني في غزة، ويحتوي على أكثر من ٣٠٠٠ قطعة أثرية، نهبتها القوات الإسرائيلية قبل الهدم.,
INC-043,Israa University,FAC-002,هدم,المباني المستهدفة التي كانت تضم كليات الدراسات العليا والجامعية، بالإضافة إلى متحف وطني,احتل الجيش الجامعة واستخدمها كقاعدة عسكرية لمدة 70 يوماً قبل أن يتم تفجيرها بـ 315 لغماً زرعها الجيش الإسرائيلي.,أعلنت الجامعة في بيان لها أن مبانيها الرئيسية للدراسات العليا وكليات البكالوريوس قد دُمرت. وأضافت الجامعة أن القوات الإسرائيلية استولت على المجمع قبل 70 يومًا واستخدمته كقاعدة عسكرية.
INC-044,Palestine Technical College,FAC-006,,,,
INC-045,University College of Applied Sciences (UCAS),FAC-007,الدخول مقيد,قاعدة عسكرية إسرائيلية,قامت قوات الاحتلال الإسرائيلي بتحويل كلية العلوم التطبيقية الجامعية إلى قاعدة عسكرية في أغسطس 2024.,
INC-046,University College of Applied Sciences (UCAS),FAC-007,قصف,دمار شامل,قامت قوات الجيش التي توغلت في حي تل الهوى بتفجير وقصف مباني الكلية الجامعية وتدميرها بالكامل.,
INC-047,University College of Applied Sciences (UCAS),FAC-007,قصف (في الجوار),الكلية تضررت بشدة,تضررت الكلية الجامعية بشدة نتيجة القصف المباشر في حي تل الهوى.,
INC-048,University College of Applied Sciences (UCAS),FAC-007,غارة جوية,تعرض الحرم الجامعي للهجوم,قامت إسرائيل بقصف وتدمير الحرم الجامعي.,
INC-049,University College of Applied Sciences (UCAS),FAC-007,قصف,تعرض للقصف في 22 يناير أثناء إيواء العائلات النازحة.,,
INC-050,University of Palestine,FAC-005,هدم,,فجرت القوات أكثر من 300 لغم في الجامعة,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
