incident_id,_anchor,facility_id,attack_type_de,result_de,description_de,full_discription_de
INC-011,Al-Azhar University – Gaza,FAC-003,Bombardierung,"Der Campus wurde bombardiert, was zur Zerstörung des größten Teils des Campus führte.","Am 4. November 2023 bombardierten israelische Kampfflugzeuge den Campus der Al-Azhar-Universität in al-Maghraqa, östlich von Gaza-Stadt, und zerstörten ihn beinahe vollständig. Die Farm der Fakultät für Landwirtschaft in Beit Hanoun wurde zerstört, und das Gebäude der Haider-Abdel-Shafi-Medizinschule in Tal al-Hawa wurde teilweise beschädigt. Die Fakultäten des Westcampus erlitten erhebliche Schäden (Palästinastudien, Al-Azhar). In einem Positionspapier des Instituts für Palästinastudien heißt es: „Am 26. Oktober und erneut am 4. November bombardierten israelische Militärflugzeuge die Gebäude der Al-Azhar-Universität. Diese Angriffe erfolgten, während zahlreiche Zivilisten dort Zuflucht gesucht hatten. Berichten zufolge wurden mindestens zwölf Menschen getötet und mehr als 50 verletzt, während Rettungsteams unter den Trümmern nach Überlebenden suchten.“ Als Quelle für diese Information wird Top War (auch bekannt als Military Review) angegeben, das nicht als besonders zuverlässig gilt. Andere Nachrichtenagenturen berichteten weder am 26. Oktober noch am 4. November über Opfer in Al-Azhar.",
INC-012,Al-Azhar University – Gaza,FAC-003,Abriss,Gebäude der juristischen Fakultät im Visier,,"Israelische Sicherheitskräfte zerstörten auch einen Teil des Al-Mughraqa-Campus der Al-Azhar-Universität. Die Unabhängige UN-Kommission stellte fest, dass israelische Sicherheitskräfte den Campus zwischen dem 26. Oktober und dem 7. Dezember 2023 mindestens dreimal ins Visier genommen hatten. Am 7. Dezember 2023 sprengten israelische Sicherheitskräfte das Gebäude der Fakultät für Geisteswissenschaften und das Al-Riyadh-Auditorium."
INC-013,Al-Azhar University – Gaza,FAC-003,Luftangriff,Schwere Schäden am Hauptcampus der Universität.,"Der Hauptcampus der Universität in Gaza wurde angegriffen und erlitt dadurch schwere Schäden, was insbesondere die Fakultät für Mittelstufenstudien und andere naturwissenschaftliche Fakultäten betraf.",Die Unabhängige Kommission der Vereinten Nationen bestätigte die Übernahme des Al-Mughraqa-Campus der Al-Azhar-Universität durch die israelischen Sicherheitskräfte im November 2023 sowie deren Besetzung des Campus bis zum 7. Dezember 2023.
INC-014,Al-Azhar University – Gaza,FAC-003,Angriff,Israel beginnt Angriffe auf die Al-Azhar-Universität,"Am 11. Oktober veröffentlichte das Ministerium für Hochschulbildung und Forschung eine Erklärung, in der es hieß, die Al-Azhar-Universität und die Islamische Universität Gaza seien angegriffen und beschädigt worden. Die meisten anderen Quellen datieren die Zerstörung der Al-Azhar-Universität erst auf Ende Oktober oder Anfang November.",
INC-015,Al-Azhar University – Gaza,FAC-003,Abriss,"Der Al-Mughraqa-Campus der Al-Azhar-Universität wurde von israelischen Streitkräften abgerissen, nachdem Soldaten ihn zur Lagerung von Munition und zur Abhaltung religiöser Zeremonien genutzt hatten.","Israelische Sicherheitskräfte zerstörten auch einen Teil des Al-Mughraqa-Campus der Al-Azhar-Universität. Die Kommission stellte fest, dass israelische Sicherheitskräfte den Campus zwischen dem 26. Oktober und dem 7. Dezember 2023 mindestens dreimal ins Visier genommen hatten. Am 7. Dezember 2023 sprengten israelische Sicherheitskräfte das Gebäude der Fakultät für Geistes- und Sozialwissenschaften sowie das Al-Riyadh-Auditorium. Die Kommission identifizierte die an der Sprengung Beteiligten als Soldaten des 749. Kampfingenieurbataillons.

Bilder und Videos, die israelische Soldaten beim Tanzen und freien Bewegen auf dem Gelände zeigen, sowie Satellitenbildanalysen, die dort geparkte Autos belegen, führten die Kommission zu dem Schluss, dass keine signifikante Bedrohung für die israelischen Sicherheitskräfte in dem Gebiet bestand und daher keine militärische Notwendigkeit für den Abriss der Universitätsgebäude vorlag.

Vorfälle der Zerstörung von Bildungseinrichtungen wurden von israelischen Soldaten gefilmt. Aufnahmen zeigen, wie sie während oder nach Abrissen jubelnde oder abfällige Bemerkungen und Witze äußern. In einem Beispiel sagt ein israelischer Soldat auf Hebräisch: „An alle, die fragen, warum es in Gaza keine Bildung gibt: Ups, eine Rakete ist auf euch gefallen, Pech gehabt. So werdet ihr nie Ingenieure werden.“¹⁶ Die Bildunterschrift des veröffentlichten Videos lautet: „An der Universität der Terroristen.“

Die Kommission bestätigte die Besetzung des Al-Mughraqa-Campus der Al-Azhar-Universität durch israelische Sicherheitskräfte im November 2023 und deren Besetzung bis zum 7. Dezember 2023. Die von der Kommission gesammelten und verifizierten Beweise deuten darauf hin, dass israelische Sicherheitskräfte den Campus zur Lagerung von Munition, Fahrzeugen und anderer militärischer Ausrüstung genutzt hatten; dass in einem Bereich des Gebäudes, den israelische Sicherheitskräfte in eine Synagoge mit einer Gedenktafel umgewandelt hatten, religiöse Zeremonien für Soldaten abgehalten wurden; und dass eine Mezuzah18 am Eingang des Gebäudes angebracht worden war.",
INC-016,Al-Azhar University – Gaza,FAC-003,Direkter Treffer (Umgebung),Ein Gebäude in der Nähe der Universität wurde getroffen und zerstört; der Treffer erfolgte nach der Anordnung zur Evakuierung am selben Tag.,"Am 8. September wurde in der Nähe der Al-Azahar-Universität in Ar Rimal, im Zentrum von Gaza-Stadt, eine Räumungsanordnung für ein zwölfstöckiges Geschäftsgebäude sowie die umliegenden Wohnblöcke und Zelte von Binnenvertriebenen erlassen. Die Anordnung betraf einen Quadratkilometer in einem Stadtviertel. Am selben Tag wurde das Gebäude getroffen und zerstört, wodurch in der Umgebung schwere Schäden entstanden.",
INC-017,Al-Azhar University – Gaza,FAC-003,Nicht spezifiziert,"Ein Video, das von IDF-Soldaten aufgenommen wurde und die Zerstörung der Al-Azhar-Universität zeigt, kursiert in den sozialen Medien.","Ein Soldat der israelischen Streitkräfte veröffentlichte ein Video, das ihn auf dem Campus der Al-Azhar-Universität zeigt. Darin sind die Zerstörungen zu sehen, und er scherzt darüber, dass die Universität im Bau sei und der Unterricht nie beginnen werde. Es ist unklar, wann genau das Video aufgenommen wurde und welches Ereignis die gezeigten Schäden verursacht hat.",
INC-018,Al-Azhar University – Gaza,FAC-003,Luftangriff,Luftangriff auf den Al-Azhar-Campus,"Die Hauptverwaltung der Al-Azhar-Universität in Gaza-Stadt und ihre Zweigstelle im Gebiet Al-Mughraqa wurden durch wiederholte israelische Luftangriffe am 11. Oktober, 4. November und 21. November 2023 vollständig zerstört, erklärte die Menschenrechtsgruppe.",
INC-019,Al-Azhar University – Gaza,FAC-003,Luftangriff,Serie von Luftangriffen auf die Al-Azhar-Universität,,
INC-020,Al-Azhar University – Gaza,FAC-003,Luftangriff,Israelische Streitkräfte starteten Luftangriffe auf die Universität,"Israelische Militärflugzeuge bombardierten die Gebäude der Al-Azhar-Universität. Diese Bombardierungen erfolgten, während dort eine große Anzahl von Zivilisten Zuflucht gesucht hatte.",
INC-021,Al-Azhar University – Gaza,FAC-003,Luftangriff,Schwere Schäden in der Umgebung; Massenvertreibungen/Vermisstenmeldungen,"Israelische Streitkräfte griffen ein dreistöckiges Gebäude in der Nähe der Al-Azhar-Universität in Gaza-Stadt an, wodurch über 60 Menschen vermisst werden. Ob die Universität selbst zerstört wurde, ist in diesem Bericht noch nicht bestätigt, aber die Umgebung wurde schwer getroffen.",
INC-022,Al-Quds Open University – Gaza,FAC-008,Zerstört,Die Bibliothek der Al-Quds Open University wurde getroffen,"Anfang Dezember 2023 wurden zahlreiche Bibliotheken im Gazastreifen angegriffen, darunter auch die Bibliothek der Al-Quds Open University, die schwer beschädigt wurde. Es existieren Bilder der Schäden an der Bibliothek, doch es ist unklar, ob diese vom Anschlag vom 6. Dezember oder von einem anderen Angriff stammen.",
INC-023,Al-Quds Open University – Gaza,FAC-008,Luftangriff,Universitätsgelände durch israelische Bomben zerstört,"Inmitten der unerbittlichen Angriffe und Massaker an Kindern, Frauen und älteren Menschen, ganz zu schweigen von den Angriffen auf Schutzhäuser und öffentliche Infrastruktur, bekräftigt und verurteilt die al-Quds Open University, vertreten durch ihren Verwaltungsrat, ihren Präsidenten, ihre Mitarbeiter und Studenten, die unerbittliche Bombardierung und Zerstörung ihres Zweiggebäudes in Gaza, das im Rahmen einer systematischen Politik im Kontext der andauernden heimtückischen Aggression und der seit mehr als 40 Tagen im Gazastreifen begangenen entsetzlichen Verbrechen in eine Militärkaserne umgewandelt wurde und die Verbrechen und Massaker der letzten 75 Jahre der Besatzung ergänzt.",
INC-024,Al-Quds Open University – Gaza,FAC-008,Luftangriff,Bombardiert und zerstört,Zweigbibliothek Gaza,"Israelische Streitkräfte wandelten Universitätsgebäude in Militärkasernen um, bevor sie am 15. November die Niederlassung in Gaza bombardierten."
INC-025,Arab College for Applied Sciences,FAC-009,,Vollständige Zerstörung,Die Zweigstelle im nördlichen Gazastreifen wurde niedergebrannt und zerstört.,
INC-026,Arab College for Applied Sciences,FAC-009,,Beschädigt,"Der Campus in Khan Yunis wurde bei der Invasion des Gouvernements Khan Yunis teilweise beschädigt, und der Leiter der Zweigstelle kam ums Leben. Die Zweigstelle dient nun Tausenden von Vertriebenen als Zufluchtsort.",
INC-027,Dar al-Kalima University: Gaza Training Centre,ID Not Found,Luftangriff,Zerstört,#VALUE!,
INC-028,Gaza Sky Geeks,ID Not Found,Luftangriff (Umgebung),Anlagen schwer beschädigt,"Das Hauptgebäude im Viertel Al Rimal wurde seiner Fassade vollständig beraubt. Während Teile des Gebäudes zunächst stehen blieben, wurde das umliegende Gebiet dem Erdboden gleichgemacht.",
INC-029,Gaza University,FAC-000,Luftangriff,Die Universität wurde im Dezember durch einen israelischen Luftangriff zerstört.,,
INC-030,Gaza University,FAC-000,Zerstört,Die Universität von Gaza wurde bombardiert und scheint zerstört worden zu sein,"Es gibt Berichte über einen Bombenangriff auf die Universität Gaza am 4. Dezember 2023, doch keine der etablierten Nachrichtenquellen bestätigt dies. Ein Bericht nennt den 1. Dezember 2023 als Datum des Angriffs. „Im Dezember 2023 wurden die Universität Gaza und ihr Hauptcampus im Viertel al-Zeitoun von israelischen Luftangriffen schwer getroffen. Vier weitere Universitätsgebäude wurden teilweise beschädigt. Auch die Zweigstelle der Universität in Beit Lahia im nördlichen Gazastreifen sowie die Zweigstelle in Khan Younis wurden bombardiert, angegriffen und zerstört.“",
INC-031,Hassan II University of Agriculture and Environmental Sciences,ID Not Found,,Zerstört,,
INC-032,Islamic University of Gaza,FAC-001,Luftangriff,Israelischer Luftangriff im Gebiet Al-Faluja in Jabalia,Der Rektor der Universität und Forscher im Bereich Physik und angewandte Mathematik sowie seine Familie wurden getötet.,
INC-033,Islamic University of Gaza,FAC-001,Luftangriff,Palästinensischer Forscher in Physik und angewandter Mathematik und Rektor der Islamischen Universität Gaza,,
INC-034,Islamic University of Gaza,FAC-001,Luftangriff,"Bei einem Bombenangriff wurden mehrere Universitätsgebäude, darunter die Bibliothek, zerstört.","„Die Gebäude der Fakultät für Informationstechnologie, des Dekanats für Gemeinwesenarbeit und Weiterbildung sowie der naturwissenschaftlichen Fakultät wurden schwer beschädigt“, hieß es in einer Erklärung der Universität. Während der Bodenoffensive, die Ende Oktober begann, wurden die übrigen Gebäude der Islamischen Universität von israelischen Streitkräften gesprengt.",
INC-035,Islamic University of Gaza,FAC-001,Luftangriff,Islamische Universität von Gaza getroffen,Das israelische Militär beginnt seinen Angriff auf den Bildungssektor des Gazastreifens mit der Zerstörung der Bibliothek der Islamischen Universität von Gaza.,
INC-036,Islamic University of Gaza,FAC-001,Abriss,Medizinische Fakultät zerstört,Israelische Streitkräfte sprengten die medizinische Fakultät der Islamischen Universität.,
INC-037,Islamic University of Gaza,FAC-001,Luftangriff,Weitere Streiks auf dem Campus der Islamischen Universität von Gaza,"Israel bombardierte den Campus der Islamischen Universität Gaza im Gazastreifen umfassend und zerstörte dabei die Moschee und die meisten Hauptgebäude (Universität Chicago). Auf ihrer offiziellen Facebook-Seite gab die Universität bekannt, dass das Gebäude der Fakultät für Informationstechnologie, das Gebäude der Fakultät für Sozialwissenschaften und Weiterbildung sowie das Gebäude der Naturwissenschaftlichen Fakultät schwer beschädigt wurden, ebenso wie deren Ausrüstung, Labore und Mobiliar. Sämtliche Fenster und Fassaden aller Universitätsgebäude wurden zerstört (Palästinastudien).",
INC-038,Islamic University of Gaza,FAC-001,Luftangriff (Umgebung),Tödliche zivile Opfer in umliegenden Wohngebäuden,"Bei einem Angriff auf zwei Häuser östlich der Islamischen Universität Gaza im westlichen Khan Younis kamen mehrere Zivilisten, darunter Frauen und Kinder, ums Leben. Es gibt keine direkte Bestätigung, dass die Universität selbst getroffen wurde.",
INC-039,Islamic University of Gaza,FAC-001,Luftangriff,"Bei einem Luftangriff auf die Islamische Universität von Gaza wurden drei Personen getötet, die auf dem Campus Schutz gesucht hatten.","Drei Palästinenser wurden getötet und mehrere weitere verletzt, nachdem israelische Kampfflugzeuge ein Zelt angegriffen hatten, in dem vertriebene Familien innerhalb der Islamischen Universität im Viertel al-Rimal al-Janoubi westlich von Gaza-Stadt Schutz suchten.",
INC-040,Islamic University of Gaza,FAC-001,Luftangriff,"Die Universität wurde erneut getroffen, während die israelischen Streitkräfte Hochhäuser in Gaza-Stadt angriffen.",Ein weiteres Gebäude der Islamischen Universität in Gaza wurde laut Bildern und Videos vom Ort des Geschehens von mehreren Raketen getroffen und zerstört. Der israelische Verteidigungsminister Israel Katz veröffentlichte ein Video der Angriffe auf das sechsstöckige Gebäude auf X mit den Worten: „Die ‚Islamische‘ Universität in Gaza geht in Flammen auf. Damit sind die Quellen der Aufwiegelung und des Terrorismus beseitigt.“,
INC-041,Islamic University of Gaza,FAC-001,Direkter Schlag,Ein oder mehrere Gebäude innerhalb der Islamischen Universität wurden nacheinander getroffen,"Am 14. September gegen 14:30 Uhr wurden Berichten zufolge mindestens sieben Palästinenser getötet und weitere unter den Trümmern vermisst, als in Ar Rimal, einem Stadtteil im Zentrum von Gaza, nacheinander ein oder mehrere Gebäude der Islamischen Universität getroffen wurden. Zuvor hatte das israelische Militär die Bewohner des Gebiets zur Evakuierung aufgefordert. In mindestens einem der Gebäude hatten Binnenvertriebene Zuflucht gesucht. Diese waren Berichten zufolge zurückgekehrt, um nach dem zweiten Angriff ihre Habseligkeiten zu bergen, als das Gebäude erneut mit Sprengraketen getroffen wurde.",
INC-042,Israa University,FAC-002,Abriss,Nach 70 Tagen Besetzung der Israa-Universität rissen israelische Streitkräfte um den 15. Januar alle verbliebenen Campusgebäude ab und veröffentlichten am 17. Januar Aufnahmen der Zerstörung.,"17. Januar – Videoaufnahmen zeigen, wie israelische Streitkräfte 315 Minen sprengen, um die letzten Gebäude des Al-Israa-Universitätscampus in Al-Zahara, dem letzten verbliebenen Universitätscampus im Gazastreifen, zu zerstören. Israelische Soldaten hatten den Campus zuvor 70 Tage lang besetzt und als Militärstützpunkt genutzt. Die Al-Israa-Universität beherbergte Gazas erstes Nationalmuseum mit über 3.000 Artefakten, die israelische Streitkräfte vor der Zerstörung geplündert hatten.",
INC-043,Israa University,FAC-002,Abriss,Die angegriffenen Gebäude beherbergten Hochschulen für Graduierten- und Bachelor-Studierende sowie ein nationales Museum.,"Die Armee besetzte und nutzte die Universität 70 Tage lang als Militärstützpunkt, bevor sie mit 315 vom israelischen Militär platzierten Minen gesprengt wurde.","Die Universität teilte in einer Erklärung mit, dass ihre Hauptgebäude für Graduierten- und Bachelorstudiengänge zerstört wurden. Laut Universität hatten israelische Streitkräfte den Komplex vor 70 Tagen eingenommen und als Stützpunkt genutzt."
INC-044,Palestine Technical College,FAC-006,,,,
INC-045,University College of Applied Sciences (UCAS),FAC-007,Zugriff beschränkt,Israelischer Militärstützpunkt,Die israelischen Besatzungstruppen wandeln die Hochschule für Angewandte Wissenschaften der Universität im August 2024 in einen Militärstützpunkt um.,
INC-046,University College of Applied Sciences (UCAS),FAC-007,Bombardierung,Totale Zerstörung,"Bei einem Einmarsch der Armee in das Viertel Tel al-Hawa wurden die Gebäude der Universitätshochschule gesprengt, detoniert und beschossen und vollständig zerstört.",
INC-047,University College of Applied Sciences (UCAS),FAC-007,Bombardierung (Umgebung),Hochschule schwer beschädigt,Das University College wurde durch direkten Beschuss im Stadtteil Tel al-Hawa schwer beschädigt.,
INC-048,University College of Applied Sciences (UCAS),FAC-007,Luftangriff,Campus angegriffen,Israel bombardierte und zerstörte den Campus.,
INC-049,University College of Applied Sciences (UCAS),FAC-007,Bombardierung,"Am 22. Januar wurde das Gebäude beschossen, während es vertriebene Familien beherbergte.",,
INC-050,University of Palestine,FAC-005,Abriss,,Die Streitkräfte sprengten mehr als 300 Minen an der Universität.,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
