id,_anchor,name_de,specialization_de,post_war_status_de,introduction_de,notes_de
FAC-010,Palestine College of Nursing and Midwifery,Palestine College für Krankenpflege und Hebammenwesen,Krankenpflege / Hebammenwesen / Gesundheitsfachberufe,,"Das Palästinensische College für Krankenpflege und Geburtshilfe in Khan Yunis ist eine staatliche Einrichtung, die sich der Ausbildung von Pflege- und Hebammenfachkräften für das Gesundheitssystem des Gazastreifens widmet. Angesichts des akuten Mangels an medizinischem Personal im Gazastreifen spielte es eine entscheidende Rolle beim Aufbau klinischer Kapazitäten für Krankenhäuser und Gesundheitszentren in Gaza.",Wichtige Ausbildungsstätte für medizinisches Fachpersonal. Befindet sich in Khan Yunis.
FAC-011,Gaza Sky Geeks / Technology Institutes,Gaza Sky Geeks / Technologieinstitute,Softwareentwicklung / Technologie / Unternehmertum,,"Der Technologie-Ausbildungssektor im Gazastreifen umfasste mehrere private Institute, die Programmierkurse, Softwareentwicklungsprogramme und Existenzgründungstrainings anboten. Diese Institutionen spielten eine entscheidende Rolle bei der Entwicklung des wachsenden Technologie- und Startup-Ökosystems im Gazastreifen, das bereits vor dem Krieg internationale Aufmerksamkeit erregt hatte.",Dazu gehören Technologie-Schulungszentren und Programmierinstitute.
FAC-012,Al-Aqsa University - Khan Younis,Al-Aqsa-Universität - Khan Younis,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
