detail_id,event_id,event_name,category,order,time,heading_label,value,content,source,source_link,submission_id,added_by,reviewed_by
DET-013,hist001,Deir Yassin,historical_impact,4,,Immediate Impact,,Complete depopulation of Deir Yassin; lands integrated into West Jerusalem,,,,,
DET-014,hist001,Deir Yassin,historical_impact,4,,Accountability,,✘ Village site never returned; Kfar Shaul psychiatric hospital built 1951 on village lands,,,,,
DET-015,hist001,Deir Yassin,legal,1,,Law Applicable in April 1948,,"Hague Convention IV (1907): Customary by 1948. Art. 23(c): killing enemies who laid down arms; Art. 25: attack on undefended places; Art. 28: pillage; Art. 46: protection of family honor, lives, property.",,,,,
DET-016,hist001,Deir Yassin,legal,1,,Post-1949 Context (Descriptive),,"Geneva Convention IV (1949): Adopted Aug 12, 1949 (16 months after Deir Yassin). Israel ratified Jul 6, 1951; Jordan May 29, 1951. Not applicable retroactively to April 1948 events.",,,,,
DET-017,hist001,Deir Yassin,legal,1,,Treaty Opposability,,Vienna Convention principle: Treaties not retroactive (Art. 28). Geneva IV cannot be invoked for events predating its adoption.,,,,,
DET-018,hist001,Deir Yassin,legal,2,,Law Applicable in April 1948,,Martens Clause (1899/1907): Humanitarian principles binding even where not explicitly codified.,,,,,
DET-019,hist001,Deir Yassin,legal,2,,Post-1949 Context (Descriptive),,Rome Statute (1998): Modern framework characterizing acts as crimes against humanity and war crimes. Used descriptively; not retroactive enforcement.,,,,,
DET-020,hist001,Deir Yassin,legal,2,,Treaty Opposability,,Customary IHL: Hague 1907 + Martens Clause bound all parties in 1948 regardless of ratification.,,,,,
DET-021,hist001,Deir Yassin,legal,3,,Law Applicable in April 1948,,Note: These instruments were opposable to all parties in 1948 as customary international humanitarian law.,,,,,
DET-022,hist001,Deir Yassin,legal,3,,Post-1949 Context (Descriptive),,Note: Modern classifications aid understanding but do not create retroactive legal obligations.,,,,,
DET-023,hist001,Deir Yassin,quick_fact,1,,Event Type,Massacre,,,,,,
DET-024,hist001,Deir Yassin,quick_fact,2,,Perpetrators,Irgun (Etzel) & Lehi (Stern); Haganah/Palmach support,,,,,,
DET-025,hist001,Deir Yassin,quick_fact,3,,Verification,IPS/PalQuest; Zochrot; ICRC; British archives,,,,,,
DET-026,hist001,Deir Yassin,quick_fact,4,,Classification,War Crime (1907 Hague); Crimes Against Humanity (modern),,,,,,
DET-027,hist001,Deir Yassin,testimony,1,,Jacques de Reynier,,Described heavily armed young militiamen; piles of corpses; rescuing a few survivors; noted a victory parade of captives.,'A Jerusalem Un Drapeau Flottait Sur La Ligne De Feu' (1950),https://www.icrc.org/,,,
DET-028,hist001,Deir Yassin,testimony,2,,Meir Pa'il,,Reported indiscriminate killings and parade of captives in Jerusalem; noted subsequent executions. 'It was direct murder. Haganah command tried to hush up the case.',"Interview with Yediot Aharonot, April 4, 1972",https://www.palquest.org/en/highlight/21194/deir-yasin-massacre-9-april-1948,,,
DET-029,hist001,Deir Yassin,testimony,3,,Fahimi Zidan,,"The Jews ordered all of us to line up against the wall. They started shooting at us. I was wounded in the side, but most of us children were saved because we hid behind our parents. The bullets hit my sister Kadri in the head, my sister Sameh in the cheek, my brother Muhammad in the chest.","British Palestine Police Report, April 13, 1948 - UK National Archives CO 537/3869",https://www.nationalarchives.gov.uk/,,,
DET-030,hist001,Deir Yassin,testimony,4,,Richard Catling,,There is no doubt that many sexual atrocities were committed by the attacking Jews. Many young school girls were raped and later slaughtered. Old women were also molested.,"Secret report to British High Commissioner, April 13, 1948 - UK National Archives CO 537/3869",https://www.nationalarchives.gov.uk/,,,
DET-031,hist001,Deir Yassin,timeline,1,Pre-April 1948,Non-aggression agreement,,Village elders and nearby Jewish communities agree to avoid hostilities.,IPS/PalQuest,https://www.palquest.org/en/highlight/21194/deir-yasin-massacre-9-april-1948,,,
DET-032,hist001,Deir Yassin,timeline,2,"April 9, 1948 (dawn)",Attack begins,,Irgun/Lehi assault from multiple axes; fierce resistance; later Haganah/Palmach mortar support.,IPS/PalQuest,https://www.palquest.org/en/highlight/21194/deir-yasin-massacre-9-april-1948,,,
DET-033,hist001,Deir Yassin,timeline,3,Morning–Afternoon,Killings & looting,,House-to-house killings; reports of executions and desecrations; systematic looting.,IPS/PalQuest; ICRC,https://www.palquest.org/en/highlight/21194/deir-yasin-massacre-9-april-1948,,,
DET-034,hist001,Deir Yassin,timeline,4,Aftermath (Apr 9–11),Captives paraded,,"Survivors driven in trucks, paraded in Jerusalem, then released; international outcry.",IPS/PalQuest; de Reynier account,https://www.palquest.org/en/highlight/21194/deir-yasin-massacre-9-april-1948,,,
DET-035,hist001,Deir Yassin,war_crime,1,,Mass Killings of Civilians,,"Civilians killed in house-to-house operations; bodies found throughout village. Women, children, elderly among victims.",ICRC Documentation,https://www.icrc.org/,,,
DET-036,hist001,Deir Yassin,war_crime,2,,Summary Executions,,Multiple witnesses reported captives lined up and executed. Meir Pa'il (Palmach): 'It was direct murder.',IPS/PalQuest,https://www.palquest.org/en/highlight/21194/deir-yasin-massacre-9-april-1948,,,
DET-037,hist001,Deir Yassin,war_crime,3,,Sexual Violence & Desecration,,British Assistant Inspector Richard Catling (Report CO 537/3869): 'Many sexual atrocities were committed... Many young school girls were raped and later slaughtered.' Bodies mutilated.,UK National Archives,https://www.nationalarchives.gov.uk/,,,
DET-038,hist001,Deir Yassin,war_crime,4,,Looting & Destruction,,Systematic looting of homes; theft of valuables and livestock. Village later demolished; lands absorbed.,,,,,
DET-039,hist001,Deir Yassin,war_crime,5,,Forced Displacement & Humiliation,,Survivors paraded through Jewish neighborhoods before release. Public humiliation photographed and publicized.,Institute for Palestine Studies,https://www.palestine-studies.org/,,,
DET-040,hist002,Tantura ,casualty,1,,Deaths (mass executions),≈200-250,"Primarily men aged 15-60, executed after surrender; bodies buried in mass graves","Katz, Teddy. MA Thesis (1998) - Based on 140+ interviews",https://www.haaretz.com/israel-news/2022-01-20/ty-article-magazine/.premium/tantura-the-massacre-at-the-heart-of-the-nakba-that-israelis-refuse-to-recogn/0000017f-e2a5-d7b2-a77f-e2a7ccb30000,,,
DET-041,hist002,Tantura ,casualty,2,,Injured,Unknown,Most male captives were killed rather than detained,,,,,
DET-042,hist002,Tantura ,casualty,3,,Displaced,"≈1,500",Entire village population expelled; many sent to Furaydis,Zochrot - Tantura Village File,https://www.zochrot.org/,,,
DET-043,hist002,Tantura ,commander,1,,Dan Epstein,,Overall brigade command during coastal operations; responsible for Tantura assault planning and execution. Continued military career in IDF; honored as brigade founder. Never prosecuted; never publicly acknowledged massacre despite subordinate testimonies,"Katz, Teddy. MA Thesis (1998) - Based on IDF archives and veteran interviews",https://www.haaretz.com/israel-news/2022-01-20/ty-article-magazine/.premium/tantura-the-massacre-at-the-heart-of-the-nakba-that-israelis-refuse-to-recogn/0000017f-e2a5-d7b2-a77f-e2a7ccb30000,,,
DET-044,hist002,Tantura ,commander,2,,Binyamin Shechter,,Present during operations; witnessed executions and burials. Testified: 'I know of three locations where people were killed and buried... I estimate about 200-230 people were killed.'. Civilian life; broke silence in interviews with Katz (1998) and documentary (2022). Never prosecuted despite admitting direct knowledge; testimonies recorded but ignored by Israeli authorities,"Schwarz, Alon. 'Tantura' documentary (2022) - On-camera testimony",https://www.aljazeera.com/features/2022/1/27/tantura-a-film-about-a-massacre-israel-didnt-want-you-to-see,,,
DET-045,hist002,Tantura ,commander,3,,Haim Hermesh,,"Participated in operations; testified: 'They took them in groups, men aged 15 and up. They were shot... we were ordered to bury them.'. Civilian life; provided testimony to Katz confirming executions and burials. Never prosecuted despite confession of participation in killings and burials","Katz, Teddy. MA Thesis (1998) - Interview testimony",https://www.haaretz.com/israel-news/2022-01-20/ty-article-magazine/.premium/tantura-the-massacre-at-the-heart-of-the-nakba-that-israelis-refuse-to-recogn/0000017f-e2a5-d7b2-a77f-e2a7ccb30000,,,
DET-046,hist002,Tantura ,commander,4,,Anonymous Alexandroni Veterans (Multiple),,"Over 135 veterans interviewed by Katz; many confirmed executions, mass graves, and systematic killings. Several provided detailed locations and casualty estimates.. Various civilian careers; some became prominent in Israeli society. None prosecuted; many initially confirmed accounts then sued Katz for libel despite their own recorded testimonies","Katz, Teddy. Research archive - 140+ interviews (1998)",https://www.haaretz.com/israel-news/2022-01-20/ty-article-magazine/.premium/tantura-the-massacre-at-the-heart-of-the-nakba-that-israelis-refuse-to-recogn/0000017f-e2a5-d7b2-a77f-e2a7ccb30000,,,
DET-047,hist002,Tantura ,commander,5,,Teddy Katz (Researcher),,Not a perpetrator; included here for his role in uncovering suppressed history through 140+ interviews. Academic career destroyed after Alexandroni veterans' libel suit; forced under pressure to sign 'apology' (later withdrawn); suffered psychological breakdown. Victim of suppression campaign; his research validated by 2022 documentary but never officially acknowledged,Haaretz. 'The Tantura Massacre and the Man Who Revealed It' (2022),https://www.haaretz.com/israel-news/2022-01-20/ty-article-magazine/.premium/tantura-the-massacre-at-the-heart-of-the-nakba-that-israelis-refuse-to-recogn/0000017f-e2a5-d7b2-a77f-e2a7ccb30000,,,
DET-048,hist002,Tantura ,historical_impact,1,,Immediate Impact,,Contributed to fear and exodus of Palestinians from coastal villages during 1948 war,,,,,
DET-049,hist002,Tantura ,historical_impact,1,,The Katz Affair (1998-2000),,1998: MA student Teddy Katz documents massacre through 140+ interviews with veterans and survivors,,,,,
DET-050,hist002,Tantura ,historical_impact,1,,Long-term Significance,,Symbol of historical suppression and denial in Israel; epitome of Nakba erasure,,,,,
DET-051,hist002,Tantura ,historical_impact,1,,Accountability,,✘ No perpetrators ever prosecuted despite multiple soldier confessions on record,,,,,
DET-052,hist002,Tantura ,historical_impact,2,,Immediate Impact,,Secured Mediterranean coastline for Israeli state; strategic control of Haifa-Tel Aviv corridor,,,,,
DET-053,hist002,Tantura ,historical_impact,2,,The Katz Affair (1998-2000),,1999: Alexandroni Brigade veterans sue Katz for libel despite their own recorded testimonies,,,,,
DET-054,hist002,Tantura ,historical_impact,2,,Long-term Significance,,2022 Documentary 'Tantura' by Alon Schwarz brings renewed international attention with soldier testimonies,,,,,
DET-055,hist002,Tantura ,historical_impact,2,,Accountability,,✘ Israeli government refuses to officially acknowledge massacre occurred,,,,,
DET-056,hist002,Tantura ,historical_impact,3,,Immediate Impact,,Immediately classified and suppressed from official Israeli history,,,,,
DET-057,hist002,Tantura ,historical_impact,3,,The Katz Affair (1998-2000),,"2000: Under intense pressure, Katz forced to sign 'apology' and retract findings (later withdrew apology)",,,,,
DET-058,hist002,Tantura ,historical_impact,3,,Long-term Significance,,Ongoing Palestinian demands for excavation of mass graves and proper burial of victims,,,,,
DET-059,hist002,Tantura ,historical_impact,3,,Accountability,,✘ Refused all requests to excavate mass graves for proper identification and burial,,,,,
DET-060,hist002,Tantura ,historical_impact,4,,Immediate Impact,,Established pattern of mass execution and concealment used elsewhere during Nakba,,,,,
DET-061,hist002,Tantura ,historical_impact,4,,The Katz Affair (1998-2000),,University of Haifa downgraded his thesis; Katz suffered psychological breakdown from pressure campaign,,,,,
DET-062,hist002,Tantura ,historical_impact,4,,Long-term Significance,,Part of broader Nakba commemoration and right of return activism,,,,,
DET-063,hist002,Tantura ,historical_impact,4,,Accountability,,✘ Kibbutz Nahsholim built on village ruins - complete erasure of Palestinian presence,,,,,
DET-064,hist002,Tantura ,historical_impact,5,,The Katz Affair (1998-2000),,Chilling effect on Israeli historical research into 1948 atrocities for two decades,,,,,
DET-065,hist002,Tantura ,historical_impact,5,,Long-term Significance,,"Academic debate about Israeli historical narratives, collective memory, and accountability",,,,,
DET-066,hist002,Tantura ,historical_impact,5,,Accountability,,✘ Teddy Katz's academic career destroyed for documenting the massacre; became pariah in Israeli academia,,,,,
DET-067,hist002,Tantura ,historical_impact,6,,Long-term Significance,,Parking lot over mass grave remains as physical symbol of ongoing erasure and denial,,,,,
DET-068,hist002,Tantura ,historical_impact,6,,Accountability,,✘ Mass grave beneath Dor Beach parking lot remains undisturbed despite known location,,,,,
DET-069,hist002,Tantura ,historical_impact,7,,Accountability,,✘ Village lands never returned; survivors and descendants denied access to burial sites,,,,,
DET-070,hist002,Tantura ,legal,1,,Law Applicable in May 1948,,"Hague Convention IV (1907): Customary by 1948. Art. 23(c): killing enemies who laid down arms; Art. 23(d): 'no quarter' declarations; Art. 25: attack on undefended places; Art. 28: pillage; Art. 46: protection of family honor, lives, property.",,,,,
DET-071,hist002,Tantura ,legal,1,,Post-1949 Context (Descriptive Classification),,"Geneva Convention IV (1949): Adopted Aug 12, 1949 (3 months after Tantura). Israel ratified Jul 6, 1951. Art. 3: Prohibition of violence to life and person, including murder of persons taking no active part in hostilities. Not applicable retroactively to May 1948.",,,,,
DET-072,hist002,Tantura ,legal,1,,Treaty Opposability,,Vienna Convention principle: Treaties not retroactive (Art. 28). Geneva IV cannot be invoked for events predating its adoption.,,,,,
DET-073,hist002,Tantura ,legal,2,,Law Applicable in May 1948,,Martens Clause (1899/1907): Humanitarian principles binding even where not explicitly codified.,,,,,
DET-074,hist002,Tantura ,legal,2,,Post-1949 Context (Descriptive Classification),,"Rome Statute (1998): Modern framework characterizing acts as crimes against humanity (murder, persecution, deportation) and war crimes (willful killing of POWs, attacking civilians who surrendered). Used descriptively; not retroactive enforcement.",,,,,
DET-075,hist002,Tantura ,legal,2,,Treaty Opposability,,Customary IHL: Hague 1907 + Martens Clause bound all parties in 1948 regardless of ratification.,,,,,
DET-076,hist002,Tantura ,legal,3,,Law Applicable in May 1948,,Note: These instruments were opposable to all parties in 1948 as customary international humanitarian law.,,,,,
DET-077,hist002,Tantura ,legal,3,,Post-1949 Context (Descriptive Classification),,Note: Modern classifications aid understanding but do not create retroactive legal obligations.,,,,,
DET-078,hist002,Tantura ,quick_fact,1,,Event Type,Massacre,,,,,,
DET-079,hist002,Tantura ,quick_fact,2,,Perpetrators,Alexandroni Brigade (Haganah/IDF),,,,,,
DET-080,hist002,Tantura ,quick_fact,3,,Verification,Israeli soldier testimonies; survivor accounts; Teddy Katz research; 2022 documentary,,,,,,
DET-081,hist002,Tantura ,quick_fact,4,,Classification,War Crime (1907 Hague); Crimes Against Humanity (modern),,,,,,
DET-082,hist002,Tantura ,testimony,1,,Anonymous Alexandroni Brigade Soldier,,"There was no battle. They raised white flags... We gathered the men and took them. Some were taken to the cemetery, others to the beach. They lined them up and shot them. I participated in the whole thing.",Interview with Teddy Katz (1998),https://www.haaretz.com/israel-news/2022-01-20/ty-article-magazine/.premium/tantura-the-massacre-at-the-heart-of-the-nakba-that-israelis-refuse-to-recogn/0000017f-e2a5-d7b2-a77f-e2a7ccb30000,,,
DET-083,hist002,Tantura ,testimony,2,,Mariam Al-Yahya,,"They separated the men from us. We heard shooting all day and into the night. In the morning, we were told to leave. We never saw our men again. My father, my two brothers, my uncle - all gone.",Survivor testimony documented by Teddy Katz (1998),https://www.palestine-studies.org/,,,
DET-084,hist002,Tantura ,testimony,3,,Binyamin Shechter,,"I know of three locations where people were killed and buried: the cemetery, the beach south of the village, and near the village well. The numbers? I estimate about 200-230 people were killed.",Interview in 'Tantura' documentary (2022),https://www.aljazeera.com/features/2022/1/27/tantura-a-film-about-a-massacre-israel-didnt-want-you-to-see,,,
DET-085,hist002,Tantura ,testimony,4,,Haim Hermesh,,"They took them in groups, men aged 15 and up. They were shot. I saw the bodies. After some time, we were ordered to bury them. Some of the Arab women were forced to help dig.","Testimony recorded by Teddy Katz, later confirmed in court documents",https://www.haaretz.com/israel-news/2022-01-20/ty-article-magazine/.premium/tantura-the-massacre-at-the-heart-of-the-nakba-that-israelis-refuse-to-recogn/0000017f-e2a5-d7b2-a77f-e2a7ccb30000,,,
DET-086,hist002,Tantura ,testimony,5,,Fawziyya Saleh,,"They made us carry bodies. I saw my teacher, dead. I saw men I knew since childhood, all dead on the beach. The soldiers were laughing and smoking cigarettes.","Oral history interview, Institute for Palestine Studies",https://www.palestine-studies.org/,,,
DET-087,hist002,Tantura ,timeline,1,"May 22, Early Morning",Attack begins,,Alexandroni Brigade attacks Tantura from land and sea. Village largely defenseless with minimal weapons.,Katz research; Israeli soldier testimonies,https://www.haaretz.com/israel-news/2022-01-20/ty-article-magazine/.premium/tantura-the-massacre-at-the-heart-of-the-nakba-that-israelis-refuse-to-recogn/0000017f-e2a5-d7b2-a77f-e2a7ccb30000,,,
DET-088,hist002,Tantura ,timeline,2,"May 22, Morning",Village surrenders,,Village elders raise white flags and negotiate surrender. Villagers told they will be safe if they comply. Israeli soldier: 'There was no battle. They raised white flags.',Israeli soldier testimony (Katz interviews),https://www.haaretz.com/israel-news/2022-01-20/ty-article-magazine/.premium/tantura-the-massacre-at-the-heart-of-the-nakba-that-israelis-refuse-to-recogn/0000017f-e2a5-d7b2-a77f-e2a7ccb30000,,,
DET-089,hist002,Tantura ,timeline,3,"May 22, Late Morning",Separation of men from families,,Men separated from women and children. Males aged 15-60 gathered in village square and on the beach.,Survivor testimonies; soldier accounts,https://www.palestine-studies.org/,,,
DET-090,hist002,Tantura ,timeline,4,"May 22-23, Day and Night",Mass executions,,"Systematic execution of male prisoners throughout day and night. Groups taken to execution sites (cemetery, beach, village well) and shot. Soldier: 'They lined them up and shot them... I participated in the whole thing.'",Israeli soldier testimonies (Katz research; 2022 documentary),https://www.aljazeera.com/features/2022/1/27/tantura-a-film-about-a-massacre-israel-didnt-want-you-to-see,,,
DET-091,hist002,Tantura ,timeline,5,"May 23, Morning",Mass burial,,Bodies buried in mass graves at various locations including beach and cemetery. Some survivors forced to dig graves. Soldier: 'We were ordered to bury them. Some Arab women were forced to help dig.',Soldier testimonies; survivor accounts,https://www.haaretz.com/israel-news/2022-01-20/ty-article-magazine/.premium/tantura-the-massacre-at-the-heart-of-the-nakba-that-israelis-refuse-to-recogn/0000017f-e2a5-d7b2-a77f-e2a7ccb30000,,,
DET-092,hist002,Tantura ,timeline,6,May 23-24,Expulsion of survivors,,"Surviving women, children, elderly expelled from village. Many sent to Furaydis. Village looted; property confiscated.",Survivor testimonies; Zochrot documentation,https://www.zochrot.org/,,,
DET-093,hist002,Tantura ,timeline,7,1948-1950,Village demolished; cover-up begins,,Tantura demolished. Kibbutz Nahsholim established on village ruins (1948-1950). Mass graves concealed; massacre suppressed from Israeli history.,Zochrot; historical records,https://www.zochrot.org/,,,
DET-094,hist002,Tantura ,timeline,8,1998-2000,The Katz Affair,,Teddy Katz documents massacre through 140+ interviews with veterans and survivors. Alexandroni veterans sue for libel despite their own testimonies. Katz forced to sign 'apology' under pressure (later withdrawn); thesis downgraded.,Court documents; Haaretz reporting,https://www.haaretz.com/,,,
DET-095,hist002,Tantura ,timeline,9,2022,Documentary renews attention,,'Tantura' film by Alon Schwarz features recorded soldier testimonies confirming massacre. Released at Sundance; Israeli authorities continue to refuse excavation of mass graves.,Al Jazeera; documentary coverage,https://www.aljazeera.com/features/2022/1/27/tantura-a-film-about-a-massacre-israel-didnt-want-you-to-see,,,
DET-096,hist002,Tantura ,war_crime,1,,Mass Execution of Prisoners of War,,"After village surrendered, male prisoners systematically executed. Israeli soldier: 'They lined them up and shot them... I participated in the whole thing.' Violations of laws of war regarding treatment of POWs.",📄 Haaretz Investigation 2022 ↗,https://www.haaretz.com/israel-news/2022-01-20/ty-article-magazine/.premium/tantura-the-massacre-at-the-heart-of-the-nakba-that-israelis-refuse-to-recogn/0000017f-e2a5-d7b2-a77f-e2a7ccb30000,,,
DET-097,hist002,Tantura ,war_crime,2,,Execution After Surrender,,Village raised white flags and negotiated surrender. Promises of safety violated. Soldier: 'There was no battle. They raised white flags... We gathered the men and took them.',📄 Soldier Testimonies ↗,https://www.haaretz.com/israel-news/2022-01-20/ty-article-magazine/.premium/tantura-the-massacre-at-the-heart-of-the-nakba-that-israelis-refuse-to-recogn/0000017f-e2a5-d7b2-a77f-e2a7ccb30000,,,
DET-098,hist002,Tantura ,war_crime,3,,Executions on the Beach,,Multiple testimonies describe executions on Tantura beach. Survivor: 'They took the men in groups... we heard shooting. They didn't come back.' Bodies left on beach before burial.,📄 IPS Oral History ↗,https://www.palestine-studies.org/,,,
DET-099,hist002,Tantura ,war_crime,4,,Mass Graves and Concealment of Evidence,,"Bodies buried in multiple mass graves at cemetery, beach, and village well. One grave beneath current Dor Beach parking lot. Intelligence officer: 'I know of three locations... I estimate about 200-230 people were killed.' Israeli authorities refuse excavation.",📄 Documentary Evidence ↗,https://www.aljazeera.com/features/2022/1/27/tantura-a-film-about-a-massacre-israel-didnt-want-you-to-see,,,
DET-100,hist002,Tantura ,war_crime,5,,Separation of Families,,Deliberate separation of men from women and children before executions. Women and children forced to witness aftermath; some forced to bury bodies.,,,,,
DET-101,hist002,Tantura ,war_crime,6,,Looting and Complete Destruction,,"Systematic looting of homes, theft of valuables, fishing boats, property. Village completely demolished. Kibbutz Nahsholim established on village lands; mass grave covered by parking lot.",📄 Zochrot Documentation ↗,https://www.zochrot.org/,,,
DET-102,hist002,Tantura ,war_crime,7,,Forced Expulsion,,Surviving population forcibly expelled to nearby villages. Prevented from returning or burying their dead. Property confiscated under Israeli Absentee Property Law.,,,,,
DET-103,hist003,Lydda and Ramle,casualty,1,,In-City Killings (Lydda),≈400–450,City-wide shootings; Dahmash Mosque massacre (70–250+); homes and streets,"Morris, Benny. 'Operation Dani and the Palestinian Exodus from Lydda and Ramle in 1948'",https://www.jstor.org/stable/4327250,,,
DET-104,hist003,Lydda and Ramle,casualty,2,,Death March Fatalities,≈100–550,"Heat, thirst, exhaustion; infants, elderly particularly affected",Survivor testimonies - IPS/PalQuest,https://www.palquest.org/en/highlight/24073/lydda-9-13-july-1948,,,
DET-105,hist003,Lydda and Ramle,casualty,3,,Displaced,"≈50,000–70,000",Entire populations of Lydda (~20K) & Ramle (~17K) + ~30K refugees; forced to Ramallah,"Morris, Benny. 'The Birth of the Palestinian Refugee Problem Revisited' (2004)",https://www.cambridge.org/core/books/birth-of-the-palestinian-refugee-problem-revisited/4A0958EED322D2FAC1D245128A1D44CB,,,
DET-106,hist003,Lydda and Ramle,commander,1,,Yigal Allon,,Operation Dani Commander (Palmach) — Overall operational command; authorized assault on Lydda-Ramle; issued or approved expulsion orders for both cities,,,,,
DET-107,hist003,Lydda and Ramle,commander,2,,Yitzhak Rabin,,"Deputy Commander, Operation Dani (Palmach) — Second-in-command; by his own account asked Ben-Gurion 'What shall we do with the Arabs?' and received hand gesture to expel. Directly involved in execution of expulsion orders.",,,,,
DET-108,hist003,Lydda and Ramle,commander,3,,Moshe Dayan,,"Battalion Commander, 89th Commando Battalion (Palmach) — Led ground assault on Lydda; commanded forces during city-wide operations and killings",,,,,
DET-109,hist003,Lydda and Ramle,commander,4,,Shmuel Lahis (Lahav),,"Company Commander, 3rd Battalion, Yiftach Brigade — Directly implicated in Dahmash Mosque killings; led forces during house-to-house operations in Lydda",,,,,
DET-110,hist003,Lydda and Ramle,commander,5,,David Ben-Gurion,,"Prime Minister and Defense Minister — Ultimate political authority; according to Rabin's censored memoir, gave hand gesture to expel when asked about Arab population",,,,,
DET-111,hist003,Lydda and Ramle,historical_impact,1,,Immediate Impact,,"Single largest expulsion event of 1948: ≈50,000–70,000 displaced from two cities in one operation",,,,,
DET-112,hist003,Lydda and Ramle,historical_impact,1,,Long-term Significance,,Central episode in Palestinian collective memory; 'Lydda death march' referenced alongside Deir Yassin,,,,,
DET-113,hist003,Lydda and Ramle,historical_impact,1,,Accountability,,✘ No perpetrators prosecuted for Lydda-Ramle killings or expulsions,,,,,
DET-114,hist003,Lydda and Ramle,historical_impact,2,,Immediate Impact,,Strategic gain for Israel: secured corridor to Jerusalem; captured what would become Ben Gurion Airport area,,,,,
DET-115,hist003,Lydda and Ramle,historical_impact,2,,Long-term Significance,,"Historiographical controversy: Israeli 'New Historians' (Morris, Pappé) challenged official narratives in 1980s-2000s",,,,,
DET-116,hist003,Lydda and Ramle,historical_impact,2,,Accountability,,✘ Yigal Allon (commander) became Deputy PM & Foreign Minister; honored as Israeli hero,,,,,
DET-117,hist003,Lydda and Ramle,historical_impact,3,,Immediate Impact,,Humanitarian catastrophe: 'death march' became defining symbol of Nakba brutality,,,,,
DET-118,hist003,Lydda and Ramle,historical_impact,3,,Long-term Significance,,Rabin memoir censorship (1979) revealed in 1990s; became symbol of suppressed history,,,,,
DET-119,hist003,Lydda and Ramle,historical_impact,3,,Accountability,,✘ Yitzhak Rabin (deputy commander) became PM & Nobel Peace Prize laureate (1994),,,,,
DET-120,hist003,Lydda and Ramle,historical_impact,4,,Immediate Impact,,Refugee crisis: expelled population strained resources in Ramallah/West Bank; many later fled to Jordan,,,,,
DET-121,hist003,Lydda and Ramle,historical_impact,4,,Long-term Significance,,Ongoing legal/political relevance: descendants of expelled cite Lydda-Ramle in right-of-return claims,,,,,
DET-122,hist003,Lydda and Ramle,historical_impact,4,,Accountability,,✘ Moshe Dayan (battalion commander) became Defense Minister & Foreign Minister; iconic military figure,,,,,
DET-123,hist003,Lydda and Ramle,historical_impact,5,,Long-term Significance,,Dahmash Mosque still stands in Lod; occasional site of commemorations despite restrictions,,,,,
DET-124,hist003,Lydda and Ramle,historical_impact,5,,Accountability,,✘ Shmuel Lahis (Dahmash Mosque) convicted 1950s for different incident; conviction overturned 2020; mosque killings never charged,,,,,
DET-125,hist003,Lydda and Ramle,historical_impact,6,,Accountability,,✘ Property never returned; Lydda/Ramle renamed Lod/Ramla; repopulated with Jewish immigrants,,,,,
DET-126,hist003,Lydda and Ramle,historical_impact,7,,Accountability,,✘ UN mediator Count Bernadotte (who documented expulsions) assassinated by Lehi September 1948,,,,,
DET-127,hist003,Lydda and Ramle,legal,1,,Law Applicable in July 1948,,"Hague Convention IV (1907): Customary by 1948. Art. 23(c): killing enemies who laid down arms; Art. 25: attack on undefended places; Art. 28: pillage; Art. 46: protection of family honor, lives, property; Art. 52: prohibition of collective punishments.",,,,,
