detail_id,_anchor,event_id,heading_label_ar,content_ar
DET-021,DET-021,hist001,القانون الساري في أبريل 1948,ملاحظة: كانت هذه الصكوك قابلة للاعتراض من قبل جميع الأطراف في عام 1948 باعتبارها قانونًا إنسانيًا دوليًا عرفيًا.
DET-022,DET-022,hist001,#ERROR!,ملاحظة: تساعد التصنيفات الحديثة على الفهم ولكنها لا تُنشئ التزامات قانونية بأثر رجعي.
DET-023,DET-023,hist001,نوع الحدث,
DET-024,DET-024,hist001,الجناة,
DET-025,DET-025,hist001,تَحَقّق,
DET-026,DET-026,hist001,#ERROR!,
DET-027,DET-027,hist001,جاك دي رينييه,وصف التقرير وجود ميليشيات شابة مدججة بالسلاح؛ وأكوام من الجثث؛ وإنقاذ عدد قليل من الناجين؛ ولاحظ موكب نصر للأسرى.
DET-028,DET-028,hist001,#ERROR!,"وردت أنباء عن عمليات قتل عشوائية وعرض للأسرى في القدس؛ ولوحظت عمليات إعدام لاحقة. ""لقد كانت جريمة قتل مباشرة. حاولت قيادة الهاجاناه التستر على القضية."""
DET-029,DET-029,hist001,فهيمي زيدان,#ERROR!
DET-030,DET-030,hist001,#ERROR!,لا شك أن اليهود المهاجمين ارتكبوا العديد من الفظائع الجنسية. فقد تعرضت العديد من الفتيات الصغيرات في المدارس للاغتصاب ثم القتل. كما تعرضت النساء المسنات للاعتداء الجنسي.
DET-031,DET-031,hist001,#ERROR!,اتفق شيوخ القرية والمجتمعات اليهودية المجاورة على تجنب الأعمال العدائية.
DET-032,DET-032,hist001,يبدأ الهجوم,#ERROR!
DET-033,DET-033,hist001,عمليات قتل ونهب,عمليات قتل من منزل إلى منزل؛ تقارير عن عمليات إعدام وتدنيس؛ نهب ممنهج.
DET-034,DET-034,hist001,#ERROR!,#ERROR!
DET-035,DET-035,hist001,عمليات قتل جماعي للمدنيين,قُتل مدنيون في عمليات تفتيش من منزل إلى منزل؛ وعُثر على جثث في أنحاء القرية. ومن بين الضحايا نساء وأطفال وكبار سن.
DET-036,DET-036,hist001,ملخص عمليات الإعدام,#ERROR!
DET-037,DET-037,hist001,#ERROR!,"المفتش المساعد البريطاني ريتشارد كاتلينج (التقرير CO 537/3869): ""ارتُكبت العديد من الفظائع الجنسية... اغتُصبت العديد من فتيات المدارس الصغيرات ثم ذُبحن."" جثث مشوهة."
DET-038,DET-038,hist001,النهب والتدمير,#ERROR!
DET-039,DET-039,hist001,التهجير القسري والإذلال,#ERROR!
DET-040,DET-040,hist002,الوفيات (الإعدامات الجماعية),أُعدم معظمهم من الرجال الذين تتراوح أعمارهم بين 15 و60 عامًا بعد استسلامهم؛ ودُفنت جثثهم في مقابر جماعية.
DET-041,DET-041,hist002,مصاب,قُتل معظم الأسرى الذكور بدلاً من احتجازهم.
DET-042,DET-042,hist002,#ERROR!,طُرد جميع سكان القرية؛ وأُرسل الكثيرون إلى قرية فورايديس
DET-043,DET-043,hist002,#ERROR!,قيادة اللواء العامة خلال العمليات الساحلية؛ مسؤول عن تخطيط وتنفيذ هجوم طنطورة. واصل مسيرته العسكرية في جيش الدفاع الإسرائيلي؛ وكُرِّم كمؤسس للواء. لم يُحاكم قط؛ ولم يعترف علنًا بالمجزرة رغم شهادات مرؤوسيه.
DET-044,DET-044,hist002,بنيامين شيختر,"كان حاضرًا أثناء العمليات؛ وشهد عمليات إعدام ودفن. أدلى بشهادته قائلًا: ""أعرف ثلاثة مواقع قُتل فيها أناس ودُفنوا... أُقدّر أن ما بين 200 و230 شخصًا قُتلوا"". كان من المدنيين؛ وكسر صمته في مقابلات مع كاتز (1998) وفي فيلم وثائقي (2022). لم يُحاكم قط رغم اعترافه بمعرفته المباشرة؛ سُجّلت شهاداته لكن السلطات الإسرائيلية تجاهلتها."
DET-045,DET-045,hist002,حاييم هيرميش,#ERROR!
DET-046,DET-046,hist002,قدامى محاربي ألكساندروني المجهولين (عدة),#ERROR!
DET-047,DET-047,hist002,تيدي كاتز (باحث),#ERROR!
DET-048,DET-048,hist002,#ERROR!,#ERROR!
DET-049,DET-049,hist002,قضية كاتز (1998-2000),1998: قام طالب الماجستير تيدي كاتز بتوثيق المذبحة من خلال أكثر من 140 مقابلة مع المحاربين القدامى والناجين.
DET-050,DET-050,hist002,الأهمية على المدى الطويل,رمز للقمع والإنكار التاريخي في إسرائيل؛ تجسيد لمحو النكبة
DET-051,DET-051,hist002,#ERROR!,لم تتم محاكمة أي من الجناة على الرغم من اعترافات العديد من الجنود المسجلة.
DET-052,DET-052,hist002,#ERROR!,#ERROR!
DET-053,DET-053,hist002,قضية كاتز (1998-2000),#ERROR!
DET-054,DET-054,hist002,الأهمية على المدى الطويل,#ERROR!
DET-055,DET-055,hist002,#ERROR!,✘ الحكومة الإسرائيلية ترفض الاعتراف رسمياً بوقوع المجزرة
DET-056,DET-056,hist002,#ERROR!,تم تصنيفها على الفور وإخفاؤها من التاريخ الإسرائيلي الرسمي
DET-057,DET-057,hist002,قضية كاتز (1998-2000),#ERROR!
DET-058,DET-058,hist002,الأهمية على المدى الطويل,مطالب فلسطينية مستمرة بالتنقيب عن المقابر الجماعية ودفن الضحايا بشكل لائق
DET-059,DET-059,hist002,#ERROR!,#ERROR!
DET-060,DET-060,hist002,#ERROR!,نمط راسخ للإعدام الجماعي والإخفاء تم استخدامه في أماكن أخرى خلال النكبة
DET-061,DET-061,hist002,قضية كاتز (1998-2000),#ERROR!
DET-062,DET-062,hist002,الأهمية على المدى الطويل,جزء من فعاليات إحياء ذكرى النكبة الأوسع نطاقاً ونشاط حق العودة
DET-063,DET-063,hist002,#ERROR!,#ERROR!
DET-064,DET-064,hist002,قضية كاتز (1998-2000),أثر مرعب على البحث التاريخي الإسرائيلي في فظائع عام 1948 لمدة عقدين
DET-065,DET-065,hist002,الأهمية على المدى الطويل,النقاش الأكاديمي حول الروايات التاريخية الإسرائيلية والذاكرة الجماعية والمساءلة
DET-066,DET-066,hist002,#ERROR!,✘ دُمّرت المسيرة الأكاديمية لتيدي كاتز بسبب توثيقه للمجزرة؛ وأصبح منبوذًا في الأوساط الأكاديمية الإسرائيلية
DET-067,DET-067,hist002,الأهمية على المدى الطويل,#ERROR!
DET-068,DET-068,hist002,#ERROR!,#ERROR!
DET-069,DET-069,hist002,#ERROR!,لم تُسترد أراضي القرية قط؛ وحُرم الناجون وذريتهم من الوصول إلى مواقع الدفن.
DET-070,DET-070,hist002,القانون الساري في مايو 1948,#ERROR!
DET-071,DET-071,hist002,سياق ما بعد عام 1949 (التصنيف الوصفي),اتفاقية جنيف الرابعة (1949): اعتُمدت في 12 أغسطس/آب 1949 (بعد ثلاثة أشهر من معاهدة طنطورة). صادقت عليها إسرائيل في 6 يوليو/تموز 1951. المادة 3: حظر العنف ضد النفس والشخص، بما في ذلك قتل الأشخاص الذين لا يشاركون فعلياً في الأعمال العدائية. لا تسري بأثر رجعي اعتباراً من مايو/أيار 1948.
DET-072,DET-072,hist002,إمكانية معارضة المعاهدة,#ERROR!
DET-073,DET-073,hist002,القانون الساري في مايو 1948,#ERROR!
DET-074,DET-074,hist002,سياق ما بعد عام 1949 (التصنيف الوصفي),#ERROR!
DET-075,DET-075,hist002,إمكانية معارضة المعاهدة,القانون الدولي الإنساني العرفي: اتفاقية لاهاي لعام 1907 + بند مارتنز يلزم جميع الأطراف في عام 1948 بغض النظر عن التصديق.
DET-076,DET-076,hist002,القانون الساري في مايو 1948,ملاحظة: كانت هذه الصكوك قابلة للاعتراض من قبل جميع الأطراف في عام 1948 باعتبارها قانونًا إنسانيًا دوليًا عرفيًا.
DET-077,DET-077,hist002,سياق ما بعد عام 1949 (التصنيف الوصفي),ملاحظة: تساعد التصنيفات الحديثة على الفهم ولكنها لا تُنشئ التزامات قانونية بأثر رجعي.
DET-078,DET-078,hist002,نوع الحدث,
DET-079,DET-079,hist002,الجناة,
DET-080,DET-080,hist002,تَحَقّق,
DET-081,DET-081,hist002,#ERROR!,
DET-082,DET-082,hist002,جندي مجهول من لواء ألكساندروني,#ERROR!
DET-083,DET-083,hist002,مريم اليحيى,فصلوا الرجال عنا. سمعنا إطلاق النار طوال اليوم وحتى الليل. في الصباح، طُلب منا المغادرة. لم نرَ رجالنا مرة أخرى. أبي، وشقيقاي، وعمي - جميعهم رحلوا.
DET-084,DET-084,hist002,بنيامين شيختر,أعرف ثلاثة مواقع قُتل فيها الناس ودُفنوا: المقبرة، والشاطئ جنوب القرية، وبالقرب من بئر القرية. أما عن العدد، فأُقدّر أن ما بين 200 و230 شخصًا قُتلوا.
DET-085,DET-085,hist002,حاييم هيرميش,أخذوهم في مجموعات، رجالاً أعمارهم 15 عاماً فما فوق. أُطلق عليهم النار. رأيت الجثث. بعد فترة، أُمرنا بدفنهم. أُجبرت بعض النساء العربيات على المساعدة في الحفر.
DET-086,DET-086,hist002,#ERROR!,#ERROR!
DET-087,DET-087,hist002,يبدأ الهجوم,تهاجم كتيبة ألكساندروني قرية طنطورة براً وبحراً. القرية عاجزة إلى حد كبير عن الدفاع عن نفسها، ولا تملك سوى أسلحة قليلة.
DET-088,DET-088,hist002,القرية تستسلم,"رفع شيوخ القرية الرايات البيضاء وتفاوضوا على الاستسلام. وأُبلغ القرويون بأنهم سيكونون بأمان إذا امتثلوا. قال جندي إسرائيلي: ""لم تكن هناك معركة. لقد رفعوا الرايات البيضاء""."
DET-089,DET-089,hist002,فصل الرجال عن عائلاتهم,#ERROR!
DET-090,DET-090,hist002,عمليات إعدام جماعية,#ERROR!
DET-091,DET-091,hist002,#ERROR!,#ERROR!
DET-092,DET-092,hist002,طرد الناجين,#ERROR!
DET-093,DET-093,hist002,#ERROR!,هُدمت طنطورة. أُقيمت كيبوتس نحشوليم على أنقاض القرية (1948-1950). تم إخفاء المقابر الجماعية؛ وطُمست المجزرة من التاريخ الإسرائيلي.
DET-094,DET-094,hist002,قضية كاتز,"يوثق تيدي كاتز المجزرة من خلال أكثر من 140 مقابلة مع قدامى المحاربين والناجين. رفع قدامى محاربي ألكساندروني دعوى تشهير ضده رغم شهاداتهم. أُجبر كاتز على توقيع ""اعتذار"" تحت ضغط (ثم سحبه لاحقًا)؛ وتم تخفيض درجة أطروحته."
DET-095,DET-095,hist002,الفيلم الوثائقي يجدد الاهتمام,"فيلم ""طنطورة"" للمخرج ألون شوارتز يتضمن شهادات مسجلة لجنود تؤكد وقوع المجزرة. عُرض الفيلم في مهرجان ساندانس السينمائي، بينما تواصل السلطات الإسرائيلية رفضها التنقيب عن المقابر الجماعية."
DET-096,DET-096,hist002,#ERROR!,#ERROR!
DET-097,DET-097,hist002,الإعدام بعد الاستسلام,"رفعت القرية الرايات البيضاء وتفاوضت على الاستسلام. تم انتهاك وعود الأمان. قال الجندي: ""لم تكن هناك معركة. لقد رفعوا الرايات البيضاء... جمعنا الرجال وأخذناهم."""
DET-098,DET-098,hist002,#ERROR!,"تصف شهادات عديدة عمليات إعدام وقعت على شاطئ طنطورة. يقول أحد الناجين: ""أخذوا الرجال في مجموعات... سمعنا إطلاق نار. لم يعودوا"". تُركت الجثث على الشاطئ قبل دفنها."
DET-099,DET-099,hist002,المقابر الجماعية وإخفاء الأدلة,#ERROR!
DET-100,DET-100,hist002,فصل العائلات,#ERROR!
DET-101,DET-101,hist002,النهب والتدمير الكامل,نهب ممنهج للمنازل، وسرقة للمقتنيات الثمينة، وقوارب الصيد، والعقارات. تم تدمير القرية بالكامل. أُقيمت كيبوتس ناحشوليم على أراضي القرية؛ وتم تغطية المقبرة الجماعية بموقف سيارات.
DET-102,DET-102,hist002,الطرد القسري,أُجبر السكان الناجون على النزوح إلى القرى المجاورة، ومُنعوا من العودة أو دفن موتاهم، وصودرت ممتلكاتهم بموجب قانون أملاك الغائبين الإسرائيلي.
DET-103,DET-103,hist003,#ERROR!,#ERROR!
DET-104,DET-104,hist003,#ERROR!,الحرارة، والعطش، والإرهاق؛ ويتأثر الرضع وكبار السن بشكل خاص
DET-105,DET-105,hist003,#ERROR!,#ERROR!
DET-106,DET-106,hist003,يغال ألون,قائد عملية داني (بالماش) - القيادة العملياتية العامة؛ أذن بالهجوم على ليدا-راملي؛ أصدر أو وافق على أوامر طرد للمدينتين
DET-107,DET-107,hist003,#ERROR!,"نائب قائد عملية داني (بالماخ) - الرجل الثاني في القيادة؛ وبحسب روايته، سأل بن غوريون: ""ماذا نفعل بالعرب؟""، فتلقى إشارة باليد بالطرد. شارك بشكل مباشر في تنفيذ أوامر الطرد."
DET-108,DET-108,hist003,#ERROR!,قائد كتيبة الكوماندوز 89 (بالماش) - قاد الهجوم البري على اللد؛ وقاد القوات خلال العمليات وعمليات القتل التي عمت المدينة بأكملها
DET-109,DET-109,hist003,شموئيل لاهيس (لاهاف),قائد سرية، الكتيبة الثالثة، لواء يفتاح - متورط بشكل مباشر في مجزرة مسجد دهماش؛ قاد القوات خلال عمليات تفتيش المنازل في اللد
DET-110,DET-110,hist003,#ERROR!,#ERROR!
DET-111,DET-111,hist003,#ERROR!,#ERROR!
DET-112,DET-112,hist003,الأهمية على المدى الطويل,"حدث محوري في الذاكرة الجماعية الفلسطينية؛ ""مسيرة الموت في اللد"" تُذكر إلى جانب دير ياسين"
DET-113,DET-113,hist003,#ERROR!,#ERROR!
DET-114,DET-114,hist003,#ERROR!,مكسب استراتيجي لإسرائيل: تأمين ممر إلى القدس؛ والسيطرة على ما سيصبح منطقة مطار بن غوريون
DET-115,DET-115,hist003,الأهمية على المدى الطويل,"جدل تاريخي: تحدى ""المؤرخون الجدد"" الإسرائيليون (موريس، بابيه) الروايات الرسمية في الفترة من الثمانينيات إلى الألفية الثانية."
DET-116,DET-116,hist003,#ERROR!,#ERROR!
DET-117,DET-117,hist003,#ERROR!,"كارثة إنسانية: ""مسيرة الموت"" أصبحت رمزاً بارزاً لوحشية النكبة"
DET-118,DET-118,hist003,الأهمية على المدى الطويل,#ERROR!
DET-119,DET-119,hist003,#ERROR!,✘ أصبح إسحاق رابين (نائب القائد) رئيسًا للوزراء وحائزًا على جائزة نوبل للسلام (1994).
DET-120,DET-120,hist003,#ERROR!,#ERROR!
DET-121,DET-121,hist003,الأهمية على المدى الطويل,#ERROR!
DET-122,DET-122,hist003,#ERROR!,✘ أصبح موشيه دايان (قائد الكتيبة) وزيرًا للدفاع ووزيرًا للخارجية؛ شخصية عسكرية بارزة
DET-123,DET-123,hist003,الأهمية على المدى الطويل,لا يزال مسجد دهماش قائماً في اللد؛ وهو موقع لإحياء الذكرى بين الحين والآخر على الرغم من القيود.
DET-124,DET-124,hist003,#ERROR!,✘ أُدين شموئيل لاهيس (مسجد دهماش) في خمسينيات القرن الماضي في حادثة مختلفة؛ أُلغي الحكم في عام 2020؛ ولم تُوجه أي تهمة بشأن مجزرة المسجد.
DET-125,DET-125,hist003,#ERROR!,#ERROR!
DET-126,DET-126,hist003,#ERROR!,#ERROR!
DET-127,DET-127,hist003,#ERROR!,اتفاقية لاهاي الرابعة (1907): أصبحت عرفية بحلول عام 1948. المادة 23 (ج): قتل الأعداء الذين ألقوا السلاح؛ المادة 25: الهجوم على الأماكن غير المحصنة؛ المادة 28: النهب؛ المادة 46: حماية شرف العائلة والأرواح والممتلكات؛ المادة 52: حظر العقوبات الجماعية.
DET-128,DET-128,hist003,سياق ما بعد عام 1949 (التصنيف الوصفي),اتفاقية جنيف الرابعة (1949): اعتُمدت في 12 أغسطس 1949 (بعد شهر من اتفاقية اللد). صادقت عليها إسرائيل في 6 يوليو 1951، والأردن في 29 مايو 1951. المادة 49: «يُحظر النقل القسري الفردي أو الجماعي... بغض النظر عن الدافع». لا يسري مفعولها بأثر رجعي اعتبارًا من يوليو 1948.
DET-129,DET-129,hist003,مسؤولية القيادة,مبادئ نورمبرغ (1946): نصت على أن القادة يتحملون المسؤولية عن الجرائم التي يرتكبها مرؤوسوهم إذا كانوا يعلمون أو كان ينبغي عليهم أن يعلموا وفشلوا في منعها أو معاقبتها.
DET-130,DET-130,hist003,إمكانية معارضة المعاهدة,#ERROR!
DET-131,DET-131,hist003,#ERROR!,#ERROR!
DET-132,DET-132,hist003,سياق ما بعد عام 1949 (التصنيف الوصفي),نظام روما الأساسي (1998): المادة 7(1)(د): الترحيل أو النقل القسري (جرائم ضد الإنسانية)؛ المادة 7(1)(أ): القتل (جرائم ضد الإنسانية)؛ المادة 8(2)(أ)(1): القتل العمد (جرائم حرب)؛ المادة 8(2)(ب)(25): تجويع المدنيين عمداً (جريمة حرب). يُستخدم هذا النص لأغراض وصفية فقط، ولا يُطبق بأثر رجعي.
DET-133,DET-133,hist003,مسؤولية القيادة,تطبيقًا على عملية داني: شغل كل من ألون (القائد العملياتي)، ورابين (نائبه)، وديان (قائد الكتيبة)، ولاهيس (ضابط الوحدة) مناصب قيادية خلال الفظائع الموثقة. وتؤكد مذكرات رابين نفسه وجود معلومات على أعلى المستويات. ولم تُجرَ أي تحقيقات أو ملاحقات قضائية.
DET-134,DET-134,hist003,إمكانية معارضة المعاهدة,القانون الدولي الإنساني العرفي: اتفاقية لاهاي لعام 1907 + بند مارتنز يلزم جميع الأطراف في عام 1948 بغض النظر عن التصديق.
DET-135,DET-135,hist003,#ERROR!,#ERROR!
DET-136,DET-136,hist003,سياق ما بعد عام 1949 (التصنيف الوصفي),ملاحظة: تساعد التصنيفات الحديثة على الفهم ولكنها لا تُنشئ التزامات قانونية بأثر رجعي.
DET-137,DET-137,hist003,#ERROR!,ملاحظة: كانت هذه الصكوك قابلة للاعتراض من قبل جميع الأطراف في عام 1948 باعتبارها قانونًا إنسانيًا دوليًا عرفيًا.
DET-138,DET-138,hist003,نوع الحدث,
DET-139,DET-139,hist003,الجناة,
DET-140,DET-140,hist003,تَحَقّق,
DET-141,DET-141,hist003,#ERROR!,
DET-142,DET-142,hist003,سليمان (سامي) منير,#ERROR!
DET-143,DET-143,hist003,#ERROR!,#ERROR!
DET-144,DET-144,hist003,#ERROR!,كان الناس يمضغون العشب بحثًا عن الرطوبة. مات أطفال رضع أثناء المسيرة. قوبلت محاولات الحصول على الماء بالتهديد. رأيت كبار السن ينهارون ويموتون. كان الحر لا يُطاق.
DET-145,DET-145,hist003,#ERROR!,سألتُ [بن غوريون]: «ماذا نفعل بالعرب؟» فأشار بيده في إشارة تعني: اطردوهم. [حُذفت هذه الفقرة من الطبعة العبرية للمذكرات عام ١٩٧٩؛ وأُعيدت في الطبعات اللاحقة.]
DET-146,DET-146,hist003,#ERROR!,#ERROR!
DET-147,DET-147,hist003,الاعتداء على ليدا,#ERROR!
DET-148,DET-148,hist003,مجزرة مسجد دهماش,#ERROR!
DET-149,DET-149,hist003,#ERROR!,"أصدر قائد ألون/رابين أمراً بالطرد. وكتب رابين لاحقاً أنه سأل بن غوريون: ""ماذا نفعل بالعرب؟"" وتلقى إشارة باليد بالطرد (حُذفت هذه الفقرة من مذكراته عام 1979)."
DET-150,DET-150,hist003,مسيرة الموت تبدأ,"أُجبر ما بين 50,000 و70,000 فلسطيني على السير باتجاه رام الله. حرارة شديدة (يوليو)؛ وانقطاع المياه. مكبرات الصوت تحث على النزوح؛ والجنود يمنعون وصول المساعدات."
DET-151,DET-151,hist003,#ERROR!,يموت الرضع وكبار السن في الطريق. ويصف الناجون مضغهم للعشب بحثاً عن الرطوبة، والجثث الملقاة على جانب الطريق. ويوثق المراقبون الدوليون لاحقاً هذه المعاناة.
DET-152,DET-152,hist003,إطلاق نار في جميع أنحاء المدينة,عمليات قتل واسعة النطاق في الشوارع والمنازل أثناء الاعتداءات وبعدها. تم الإبلاغ عن جثث في جميع أنحاء مدينة اللد. تشير التقديرات إلى مقتل عدة مئات في المدينة.
DET-153,DET-153,hist003,مذبحة مسجد دهماش,دخل الجنود باحة المسجد حيث احتمى المدنيون. أسفر إطلاق النار والقنابل اليدوية عن مقتل ما بين 70 و250 شخصًا (تختلف التقديرات اختلافًا كبيرًا). يصف منير الجثث المتراكمة في الداخل؛ وقد ساعد في حرقها. تُعد هذه الحادثة من بين أكثر الحوادث دموية في عام 1948.
DET-154,DET-154,hist003,"الطرد القسري و""مسيرة الموت""","تم تهجير ما بين 50,000 و70,000 شخص سيراً على الأقدام باتجاه رام الله في حرارة يوليو اللاهبة. وهتفت مكبرات الصوت: ""اخرجوا وإلا سنطلق النار"". لا ماء ولا مساعدات. وقال الناجون: ""تم حشر الحشود في أرض وعرة... الإرهاق والموت""."
DET-155,DET-155,hist003,#ERROR!,"إسماعيل شموط: ""توفي أطفال رضع أثناء المسيرة. مضغ الناس العشب بحثاً عن الرطوبة. قوبلت محاولات الحصول على الماء بالتهديدات."" انهار كبار السن؛ وتركت الجثث على جانب الطريق."
DET-156,DET-156,hist003,#ERROR!,منع الجنود الوصول إلى مصادر المياه. وأفاد الناجون بتعرضهم للتهديد والعنف عند محاولتهم مساعدة المتظاهرين المنهكين أو البحث عن الماء.
DET-157,DET-157,hist003,#ERROR!,#ERROR!
DET-158,DET-158,hist004,مقتل مدنيين,ثلثا الضحايا من النساء والأطفال؛ قُتلوا في منازلهم
DET-159,DET-159,hist004,جريح,موثقة من قبل السلطات الأردنية؛ ومن المرجح أن يكون العدد الفعلي أعلى
DET-160,DET-160,hist004,منازل مدمرة,#ERROR!
DET-161,DET-161,hist004,#ERROR!,#ERROR!
DET-162,DET-162,hist004,#ERROR!,أشرف على تخطيط عملية شوشانا. وافق على خطة شارون العملياتية لهجوم قبية. شغل منصب رئيس الأركان خلال عمليات أزمة السويس عام 1956. ثم أصبح وزيرًا للدفاع (1967، 1969-1974). لم يُحاسب قط على عملية عام 1953.
DET-163,DET-163,hist004,#ERROR!,#ERROR!
DET-164,DET-164,hist004,#ERROR!,#ERROR!
DET-165,DET-165,hist004,#ERROR!,#ERROR!
DET-166,DET-166,hist004,الأهمية على المدى الطويل,#ERROR!
DET-167,DET-167,hist004,#ERROR!,#ERROR!
DET-168,DET-168,hist004,#ERROR!,إدانة دولية عالمية، بما في ذلك من الولايات المتحدة والأمم المتحدة والمجتمعات اليهودية العالمية
DET-169,DET-169,hist004,الأهمية على المدى الطويل,أصبح قرار الأمم المتحدة رقم 101 نقطة مرجعية للإدانات المستقبلية
DET-170,DET-170,hist004,#ERROR!,#ERROR!
DET-171,DET-171,hist004,#ERROR!,علّقت الولايات المتحدة المساعدات الاقتصادية لإسرائيل لحين تعاونها مع تحقيقات الأمم المتحدة
DET-172,DET-172,hist004,الأهمية على المدى الطويل,#ERROR!
DET-173,DET-173,hist004,#ERROR!,#ERROR!
DET-174,DET-174,hist004,#ERROR!,ألقت السلطات الأردنية القبض على أكثر من ألف شخص يشتبه بانتمائهم إلى فدائيي إسرائيل لمنع أعمال انتقامية إسرائيلية.
DET-175,DET-175,hist004,الأهمية على المدى الطويل,نمط مُثبت: هجمات فلسطينية كبرى تليها ردود إسرائيلية واسعة النطاق
DET-176,DET-176,hist004,#ERROR!,#ERROR!
DET-177,DET-177,hist004,#ERROR!,هدوء نسبي على الحدود الأردنية لفترة أعقبت العملية
DET-178,DET-178,hist004,الأهمية على المدى الطويل,#ERROR!
DET-179,DET-179,hist004,#ERROR!,"✓ لا يزال قرار الأمم المتحدة رقم 101 مسجلاً باعتباره ""أقوى إدانة""."
DET-180,DET-180,hist004,#ERROR!,انتهاكات المادتين الثانية والثالثة: هجوم عسكري غير مبرر عبر خط الهدنة إلى الأراضي الأردنية. وخلصت لجنة الهدنة المختلطة إلى أن إسرائيل انتهكت الاتفاقية بشكل واضح.
DET-181,DET-181,hist004,#ERROR!,مبدأ التمييز: فشل في التمييز بين الأهداف العسكرية والمدنية. استهداف متعمد لمنازل المدنيين والمدارس والمساجد.
DET-182,DET-182,hist004,التصنيف الحديث (الوصفي),بموجب القانون الدولي المعاصر (اتفاقيات جنيف، ونظام روما الأساسي)، فإن الأفعال تشكل: القتل المتعمد للمدنيين، والتدمير الواسع النطاق غير المبرر بالضرورة العسكرية، والهجمات على الأعيان المدنية.
DET-183,DET-183,hist004,#ERROR!,#ERROR!
DET-184,DET-184,hist004,#ERROR!,التناسب: أدانت الأمم المتحدة والمجتمع الدولي الهجوم باعتباره رد فعل غير متناسب بشكل كبير.
DET-185,DET-185,hist004,التصنيف الحديث (الوصفي),#ERROR!
DET-186,DET-186,hist004,#ERROR!,معاناة لا داعي لها: تسبب استخدام المتفجرات على منازل المدنيين المحتلة في وفيات ومعاناة كان من الممكن تجنبها.
DET-187,DET-187,hist004,نوع الحدث,
DET-188,DET-188,hist004,الجناة,
DET-189,DET-189,hist004,تَحَقّق,
DET-190,DET-190,hist004,#ERROR!,
DET-191,DET-191,hist004,#ERROR!,"كتب شارون في مذكراته أنه تلقى أوامر: ""كانت قبية مثالاً للجميع"". ووصف إصدار أوامر ""بأقصى قدر من القتل وإلحاق أضرار بالممتلكات"". وفي سيرته الذاتية ""المحارب"": ""كانت الأوامر واضحة تماماً""."
DET-192,DET-192,hist004,#ERROR!,#ERROR!
DET-193,DET-193,hist004,اللواء فاجن بينيك,"أُبلغ مجلس الأمن التابع للأمم المتحدة أن الهجوم نُفذ بواسطة ""نحو نصف كتيبة من جنود الجيش الإسرائيلي النظامي"" باستخدام قذائف الهاون وطوربيدات بنغالور ومتفجرات تي إن تي في عملية عسكرية منسقة."
DET-194,DET-194,hist004,#ERROR!,#ERROR!
