id,_anchor,event_type_de,date_context_de,brief_summary_de,location_historical_de,location_current_de,classification_de
hist011,hist011,Militäroperation / Stadtkrieg,Teil der Operation Defensive Shield; Reaktion auf das Massaker zu Pessach (27. März 2002),"Das Flüchtlingslager Jenin wurde 1953 errichtet, um Palästinenser aufzunehmen, die während der Nakba 1948, vorwiegend aus Haifa und umliegenden Dörfern, vertrieben worden waren. Im Jahr 2002 lebten etwa 14.000 Flüchtlinge in dem dicht besiedelten Lager auf einer Fläche von nur einem Quadratkilometer. Gemäß den Oslo-Abkommen fiel Jenin 1995 vollständig an die Palästinensische Autonomiebehörde (Gebiet A). Während der Zweiten Intifada entwickelte sich das Lager jedoch zu einer Hochburg palästinensischer militanter Gruppen. Laut israelischen und palästinensischen Quellen operierten schätzungsweise 80 bis 100 bewaffnete Kämpfer der Hamas, des Islamischen Dschihad, der Al-Aqsa-Märtyrerbrigaden und von Tanzim aus dem Lager. Israel behauptete, dass zwischen Oktober 2000 und April 2002 28 Selbstmordattentate von Jenin aus geplant und verübt wurden. Nach dem verheerenden Massaker im Park Hotel in Netanja am 27. März 2002, bei dem 30 israelische Zivilisten getötet wurden, startete die israelische Regierung die Operation Schutzschild – die größte Militäroperation im Westjordanland seit 1967. Das Flüchtlingslager Jenin wurde als Hauptziel auserkoren. Am 3. April 2002 umzingelten etwa 200 israelische Panzer das Lager. Apache-Hubschrauber und F-16-Kampfjets leisteten Luftunterstützung. Das erklärte Ziel der israelischen Streitkräfte (IDF) war die „Zerstörung der operativen Infrastruktur militanter Organisationen“ und die Gefangennahme oder Tötung der Verantwortlichen für Selbstmordattentate. Palästinensische Militante hatten den Angriff erwartet und die Verteidigung des Lagers umfassend vorbereitet: Sie platzierten Dutzende Sprengladungen in Wasserleitungen, Küchenschränken, Hauseingängen und auf den Straßen; legten im gesamten Lager Sprengfallen aus; befestigten Stellungen in Gebäuden und bereiteten Hinterhalte vor. Die IDF begann mit Hausdurchsuchungen und rückte langsam durch enge Gassen vor. Am 9. April, dem sechsten Tag der Operation, wurden 13 israelische Soldaten in einem verheerenden Hinterhalt getötet. Palästinensische Kämpfer lockten eine IDF-Einheit in eine enge Gasse und zündeten dort Sprengstoff, wodurch Gebäude über den Soldaten einstürzten. Dies war der verlustreichste Einzelvorfall für die IDF während der gesamten Zweiten Intifada. Nach diesem katastrophalen Verlust änderte die israelische Militärtaktik ihre Strategie grundlegend. Im Anschluss an den Hinterhalt vom 9. April setzte die IDF massive, in den USA hergestellte Caterpillar D-9-Panzerbulldozer ein – 60 Tonnen schwere Maschinen mit Panzerplatten, die mehrstöckige Gebäude innerhalb von Minuten dem Erdboden gleichmachen konnten. Anstatt die gefährlichen Häuserkämpfe fortzusetzen, begannen die Bulldozer systematisch Gebäude zu zerstören, um breite Zufahrtswege für Panzer zu schaffen und potenzielle Hinterhaltspunkte zu eliminieren. Ermittler von Human Rights Watch dokumentierten, dass Bulldozer über 140 Gebäude zerstörten und damit etwa 10 % der gesamten Lagerbestände vernichteten. Viele Gebäude wurden zerstört, während Familien darin eingeschlossen waren – einige Bewohner wurden erdrückt, andere lebendig unter den Trümmern begraben. Die israelischen Streitkräfte verhängten eine totale Belagerung: Niemand durfte hinein oder hinaus; die medizinische Versorgung war elf Tage lang (4.–15. April) blockiert; Krankenwagen wurden beschossen; Wasser und Strom wurden abgestellt; Lebensmittel wurden nicht eingeführt. Farwa Jammal, eine 27-jährige Krankenschwester in Uniform, wurde von israelischen Soldaten erschossen, als sie einen verletzten Zivilisten behandelte. Mindestens zwei verletzte Zivilisten starben, weil israelische Soldaten über 36 Stunden lang Krankenwagen daran hinderten, sie zu erreichen. Als die Ermittler von Human Rights Watch am 19. April endlich Zugang erhielten, fanden sie ein Bild massiver Zerstörung vor: ganze Stadtviertel lagen in Trümmern, Leichen waren noch immer unter eingestürzten Gebäuden begraben, und es gab Beweise für vorsätzliche Tötungen. Ihr 52-seitiger Bericht kam zu dem Schluss: „Die israelischen Streitkräfte haben schwere Verstöße gegen das humanitäre Völkerrecht begangen, von denen einige dem Anschein nach Kriegsverbrechen darstellen.“ Die Vereinten Nationen versuchten, eine Untersuchung einzuleiten, doch Israel blockierte die Untersuchungskommission. Endgültige Bilanz: 52 getötete Palästinenser (22 Zivilisten – darunter ein 14-jähriger Junge, ein an den Rollstuhl gefesselter älterer Mann und Frauen), 23 getötete israelische Soldaten, über 140 zerstörte Gebäude, 4.000 Menschen obdachlos.","Flüchtlingslager Jenin, Jenin, Westjordanland, Palästinensisches Autonomiegebiet A (vollständige palästinensische Kontrolle bis zur Wiederbesetzung)","Flüchtlingslager Jenin im Westjordanland unter israelischer Militärbesatzung; die Palästinensische Autonomiebehörde übt nur eingeschränkte Sicherheitskontrolle aus; das Lager wurde wiederaufgebaut, bleibt aber ein Brennpunkt; häufige israelische Militärrazzien; Ort anhaltender Gewalt",Kriegsverbrechen (HRW prima facie); Verstöße gegen das humanitäre Völkerrecht
hist012,hist012,Militäroperation,22-tägige israelische Militäroperation im Gazastreifen,"Die Operation Gegossenes Blei begann am 27. Dezember 2008 um 11:30 Uhr, als israelische F-16-Kampfjets und Apache-Hubschrauber innerhalb von 220 Sekunden gleichzeitig über 100 vorab geplante Ziele im Gazastreifen angriffen. Die ersten Angriffe trafen Polizeistationen – darunter auch während einer Abschlussfeier für neue Beamte, bei der 99 Polizisten getötet wurden –, Regierungsgebäude und die Infrastruktur der Hamas. Bis zum Ende des ersten Tages waren mindestens 230 Palästinenser getötet worden. Die Luftangriffe dauerten sieben Tage an, bevor israelische Bodentruppen am 3. Januar 2009 von Norden und Osten her in den Gazastreifen einmarschierten. Die Marine beschoss gleichzeitig von der Küste aus. Über 22 Tage hinweg führten die israelischen Streitkräfte einen Angriff durch, den die UN-Untersuchung als bewusst unverhältnismäßig und darauf ausgerichtet bezeichnete, die Zivilbevölkerung zu bestrafen, zu demütigen und zu terrorisieren. Die Operation umfasste die großflächige Zerstörung ziviler Infrastruktur, darunter Krankenhäuser, Schulen, Moscheen, Einrichtungen der Vereinten Nationen, Wasserversorgungsanlagen und Kläranlagen. Mehrere von der UN-Mission und Menschenrechtsorganisationen dokumentierte Vorfälle offenbarten systematische Menschenrechtsverletzungen: das Massaker an der Familie Samouni, bei dem Soldaten etwa 100 Zivilisten in ein Gebäude zwangen und es anschließend beschossen, wobei 21 Menschen getötet wurden; der Luftangriff auf die Familie Al-Daya, bei dem 22 Zivilisten ums Leben kamen; mehrere Fälle, in denen Soldaten auf Zivilisten mit weißen Fahnen schossen; und der umfangreiche Einsatz von Weißphosphormunition in dicht besiedelten Gebieten. Das Palästinensische Zentrum für Menschenrechte dokumentierte 1.419 palästinensische Todesopfer, darunter 1.167 Zivilisten, während B’Tselem 1.385 Tote meldete, darunter 762 Nichtkombattanten und 318 Minderjährige.","Gazastreifen, Gaza, Hamas-regierter Gazastreifen seit 2007 unter israelischer Blockade","Gazastreifen, unter israelischer Blockade und Besatzung; regiert von der Hamas; andauernde Blockade seit 2007; Wiederaufbau unvollständig",Kriegsverbrechen; Verbrechen gegen die Menschlichkeit (UN-Goldstone-Bericht)
hist013,hist013,"Militäroperation, Luftangriffe, zivile Opfer",Eskalation nach gezielter Tötung eines Hamas-Militärkommandanten,"Am 14. November 2012, gegen 15:45 Uhr, tötete die israelische Luftwaffe Ahmed al-Jabari, den Chef des militärischen Arms der Hamas, und leitete damit die Operation „Säule der Verteidigung“ ein. Innerhalb von acht Tagen griff die israelische Armee rund 1.500 Ziele im Gazastreifen an, darunter unterirdische Raketenwerfer, Waffenschmuggeltunnel, Waffenlager und Wohnhäuser von Hamas-Funktionären. Anders als bei der Operation „Gegossenes Blei“ (2008–2009) kam es zu keiner Bodenoffensive. Laut den im Mai 2013 veröffentlichten Felduntersuchungen von B’Tselem wurden bei der Operation 167 Palästinenser getötet: mindestens 87 Zivilisten (52 %), die nicht an den Kampfhandlungen beteiligt waren, darunter 32 Kinder; 62 Kämpfer; 7 Opfer gezielter Tötungen; und 11 Personen mit unbekanntem Status. Der UN-Schutzcluster dokumentierte über 11.100 Verletzte, darunter 3.374 Kinder. Eine Analyse zeigt, dass 80 % der zivilen Todesopfer in den letzten vier Tagen zu beklagen waren, als sich das Verhältnis von zivilen zu militärischen Opfern deutlich umkehrte. Sechs Israelis starben durch palästinensischen Raketenbeschuss: vier Zivilisten und zwei Angehörige der Sicherheitskräfte. Palästinensische Gruppen feuerten 1.667 Raketen auf Israel ab (Angaben des israelischen Inlandsgeheimdienstes ISA); 436 davon wurden vom Raketenabwehrsystem Iron Dome abgefangen. Die Hamas exekutierte zudem mindestens sechs bis sieben Palästinenser, die der Kollaboration während der Operation beschuldigt wurden. B’Tselem untersuchte neun konkrete Vorfälle, die den Verdacht schwerwiegender Verstöße gegen das humanitäre Völkerrecht nahelegten, darunter Angriffe auf Kinder, die auf Feldern arbeiteten, auf Familien in ihren Häusern ohne Vorwarnung und auf Zivilisten während des Besuchs arabischer Außenminister. Der Sprecher der israelischen Streitkräfte räumte zunächst einen wahrscheinlichen Fehler bei dem Angriff ein, bei dem zwölf Mitglieder der Familie al-Dalu getötet wurden. Das israelische Militärkommando (MAG) stellte das Verfahren jedoch später ohne Anklageerhebung ein.","Gazastreifen, palästinensisches Gebiet, das seit 2007 unter israelischer Blockade steht und von der Hamas regiert wird.","Gazastreifen; palästinensisches Gebiet, seit 1967 von Israel besetzt, seit 2007 von der Hamas regiert; unter Blockade; wiederkehrenden israelischen Militäroperationen ausgesetzt",Kriegsverbrechen; Verstöße gegen das humanitäre Völkerrecht (B'Tselem-Bericht vom Mai 2013)
hist014,hist014,Militäroperation,51-tägige israelische Militäroperation im Gazastreifen; tödlichster Gaza-Konflikt,"Die Operation Protective Edge begann am 7. Juli 2014, vordergründig als Reaktion auf den eskalierenden Raketenbeschuss aus dem Gazastreifen, tatsächlich aber vor dem Hintergrund verschärfter Spannungen nach der Entführung und Ermordung dreier israelischer Jugendlicher im Westjordanland im Juni. Israel startete massive Luftangriffe im Gazastreifen und flog innerhalb von 51 Tagen über 6.000 Luftangriffe. Die Operation gliederte sich in drei Phasen: eine erste Woche intensiver Luftbombardements, eine Bodenoffensive ab dem 17. Juli zur Zerstörung der Grenztunnel und eine abschließende Phase ab dem 5. August, die durch abwechselnde Waffenstillstände und fortgesetzte Angriffe gekennzeichnet war. Die erklärten Ziele waren die Beendigung der Raketenangriffe und die Zerstörung der militärischen Infrastruktur und des Tunnelnetzes der Hamas. Die Zahl der Todesopfer war beispiellos. Die UN-Untersuchungskommission dokumentierte 2.251 palästinensische Tote, davon 1.462 Zivilisten – 65 % aller Todesopfer. Unter den Toten waren 551 Kinder und 299 Frauen. Ganze Familien wurden bei einzelnen Angriffen ausgelöscht: 18 Mitglieder der Familie Al-Batsh wurden am 13. Juli getötet, 17 Mitglieder der Familie Abu Jame am 20. Juli und 26 Mitglieder der Familie Al-Najjar ebenfalls am 20. Juli. Die Kommission untersuchte 15 Fälle von Angriffen auf Wohngebäude und stellte fest, dass es in vielen Fällen keine Beweise für ein legitimes militärisches Ziel gab oder die Angriffe grob unverhältnismäßig waren. B’Tselem dokumentierte 606 Angriffe auf Wohngebäude, bei denen 1.447 Zivilisten getötet wurden. Der Anteil der Frauen unter den zivilen Opfern (20,2 %) war deutlich höher als bei früheren Operationen. Mehrere Vorfälle stachen durch ihre Brutalität besonders hervor. Am 19. und 20. Juli starteten israelische Streitkräfte einen massiven Angriff auf Shuja’iya, eines der am dichtesten besiedelten Viertel im Gazastreifen. Über 100 Palästinenser wurden innerhalb von etwa 24 Stunden getötet, als die israelische Artillerie Tausende von Granaten in Wohngebiete abfeuerte. Zeugen berichteten, dass Zivilisten erschossen wurden, als sie mit weißen Fahnen zu fliehen versuchten. Am 1. August, nachdem ein israelischer Soldat in Rafah gefangen genommen worden war, berief sich Israel auf die Hannibal-Direktive – die den Einsatz massiver Gewalt ohne Rücksicht auf zivile Opfer vorsah. Innerhalb von drei Stunden feuerten israelische Streitkräfte über 1.000 Artilleriegranaten auf Rafah ab und töteten 130 bis 150 Palästinenser, überwiegend Zivilisten. Die UN bezeichnete dies als „moralische Schande und kriminellen Akt“. Auch die systematische Zerstörung der Infrastruktur im Gazastreifen war erschreckend: Das einzige Kraftwerk des Gazastreifens wurde zerstört, 18.000 Häuser dem Erdboden gleichgemacht, 89.000 beschädigt, 73 medizinische Einrichtungen angegriffen und 262 Schulen beschädigt. Die UN-Kommission kam zu dem Schluss, dass Beweise für schwere Verstöße gegen das humanitäre Völkerrecht vorliegen, die Kriegsverbrechen durch israelische Streitkräfte darstellen, darunter gezielte Angriffe auf Zivilisten und zivile Infrastruktur. Die Kommission stellte außerdem fest, dass palästinensische bewaffnete Gruppen durch wahllose Raketenangriffe und die außergerichtliche Hinrichtung von 21 mutmaßlichen Kollaborateuren Kriegsverbrechen begangen hatten. Auf israelischer Seite starben 73 Menschen: 67 Soldaten und 6 Zivilisten durch Raketen- und Mörserbeschuss.","Gazastreifen und Süd-Israel, der von der Hamas regierte Gazastreifen steht seit 2007 unter israelischer Blockade","Gazastreifen, unter israelischer Blockade; regiert von der Hamas; Wiederaufbau unvollständig; andauernde Blockade; Infrastruktur schwer beschädigt",Kriegsverbrechen; Verbrechen gegen die Menschlichkeit (UN-Untersuchungskommission 2015)
hist015,hist015,Massentötungen / Unterdrückung von Protesten,Wöchentliche Proteste am Grenzzaun zwischen Gaza und Israel fordern das Rückkehrrecht,"Der Große Rückkehrmarsch begann am 30. März 2018 – dem Tag des palästinensischen Bodens und dem 42. Jahrestag der Massenproteste gegen die israelische Landenteignung. Organisiert von unabhängigen Aktivisten, waren die Proteste als friedliche Demonstrationen geplant, um die internationale Aufmerksamkeit auf die humanitäre Krise im Gazastreifen, die Blockade und das Rückkehrrecht palästinensischer Flüchtlinge zu lenken. Entlang der östlichen Grenze des Gazastreifens, nur wenige hundert Meter vom Sperrzaun entfernt, wurden fünf Protestorte eingerichtet. Die Proteste sollten vom Tag des Bodens (30. März) bis zum Nakba-Tag (15. Mai) dauern, zogen sich aber über 21 Monate hin, bis die Hamas am 27. Dezember 2019 ihr Ende verkündete. Israels Reaktion war umgehend und tödlich. Die israelischen Streitkräfte stationierten Scharfschützen entlang des Zauns; die Einsatzregeln erlaubten den Einsatz von scharfer Munition gegen die Demonstranten. Am ersten Tag, dem 30. März 2018, töteten israelische Streitkräfte 18 Palästinenser und schossen auf über 700 weitere mit scharfer Munition. Der blutigste Tag war der 14. Mai 2018 – der Tag der offiziellen Eröffnung der US-Botschaft in Jerusalem –, als israelische Streitkräfte 60 Palästinenser töteten und über 1.100 weitere verletzten. Bis zum 31. Dezember 2018 hatten israelische Scharfschützen 6.106 Palästinenser mit scharfer Munition beschossen, 183 davon während offizieller Protesttage. 35 der Opfer waren Kinder, drei waren deutlich als Sanitäter gekennzeichnet und zwei als Journalisten. Weitere 3.098 Palästinenser wurden durch Splitter, Gummigeschosse oder Tränengas verletzt. Die UN-Untersuchungskommission untersuchte jeden einzelnen Todesfall an den ausgewiesenen Demonstrationsorten während der offiziellen Protesttage zwischen dem 30. März und dem 31. Dezember 2018. Die Kommissionsmitglieder werteten Videomaterial, Krankenakten und ballistische Gutachten aus und führten ausführliche Befragungen durch. Ihr Ergebnis war vernichtend: Mit Ausnahme von zwei Vorfällen sah die Kommission hinreichende Gründe für die Annahme, dass der Einsatz scharfer Munition rechtswidrig war. Die Opfer „nahmen weder direkt an den Kampfhandlungen teil noch stellten sie eine unmittelbare Bedrohung dar“, als sie erschossen wurden. Kommissarin Sara Hossain erklärte: „Es gibt keine Rechtfertigung dafür, Journalisten, Sanitäter und andere Personen zu töten und zu verletzen, die eindeutig keine unmittelbare Gefahr für Leib und Leben darstellten.“ Die Kommission kam zu dem Schluss, dass die festgestellten Verstöße Kriegsverbrechen oder Verbrechen gegen die Menschlichkeit darstellen könnten. Zu den prominenten Opfern zählten die 21-jährige Sanitäterin Razan al-Najjar, die trotz ihrer deutlich gekennzeichneten weißen Sanitätsweste bei der Behandlung verletzter Demonstranten erschossen wurde, und der Journalist Yaser Murtaja, der mit Presseausweis erschossen wurde. Bis zum Ende der Proteste im Dezember 2019 waren 223 Palästinenser getötet und 28.939 verletzt worden. Mindestens 122 Palästinenser, darunter 20 Kinder, mussten Gliedmaßen amputiert werden. Israel hat keine aussagekräftigen Ermittlungen durchgeführt; bis auf wenige Ausnahmen wurden alle Fälle ohne Anklageerhebung eingestellt.","Gazastreifen – Trennzaun zu Israel, Hamas-regierter Gazastreifen steht seit 2007 unter israelischer Blockade","Gazastreifen, unter israelischer Blockade; regiert von der Hamas; Blockade andauernd; Proteste endeten im Dezember 2019",Massentötungen / Unterdrückung von Protesten
hist016,hist016,Militäroperation,11-tägige israelische Militäroperation im Gazastreifen,"Die Eskalation, die zur Operation „Wächter der Mauern“ führte, hatte ihren Ursprung in Ereignissen in Jerusalem. Während des Ramadan 2021 errichtete die israelische Polizei Barrikaden, um Palästinenser daran zu hindern, sich am Damaskustor – einem traditionellen Versammlungsort – zu versammeln, und unterdrückte Proteste gewaltsam. Gleichzeitig trieben israelische Gerichte Räumungsverfahren gegen palästinensische Familien im ostjerusalemer Viertel Scheich Dscharra voran, um Platz für jüdische Siedler zu schaffen. Am 7. Mai wurden Hunderte von Palästinensern verletzt, als die israelische Polizei während des Gebets das Gelände der Al-Aqsa-Moschee stürmte und in der Moschee selbst Gummigeschosse, Blendgranaten und Tränengas einsetzte. Die internationale Verurteilung erfolgte umgehend, doch am 10. Mai – Lailat al-Qadr, der heiligsten Nacht des Ramadan – stürmte die israelische Polizei erneut die Al-Aqsa-Moschee und verletzte über 300 Palästinenser. Die Hamas stellte ein Ultimatum und forderte den Rückzug der israelischen Streitkräfte aus der Al-Aqsa-Moschee und aus Scheich Dscharra bis 18 Uhr. Als Israel sich weigerte, feuerten Hamas und der Palästinensische Islamische Dschihad um 18:05 Uhr Raketen auf Jerusalem ab und markierten damit den Beginn des Konflikts. Israels Reaktion erfolgte umgehend und mit verheerender Wucht. Innerhalb weniger Stunden griffen israelische Kampfflugzeuge über 130 Ziele im Gazastreifen an. In den folgenden elf Tagen führte die israelische Armee mehr als 1.500 Luftangriffe durch, während palästinensische bewaffnete Gruppen 4.360 Raketen und Mörsergranaten auf Israel abfeuerten – das Raketenabwehrsystem Iron Dome fing etwa 90 % der Geschosse ab, die auf bewohnte Gebiete gerichtet waren. Am ersten Tag ereignete sich der Angriff der Familie al-Masri in Beit Hanoun, bei dem eine Rakete acht Zivilisten, darunter sechs Kinder, die Gerste für Tierfutter verpackten, tötete. Israel behauptete, es habe sich um eine fehlgeleitete palästinensische Rakete gehandelt, doch die Untersuchung von Human Rights Watch ergab Beweise für eine Lenkrakete und kein militärisches Ziel. Der tödlichste Einzelvorfall ereignete sich am 16. Mai, als israelische Streitkräfte einen vierminütigen Angriff auf die al-Wahda-Straße im Zentrum von Gaza-Stadt starteten, bei dem drei mehrstöckige Wohnhäuser einstürzten. Vierundvierzig Zivilisten, darunter 18 Kinder, wurden getötet. HRW stellte fest, dass die Gebäude einstürzten, nachdem Raketen die angrenzende Straße oder den Gehweg getroffen hatten – es gab keine erkennbaren militärischen Ziele. Die Operation fand vor dem Hintergrund der 14-jährigen israelischen Blockade des Gazastreifens und der systematischen Diskriminierung der Palästinenser statt, die Human Rights Watch erst einen Monat zuvor, im April 2021, als Apartheid bezeichnet hatte. In dem elftägigen Konflikt starben 260 Palästinenser (laut UN/HRW 129 Zivilisten, Israel behauptete jedoch, die meisten seien Kämpfer gewesen). Dreizehn Israelis starben, darunter zwölf Zivilisten durch Raketenbeschuss. Human Rights Watch führte eingehende Untersuchungen zu drei israelischen Angriffen durch, bei denen insgesamt 62 palästinensische Zivilisten getötet wurden, und fand „keine erkennbaren militärischen Ziele in der Nähe“ der Angriffe – was offensichtliche Kriegsverbrechen darstellt. Ein dritter Vorfall, den HRW untersuchte, war die Bombardierung eines Gebäudes im Flüchtlingslager Shati am 15. Mai, bei der zehn Menschen (acht Kinder, zwei Frauen) getötet wurden. Israel behauptete, hochrangige Hamas-Funktionäre würden sich dort verstecken, doch Human Rights Watch fand keine Beweise für militärische Ziele. Der Bericht dokumentierte zudem, dass palästinensische bewaffnete Gruppen durch wahllosen Raketenbeschuss israelischer Siedlungsgebiete Kriegsverbrechen begingen. Die Operation endete am 21. Mai mit einem von Ägypten vermittelten Waffenstillstand, doch keine der beiden Seiten erreichte ihre strategischen Ziele, und die humanitäre Krise im Gazastreifen verschärfte sich erheblich.","Gazastreifen, Israel, Ostjerusalem, Westjordanland, Hamas-regierter Gazastreifen unter israelischer Blockade; Ostjerusalem und Westjordanland unter Besatzung","Gazastreifen, unter israelischer Blockade; regiert von der Hamas; Blockade andauernd; Wiederaufbau unvollständig",Militäroperation
hist017,hist017,Militärrazzien / Systematische Tötungen,Zweijährige Phase verstärkter israelischer Militäroperationen im Westjordanland,"Die Eskalation begann im Frühjahr 2022 nach einer Reihe von Angriffen palästinensischer Truppen in Israel, bei denen zwischen dem 22. März und dem 7. Mai 19 Israelis getötet wurden. Israel reagierte mit der „Operation Break the Wave“ – fast nächtlichen Militäreinsätzen in Städten und Flüchtlingslagern im Westjordanland, insbesondere in Jenin und Nablus. Diese Städte hatten sich mit dem Aufkommen von Gruppen wie den Jenin-Brigaden (gegründet im September 2021), der Löwenhöhle in Nablus und den Balata-Brigaden zu Zentren des erneuten bewaffneten palästinensischen Widerstands entwickelt. Die israelischen Operationen umfassten massive Truppenverlegungen, den Einsatz von Bulldozern zur Zerstörung von Infrastruktur und Straßen, den Einsatz von scharfer Munition in dicht besiedelten Gebieten und zunehmend auch Luftangriffe, einschließlich Drohnenangriffe. Bis Ende 2022 wurden 220 Palästinenser getötet, darunter 48 Kinder – die höchste jährliche Opferzahl seit dem Ende der Zweiten Intifada im Jahr 2005. Die Gewalt beschränkte sich nicht auf bewaffnete Auseinandersetzungen. Laut einer Analyse von Middle East Eye waren die meisten palästinensischen Opfer im Jahr 2022 zum Zeitpunkt ihres Todes wahrscheinlich unbewaffnet. Mindestens 95 Palästinenser wurden von israelischen Soldaten als Unbeteiligte bei Militärrazzien oder bei Demonstrationen gegen die Besatzung erschossen. Sieben Frauen und Mädchen kamen ums Leben, darunter die 15-jährige Jana Zakarneh, die zweimal ins Gesicht geschossen wurde, als sie mit ihrer Katze auf dem Dach ihres Hauses spielte, und die 15-jährige Fulla al-Masalma, die einen Tag vor ihrem Geburtstag getötet wurde. Der international bedeutendste Mord war der an Shireen Abu Akleh, der langjährigen palästinensischen Korrespondentin von Al Jazeera. Sie wurde am 11. Mai 2022 bei der Berichterstattung über eine Razzia in Jenin in den Kopf geschossen. Obwohl sie eine deutlich gekennzeichnete Presseweste trug und sich in der Nähe anderer Journalisten befand, wurde Abu Akleh von israelischem Feuer getötet. Die UN-Untersuchungskommission kam zu dem Schluss, dass israelische Streitkräfte „aufgrund hinreichender Gründe tödliche Gewalt ohne Rechtfertigung nach internationalem Menschenrechtsrecht anwendeten und Abu Aklehs Recht auf Leben vorsätzlich oder fahrlässig verletzten“. Die Gewalt verschärfte sich 2023 weiter. Im Januar wurden bei einem Angriff auf Jenin zehn Palästinenser getötet, darunter eine 61-jährige Frau, die aus ihrem Schlafzimmerfenster in den Hals geschossen wurde. Im Februar wurden in Nablus elf Palästinenser getötet, darunter Zivilisten, die auf der Flucht in den Rücken geschossen wurden. Im Juli führte Israel seine größte Operation im Westjordanland seit 20 Jahren durch – einen 14-stündigen Angriff auf das Flüchtlingslager Jenin mit Drohnen, Kampfhubschraubern und Hunderten von Soldaten. Dabei wurden zwölf Menschen getötet und 500 Familien zur Flucht gezwungen. Im Dezember 2023 erklärte Ärzte ohne Grenzen das Jahr mit 507 Toten, darunter 127 Kinder, zum „tödlichsten Jahr für Palästinenser im Westjordanland in der Geschichte“. Die UN-Kommission stellte fest, dass israelische Streitkräfte systematisch gegen internationales Recht verstoßen haben, indem sie Kampfregeln auf Situationen der Strafverfolgung anwandten, unverhältnismäßige Gewalt anwendeten, nicht zwischen Zivilisten und Kombattanten unterschieden, medizinische Versorgung behinderten und faktisch außergerichtliche Hinrichtungen durchführten. Gleichzeitig nahm die Gewalt der Siedler stark zu – die UN verzeichnete zwischen Oktober 2022 und Mai 2024 über 800 Angriffe von Siedlern auf Palästinenser, die häufig mit Duldung oder Beteiligung des israelischen Militärs stattfanden.","Westjordanland einschließlich Ostjerusalem, palästinensische Gebiete, die seit 1967 unter israelischer Militärbesatzung stehen","Westjordanland unter israelischer Militärbesatzung; Aufteilung in die Gebiete A, B und C gemäß den Oslo-Abkommen; andauernde Besatzung; die Gewalt hat deutlich zugenommen",Rechtswidrige Tötungen; unverhältnismäßige Gewaltanwendung
curr_001,curr_001,Angriff auf Krankenhaus,Aktueller Völkermord (2023 bis heute),"Explosion auf dem Gelände des Al-Ahli-Baptistenkrankenhauses, in dem Tausende vertriebene Palästinenser Zuflucht gesucht hatten. Zahlreiche Opfer im Krankenhaushof.","Al-Ahli Arab Hospital, Gaza-Stadt","Al-Ahli Arab Hospital, Gaza-Stadt",
curr_002,curr_002,Angriff auf Flüchtlingslager,Aktueller Völkermord (2023 bis heute),"Massiver Luftangriff auf das dicht besiedelte Flüchtlingslager Jabalia. Ganze Wohnblöcke zerstört. Israel gab zu, einen Hamas-Kommandeur ins Visier genommen zu haben.","Flüchtlingslager Jabalia, Nord-Gaza","Flüchtlingslager Jabalia, Nord-Gaza",
curr_003,curr_003,Massaker,Aktueller Völkermord (2023 bis heute),"Israelische Streitkräfte eröffneten das Feuer auf Palästinenser, die auf die Verteilung von Nahrungsmittelhilfe warteten. Hunderte Zivilisten wurden getötet und verletzt, als sie versuchten, Mehl zu erhalten.","Al-Rashid-Straße, Gaza-Stadt","Al-Rashid-Straße, Gaza-Stadt",
curr_004,curr_004,Angriff auf geschützte Websites,Aktueller Völkermord (2023 bis heute),"Eine Reihe von Angriffen auf UNRWA-Schulen, die als Zufluchtsorte für vertriebene Palästinenser dienen, hat mehrere Schulen getroffen. Trotz der Koordination der UN mit den israelischen Streitkräften wurden mehrere Schulen angegriffen.",Mehrere UNRWA-Schulen im Gazastreifen,Mehrere UNRWA-Schulen im Gazastreifen,
curr_005,curr_005,Massengräber,Aktueller Völkermord (2023 bis heute),"Nach dem israelischen Rückzug wurden im Nasser-Krankenhaus Massengräber entdeckt. Die Leichen waren mit gefesselten Händen gefunden worden, ein Hinweis auf Hinrichtungen. Einige Leichen wurden von israelischen Streitkräften aus dem Krankenhaus geborgen.","Nasser-Medizinkomplex, Khan Yunis","Nasser-Medizinkomplex, Khan Yunis",
curr_006,curr_006,Krankenhausbelagerung,Aktueller Völkermord (2023 bis heute),Israelische Streitkräfte belagerten das größte Krankenhaus im Gazastreifen und kappten die Strom- und Wasserversorgung. Patienten starben aufgrund mangelnder medizinischer Versorgung. Das Krankenhaus wurde trotz seines völkerrechtlichen Schutzes gestürmt.,"Al-Shifa-Krankenhaus, Gaza-Stadt","Al-Shifa-Krankenhaus, Gaza-Stadt",
curr_007,curr_007,Massaker,Aktueller Völkermord (2023 bis heute),"Bei einem israelischen Luftangriff auf ein Zeltlager vertriebener Palästinenser in Rafah verbrannten viele Opfer in ihren Zelten. Israel behauptete, Hamas-Kämpfer ins Visier genommen zu haben.",Flüchtlingslager Rafah,Flüchtlingslager Rafah,
curr_008,curr_008,Tötung von Helfern,Aktueller Völkermord (2023 bis heute),Israelische Streitkräfte griffen in drei aufeinanderfolgenden Angriffen auf deutlich gekennzeichnete Fahrzeuge sieben Mitarbeiter der Hilfsorganisation World Central Kitchen an und töteten sie. Es folgte ein internationaler Aufschrei.,"Deir al-Balah, Zentral-Gaza","Deir al-Balah, Zentral-Gaza",
