id,event_name,event_type,date_start,date_end,date_context,deaths,injured,forced_displacement,location_lat,location_lng,location_historical,location_current,perpetrators,classification,last_updated,author,summary_para_1,summary_para_2,summary_para_3,hero_1_label,hero_1_value,hero_2_label,hero_2_value,hero_3_label,hero_3_value,hero_4_label,hero_4_value
hist011,Battle of Jenin,Military Operation / Urban Warfare,2002-04-03 00:00:00,37357,Part of Operation Defensive Shield; response to Passover massacre (27 March 2002),"52 Palestinians (22 civilians, 27 combatants, 3 unclear); 23 Israeli soldiers",Hundreds of Palestinians wounded; unknown number of Israeli soldiers wounded,"4,000 Palestinians rendered homeless",32.4644,35.2956,"Jenin Refugee Camp, Jenin, West Bank, Palestinian Authority Area A (full Palestinian control until reoccupation)","Jenin Refugee Camp, West Bank, Under Israeli military occupation; PA has limited security control; Camp rebuilt but remains flashpoint; frequent Israeli military raids; site of ongoing violence",Israel Defense Forces; Israeli government (Operation Defensive Shield policy); Specific IDF units involved in demolitions and civilian killings,War Crimes (HRW prima facie); Violations of IHL,2025-10-18 00:00:00,aliattia02,"Jenin refugee camp was established in 1953 to house Palestinians displaced during the 1948 Nakba, primarily from Haifa and surrounding villages. By 2002, approximately 14,000 refugees lived in the densely packed camp covering just one square kilometer. Under the Oslo Accords, Jenin came under full Palestinian Authority control in 1995 (Area A). However, the camp became a stronghold for Palestinian militant groups during the Second Intifada. According to both Israeli and Palestinian sources, an estimated 80-100 armed fighters from Hamas, Islamic Jihad, Al-Aqsa Martyrs' Brigades, and Tanzim operated from the camp. Israel claimed 28 suicide attacks between October 2000 and April 2002 were planned and launched from Jenin. After the devastating Passover massacre at Park Hotel in Netanya killed 30 Israeli civilians on March 27, 2002, the Israeli government launched Operation Defensive Shield—the largest military operation in the West Bank since 1967. Jenin refugee camp was identified as a primary target.","On April 3, 2002, approximately 200 Israeli tanks surrounded Jenin refugee camp. Apache helicopters and F-16 fighter jets provided air support. The IDF's stated objective was to 'destroy the operational infrastructure of militant organizations' and capture or kill those responsible for suicide bombings. Palestinian militants had anticipated the assault and extensively prepared the camp's defense: they planted dozens of explosive charges in water pipes, kitchen cabinets, doorways, and streets; created booby traps throughout the camp; fortified positions in buildings; and prepared ambush sites. The IDF began house-to-house searches, advancing slowly through narrow alleys. On April 9, the sixth day of the operation, 13 Israeli soldiers were killed in a devastating ambush—Palestinian fighters lured an IDF unit into a narrow alley and detonated massive explosives, collapsing buildings on the soldiers. This was the deadliest single incident for the IDF during the entire Second Intifada. Following this catastrophic loss, Israeli military tactics changed dramatically.","After the April 9 ambush, the IDF deployed massive American-made Caterpillar D-9 armored bulldozers—60-ton machines with armor plating that could demolish multi-story buildings in minutes. Rather than continuing dangerous house-to-house combat, bulldozers began systematically demolishing buildings to create wide paths for tanks and to eliminate potential ambush sites. Human Rights Watch investigators documented that bulldozers demolished over 140 buildings, destroying approximately 10% of the entire camp's structures. Many buildings were demolished with families still trapped inside—some residents were crushed to death, others buried alive in rubble. The IDF enforced total siege: no one allowed in or out; medical access blocked for 11 days (April 4-15); ambulances fired upon; water and electricity cut off; food prevented from entering. Farwa Jammal, a 27-year-old uniformed nurse, was shot dead by IDF fire while treating a wounded civilian. At least two injured civilians died because Israeli soldiers prevented ambulances from reaching them for over 36 hours. When Human Rights Watch investigators finally gained access on April 19, they found scenes of massive destruction: entire neighborhoods reduced to rubble, bodies still buried under collapsed buildings, and evidence of willful killings. Their 52-page report concluded: 'Israeli forces committed serious violations of international humanitarian law, some amounting prima facie to war crimes.' The UN attempted to launch an investigation, but Israel blocked the fact-finding mission. Final toll: 52 Palestinians killed (22 civilians—including a 14-year-old boy, wheelchair-bound elderly man, and women), 23 Israeli soldiers killed, over 140 buildings demolished, 4,000 people rendered homeless.",Date,3-11 April 2002,Location,Jenin Refugee Camp,Palestinians Killed,52,Israeli Soldiers Killed,23
hist012,Operation Cast Lead,Military Operation,2008-12-27 00:00:00,39831,22-day Israeli military operation in Gaza Strip,"1,383-1,419 Palestinians; 13 Israelis (10 soldiers, 3 civilians)","5,300+ Palestinians; 518 Israelis","20,000+ Palestinians made homeless",31.5,34.47,"Gaza Strip, Gaza, Hamas-governed Gaza Strip under Israeli blockade since 2007","Gaza Strip, Under Israeli blockade and occupation; governed by Hamas, Ongoing blockade since 2007; reconstruction incomplete",Israel Defense Forces; Israeli Air Force; Ground forces and naval units,War Crimes; Crimes Against Humanity (UN Goldstone Report),2025-10-18 00:00:00,aliattia02,"Operation Cast Lead began at 11:30 AM on December 27, 2008, when Israeli F-16 fighter jets and Apache helicopters simultaneously struck over 100 pre-planned targets across Gaza within 220 seconds. The opening attacks hit police stations—including during a graduation ceremony for new officers, killing 99 police personnel—government buildings, and Hamas infrastructure. By the end of the first day, at least 230 Palestinians were killed.","The aerial bombardment continued for seven days before Israeli ground forces invaded Gaza from the north and east on January 3, 2009. The navy simultaneously shelled from offshore. Over 22 days, Israeli forces conducted what the UN investigation described as a deliberately disproportionate attack designed to punish, humiliate and terrorize a civilian population. The operation involved widespread destruction of civilian infrastructure including hospitals, schools, mosques, United Nations facilities, water installations, and sewage treatment plants.","Multiple incidents documented by the UN mission and human rights organizations revealed patterns of violations: the Samouni family massacre where soldiers forced approximately 100 civilians into a building then shelled it killing 21; the Al-Daya family airstrike killing 22 civilians; several cases where soldiers shot civilians carrying white flags; and extensive use of white phosphorus munitions in densely populated areas. The Palestinian Centre for Human Rights documented 1,419 Palestinian deaths including 1,167 civilians, while B'Tselem reported 1,385 killed including 762 noncombatants and 318 minors.",Duration,22 days,Palestinians Killed,"1,383-1,419",Wounded,"5,300+",Homes Destroyed,"3,540 units"
hist013,Operation Pillar of Defense,"Military Operation, Airstrikes, Civilian Casualties",2012-11-14 00:00:00,41234,Escalation following targeted killing of Hamas military commander,"167 Palestinian, 6 Israeli","11,100+ Palestinian, 1,600+ Israeli",Not documented; blockade reinforced post-operation,31.5017,34.4668,"Gaza Strip, Palestinian territory under Israeli blockade since 2007, governed by Hamas","Gaza Strip; Palestinian territory, Israeli-occupied since 1967, Hamas-governed since 2007; Under blockade; subject to recurring Israeli military operations",Israel Defense Forces (IDF); Israeli Air Force (IAF); Israeli Navy,War Crimes; Violations of IHL (B'Tselem May 2013 Report),2025-10-18 00:00:00,Yassin,"On November 14, 2012, at approximately 15:45, the Israeli Air Force assassinated Ahmed al-Jabari, head of Hamas's military wing, marking the start of Operation Pillar of Defense. Over eight days, the IDF struck approximately 1,500 targets across Gaza—including underground rocket launchers, arms-smuggling tunnels, weapons storage facilities, and residences of Hamas officials. Unlike Operation Cast Lead (2008-09), no ground incursion occurred.","According to B'Tselem's field investigations published May 2013, the operation killed 167 Palestinians: at least 87 civilians who did not participate in hostilities (52%), including 32 children; 62 combatants; 7 targets of assassinations; and 11 of unknown status. The UN Protection Cluster documented over 11,100 injuries, including 3,374 children. Analysis reveals 80% of civilian deaths occurred in the final four days, when the ratio of civilian to combatant deaths reversed sharply.","Six Israelis died from Palestinian rocket fire: four civilians and two security personnel. Palestinian groups fired 1,667 rockets toward Israel (ISA figures); 436 were intercepted by Iron Dome. Hamas also executed at least 6-7 Palestinians accused of collaboration during the operation. B'Tselem investigated nine specific incidents raising 'grave suspicions' of IHL violations, including attacks killing children working in fields, families in homes without warnings, and civilians during Arab foreign ministers' visit. The IDF Spokesperson initially admitted 'probable error' in strike killing 12 members of al-Dalu family, but MAG Corps later closed case without prosecution.",Date,"November 14–21, 2012",Location,Gaza Strip,Palestinian Deaths,167,Israeli Deaths,6
hist014,Operation Protective Edge,Military Operation,2014-07-07 00:00:00,41877,51-day Israeli military operation in Gaza Strip; deadliest Gaza conflict,"2,251 Palestinians (1,462 civilians, 551 children, 299 women); 73 Israelis (67 soldiers, 6 civilians)","11,231 Palestinians (3,436 children); 1,600 Israelis (270 children)","500,000 Palestinians (1/3 of Gaza's population); 100,000 remained displaced one year later",,,"Gaza Strip and Southern Israel, Hamas-governed Gaza Strip under Israeli blockade since 2007","Gaza Strip, Under Israeli blockade; governed by Hamas; Reconstruction incomplete; ongoing blockade; infrastructure severely damaged",Israel Defense Forces; Israeli Air Force; Israeli Artillery; Hamas military wing (Izz ad-Din al-Qassam Brigades); Palestinian Islamic Jihad; Hamas authorities in Gaza,War Crimes; Crimes Against Humanity (UN Commission of Inquiry 2015),2025-10-18 00:00:00,aliattia02,"Operation Protective Edge began on July 7, 2014, ostensibly in response to escalating rocket fire from Gaza, but in a context of heightened tensions following the abduction and murder of three Israeli teenagers in the West Bank in June. Israel launched massive airstrikes across Gaza, conducting over 6,000 air raids in 51 days. The operation had three phases: an initial week of intensive aerial bombardment, a ground invasion beginning July 17 aimed at destroying cross-border tunnels, and a final phase from August 5 characterized by alternating ceasefires and continued strikes. The stated objectives were to stop rocket attacks and destroy Hamas's military infrastructure and tunnel network.","The human toll was unprecedented. The UN Commission of Inquiry documented 2,251 Palestinian deaths, with 1,462 identified as civilians—65% of all deaths. Among the dead were 551 children and 299 women. Entire families were wiped out in single strikes: 18 members of the Al-Batsh family killed on July 13, 17 members of the Abu Jame family on July 20, 26 members of the Al-Najjar family on July 20. The Commission investigated 15 cases of attacks on residential buildings and found that in many instances there was no evidence of a legitimate military target, or the attacks were grossly disproportionate. B'Tselem documented 606 attacks on residential buildings killing 1,447 civilians. The percentage of women among civilian deaths (20.2%) was significantly higher than in previous operations.","Several specific incidents stood out for their brutality. On July 19-20, Israeli forces launched a massive assault on Shuja'iya, one of Gaza's most densely populated neighborhoods. Over 100 Palestinians were killed in approximately 24 hours as Israeli artillery fired thousands of shells into residential areas. Witnesses described civilians being shot while attempting to flee with white flags. On August 1, after an Israeli soldier was reportedly captured in Rafah, Israel invoked the Hannibal Directive—calling for overwhelming force without regard for civilian life. In three hours, Israeli forces fired over 1,000 artillery shells into Rafah, killing 130-150 Palestinians, overwhelmingly civilians. The UN described this as a 'moral outrage and a criminal act.' The systematic destruction of Gaza's infrastructure was also staggering: Gaza's only power plant destroyed, 18,000 homes razed, 89,000 damaged, 73 medical facilities attacked, 262 schools damaged. The UN Commission concluded there was evidence indicating serious violations of international humanitarian law amounting to war crimes by Israeli forces, including deliberate attacks on civilians and civilian infrastructure. The Commission also found Palestinian armed groups committed war crimes through indiscriminate rocket attacks and the extrajudicial execution of 21 alleged collaborators. On the Israeli side, 73 people died: 67 soldiers and 6 civilians killed by rockets and mortars.",Duration,51 days,Palestinians Killed,2251,Israelis Killed,73,Homes Destroyed,18000
hist015,Great March of Return,Mass Killings / Protest Suppression,2018-03-30 00:00:00,43826,Weekly protests at Gaza-Israel separation fence demanding right of return,223 Palestinians (189 during 2018; 34 during 2019); Zero Israelis killed,"28,939 Palestinians total; 6,106 by live ammunition; Zero Israeli injuries reported",No displacement but severe long-term disabilities created,31.35,34.45,"Gaza Strip - Separation fence with Israel, Hamas-governed Gaza Strip under Israeli blockade since 2007","Gaza Strip, Under Israeli blockade; governed by Hamas, Blockade ongoing; protests ended December 2019",Israel Defense Forces; Israeli Border Police; Israeli military snipers; Israeli security forces,Mass Killings / Protest Suppression,2025-10-18 00:00:00,aliattia02,"The Great March of Return began on March 30, 2018—Palestinian Land Day and the 42nd anniversary of mass protests against Israeli land confiscation. Organized by independent activists, the protests were conceived as peaceful demonstrations to draw international attention to Gaza's humanitarian crisis, the blockade, and the right of return for Palestinian refugees. Five designated protest sites were established along Gaza's eastern border, several hundred meters from the separation fence. The protests were intended to last from Land Day (March 30) through Nakba Day (May 15), but continued for 21 months until Hamas announced their end on December 27, 2019.","Israel's response was immediate and lethal. Israeli Defense Forces deployed snipers along the fence with rules of engagement permitting use of live ammunition against protesters. On the opening day, March 30, 2018, Israeli forces killed 18 Palestinians and shot over 700 with live ammunition. The bloodiest day came on May 14, 2018—the day the US Embassy officially opened in Jerusalem—when Israeli forces killed 60 Palestinians and shot over 1,100. By December 31, 2018, Israeli snipers had shot 6,106 Palestinians with live ammunition, killing 183 during official protest days. Thirty-five were children, three were clearly marked paramedics, and two were clearly marked journalists. Another 3,098 Palestinians were injured by bullet fragmentation, rubber-coated metal bullets, or tear gas canisters.","The UN Commission of Inquiry investigated every killing at the designated demonstration sites on official protest days between March 30 and December 31, 2018. Commissioners reviewed video evidence, medical records, ballistics reports, and conducted extensive interviews. Their finding was damning: with the exception of two incidents, the Commission found reasonable grounds to believe the use of live ammunition was unlawful. The victims 'were neither participating directly in hostilities nor posing an imminent threat' when shot. Commissioner Sara Hossain stated: 'There can be no justification for killing and injuring journalists, medics, and persons who were clearly not posing an imminent threat of death or serious injury.' The Commission concluded the pattern of violations may constitute war crimes or crimes against humanity. Notable victims included 21-year-old paramedic Razan al-Najjar, shot and killed while treating wounded protesters despite wearing a clearly marked white medical vest, and journalist Yaser Murtaja, shot dead while wearing press insignia. By the time protests ended in December 2019, 223 Palestinians had been killed and 28,939 injured. At least 122 Palestinians required limb amputations including 20 children. Israel has conducted no meaningful investigations, with all but a handful of cases closed without indictment.",Duration,21 months,Palestinians Killed,223,Wounded by Live Fire,6106,Amputations,122
hist016,Operation Guardian of the Walls,Military Operation,2021-05-10 00:00:00,44337,11-day Israeli military operation in Gaza Strip,"260 Palestinians (129 civilians, 66 children, 40 women); 13 Israelis (12 civilians, 1 soldier)","1,948 Palestinians; Several hundred Israelis",Tens of thousands temporarily displaced in Gaza,31.5,34.47,"Gaza Strip, Israel, East Jerusalem, West Bank, Hamas-governed Gaza under Israeli blockade; East Jerusalem and West Bank under occupation","Gaza Strip, Under Israeli blockade; governed by Hamas, Blockade ongoing; reconstruction incomplete",Israel Defense Forces; Israeli Air Force; Hamas military wing (Izz ad-Din al-Qassam Brigades); Palestinian Islamic Jihad,Military Operation,2025-10-18 00:00:00,aliattia02,"The escalation that became Operation Guardian of the Walls was rooted in events in Jerusalem. During Ramadan 2021, Israeli police erected barriers preventing Palestinians from gathering at Damascus Gate—a traditional gathering place—and violently suppressed protests. Simultaneously, Israeli courts moved forward with eviction proceedings against Palestinian families in the Sheikh Jarrah neighborhood of East Jerusalem to make way for Jewish settlers. On May 7, hundreds of Palestinians were injured when Israeli police stormed Al-Aqsa Mosque compound during prayers, firing rubber bullets, stun grenades, and tear gas inside the mosque itself. International condemnation was swift, but on May 10—Lailat al-Qadr, the holiest night of Ramadan—Israeli police again raided Al-Aqsa, injuring over 300 Palestinians. Hamas issued an ultimatum demanding Israeli forces withdraw from Al-Aqsa and Sheikh Jarrah by 6 PM. When Israel refused, Hamas and Palestinian Islamic Jihad fired rockets toward Jerusalem at 6:05 PM, marking the beginning of the conflict.","Israel's response was immediate and overwhelming. Within hours, Israeli jets struck over 130 targets across Gaza. Over the next 11 days, the IDF conducted more than 1,500 airstrikes while Palestinian armed groups fired 4,360 rockets and mortars into Israel—the Iron Dome intercepted approximately 90% of projectiles headed toward populated areas. The first day saw the al-Masri family strike in Beit Hanoun where a missile killed 8 civilians including 6 children who were packing barley for animal feed. Israel claimed it was a misfired Palestinian rocket, but Human Rights Watch's investigation found evidence of a guided missile and no military target. The deadliest single incident came on May 16 when Israeli forces launched a four-minute assault on al-Wahda Street in central Gaza City, causing three multi-story residential buildings to collapse. Forty-four civilians were killed including 18 children. HRW found the buildings collapsed after missiles struck the road or sidewalk adjacent to them—there were no evident military targets.","The operation took place against the backdrop of Israel's 14-year blockade of Gaza and its systematic discrimination against Palestinians, which Human Rights Watch had characterized as apartheid just one month earlier in April 2021. The 11-day conflict killed 260 Palestinians (129 civilians according to UN/HRW, though Israel claimed most were militants). Thirteen Israelis died including 12 civilians killed by rockets. Human Rights Watch conducted in-depth investigations of three Israeli strikes that killed 62 Palestinian civilians total, finding 'no evident military targets in the vicinity' of any—constituting apparent war crimes. A third incident HRW investigated was the May 15 bombing of a building in Shati refugee camp that killed 10 people (8 children, 2 women); Israel claimed senior Hamas officials were hiding there, but HRW found no evidence of military targets. The report also documented that Palestinian armed groups committed war crimes through indiscriminate rocket fire at Israeli population centers. The operation ended with an Egyptian-mediated ceasefire on May 21, but neither side achieved strategic objectives, and Gaza's humanitarian crisis deepened significantly.",Duration,11 days,Palestinians Killed,260,Israelis Killed,13,Rockets Fired,"4,360+"
hist017,West Bank Raids 2022–2023,Military Raids / Systematic Killings,2022-01-01 00:00:00,45291,Two-year period of intensified Israeli military operations in West Bank,500+ Palestinians (2022-2023 combined) including 78+ children; 19 Israelis killed by Palestinians (early 2022),"9,000+ Palestinians injured in 2022 alone (UN data); thousands more in 2023",Multiple communities displaced by settler violence; 500 families displaced in Jenin July 2023,,,"West Bank including East Jerusalem, Palestinian territories under Israeli military occupation since 1967","West Bank, Under Israeli military occupation; Areas A, B, C division under Oslo Accords; Ongoing occupation; violence escalated significantly",Israel Defense Forces; Israeli Border Police; Israeli settlers (complicit in attacks); Shin Bet (Israeli internal security); Special forces units including Duvdevan,Unlawful killings; disproportionate force,2025-10-18 00:00:00,aliattia02,"The escalation began in spring 2022 following a series of attacks by Palestinians inside Israel that killed 19 Israelis between March 22 and May 7. Israel responded by launching 'Operation Break the Wave'—near-nightly military raids into West Bank cities and refugee camps, particularly Jenin and Nablus. These cities had become centers of renewed armed Palestinian resistance with the emergence of groups like the Jenin Brigades (founded September 2021), the Lions' Den in Nablus, and the Balata Brigades. The Israeli operations involved massive deployments of troops, bulldozers destroying infrastructure and roads, use of live ammunition in densely populated areas, and increasingly, aerial bombardment including drone strikes. By the end of 2022, 220 Palestinians had been killed including 48 children—the highest annual toll since the Second Intifada ended in 2005.","The violence was not limited to armed confrontations. According to Middle East Eye's analysis, the majority of Palestinian casualties in 2022 were likely unarmed at the time of their death. At least 95 Palestinians were shot by Israeli soldiers as bystanders during army raids or while participating in anti-occupation demonstrations. Seven women and girls were killed, including 15-year-old Jana Zakarneh shot twice in the face while playing with her cat on her rooftop, and 15-year-old Fulla al-Masalma killed a day before her birthday. The most internationally significant killing was that of Shireen Abu Akleh, Al Jazeera's veteran Palestinian correspondent, shot in the head on May 11, 2022 while covering a raid in Jenin. Despite wearing a clearly marked PRESS vest and standing with other journalists, Abu Akleh was killed by Israeli fire. The UN Commission of Inquiry investigated and concluded 'on reasonable grounds that Israeli forces used lethal force without justification under international human rights law and, intentionally or recklessly, violated Abu Akleh's right to life.'","The violence intensified further in 2023. In January, a raid on Jenin killed 10 Palestinians including a 61-year-old woman shot through the neck while watching from her bedroom window. In February, 11 Palestinians were killed in Nablus including civilians shot in the back while fleeing. In July, Israel conducted its largest West Bank operation in 20 years—a 14-hour assault on Jenin refugee camp using drones, helicopter gunships, and hundreds of troops, killing 12 and forcing 500 families to flee. By December 2023, Doctors Without Borders declared it 'the deadliest year for Palestinians in the West Bank in recorded history' with 507 killed including 127 children. The UN Commission found Israeli forces systematically violated international law by applying combat rules to law enforcement situations, using disproportionate force, failing to distinguish between civilians and combatants, obstructing medical care, and conducting what amounted to extrajudicial executions. Meanwhile, settler violence also surged—the UN recorded over 800 settler attacks on Palestinians between October 2022 and May 2024, often occurring with Israeli military acquiescence or participation.",Period,2 years,Palestinians Killed,500+,Pattern,Near-nightly raids,Journalist Killed,Shireen Abu Akleh
curr_001,Al-Ahli Baptist Hospital Strike,Hospital Attack,2023-10-17,2023-10-17,Current genocide (2023 to present),471,342,0,31.5123,34.4545,"Al-Ahli Arab Hospital, Gaza City","Al-Ahli Arab Hospital, Gaza City",Israeli Airstrikes (disputed),,,aliattia02,Explosion at Al-Ahli Baptist Hospital compound where thousands of displaced Palestinians were sheltering. Massive casualties in hospital courtyard.,,,,,,,,,,
curr_002,Jabalia Refugee Camp Bombardment (First Strike),Refugee Camp Attack,2023-10-31,2023-10-31,Current genocide (2023 to present),195,777,0,31.5333,34.4833,"Jabalia Refugee Camp, North Gaza","Jabalia Refugee Camp, North Gaza",IDF,,,aliattia02,Massive airstrike on densely populated Jabalia refugee camp. Entire residential blocks destroyed. Israel admitted targeting Hamas commander.,,,,,,,,,,
curr_003,Flour Massacre - Al-Rashid Street,Massacre,2024-02-29,2024-02-29,Current genocide (2023 to present),118,760,0,31.5147,34.4501,"Al-Rashid Street, Gaza City","Al-Rashid Street, Gaza City",IDF,,,aliattia02,Israeli forces opened fire on Palestinians waiting for food aid distribution. Hundreds of civilians killed and injured while trying to obtain flour.,,,,,,,,,,
curr_004,UNRWA School Strikes,Protected Site Attack,2023-10-15,2023-10-15,Current genocide (2023 to present),450,1200,0,31.5204,34.4668,"Multiple UNRWA Schools, Gaza Strip","Multiple UNRWA Schools, Gaza Strip",IDF,,,aliattia02,Series of attacks on UNRWA schools serving as shelters for displaced Palestinians. Multiple schools hit despite UN coordination with Israeli forces.,,,,,,,,,,
curr_005,Mass Graves Discovery at Nasser Hospital,Mass Graves,2024-04-22,2024-04-22,Current genocide (2023 to present),392,0,0,31.3459,34.3062,"Nasser Medical Complex, Khan Yunis","Nasser Medical Complex, Khan Yunis",IDF (alleged),,,aliattia02,"Mass graves discovered at Nasser Hospital after Israeli withdrawal. Bodies found with hands tied, evidence of executions. Some bodies taken from hospital by Israeli forces.",,,,,,,,,,
curr_006,Al-Shifa Hospital Siege,Hospital Siege,2023-11-11,2023-11-11,Current genocide (2023 to present),200,500,0,31.5019,34.4561,"Al-Shifa Hospital, Gaza City","Al-Shifa Hospital, Gaza City",IDF,,,aliattia02,"Israeli forces besieged Gaza's largest hospital, cutting off power and water. Patients died due to lack of medical care. Hospital raided despite being protected under international law.",,,,,,,,,,
curr_007,Rafah Tent Camp Massacre,Massacre,2024-05-26,2024-05-26,Current genocide (2023 to present),45,200,0,31.289,34.2505,"Displacement Camp, Rafah","Displacement Camp, Rafah",IDF,,,aliattia02,Israeli airstrike on tent camp sheltering displaced Palestinians in Rafah. Many victims burned alive in their tents. Israel claimed targeting Hamas operatives.,,,,,,,,,,
curr_008,World Central Kitchen Workers Killing,Aid Workers Killing,2024-04-01,2024-04-01,Current genocide (2023 to present),7,0,0,31.4181,34.3517,"Deir al-Balah, Central Gaza","Deir al-Balah, Central Gaza",IDF,,,aliattia02,Israeli forces targeted and killed seven World Central Kitchen aid workers in three consecutive strikes on clearly marked vehicles. International outcry followed.,,,,,,,,,,
curr_009,Gaza City Systematic Destruction,Urban Destruction,2023-10-27,2023-10-27,Current genocide (2023 to present),5000,12000,800000,31.5204,34.4668,Gaza City,Gaza City,IDF,,,aliattia02,Systematic destruction of entire neighborhoods in Gaza City. Thousands of buildings reduced to rubble. Mass displacement of population.,,,,,,,,,,
curr_010,Starvation Genocide - Northern Gaza Blockade,Starvation Warfare,2024-10-01,2024-10-01,Current genocide (2023 to present),169,0,0,31.55,34.4833,Northern Gaza Strip,Northern Gaza Strip,IDF; Israeli Government,,,aliattia02,"Complete blockade of northern Gaza including Jabalia, Beit Hanoun, and Beit Lahiya. No food, water, or medical supplies allowed. Use of starvation as method of warfare.",,,,,,,,,,
